"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","1998","Topps","Dirk Nowitzki","Base","154","283","4,689","6%","https://app.cardladder.com/search?gemRateId=3fd2eb8af8ace7cece2a5804ecdac742bee113b2&via=gemrate","https://app.cardladder.com/search?gemRateId=3fd2eb8af8ace7cece2a5804ecdac742bee113b2&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3fd2eb8af8ace7cece2a5804ecdac742bee113b2&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3fd2eb8af8ace7cece2a5804ecdac742bee113b2","https://www.psacard.com/cert/122179804/psa"
"","Basketball","1998","Topps Chrome","Dirk Nowitzki","Base","154","250","3,189","8%","https://app.cardladder.com/search?gemRateId=830a89d2537f31f8c1c69fb064aefb5232162be0&via=gemrate","https://app.cardladder.com/search?gemRateId=830a89d2537f31f8c1c69fb064aefb5232162be0&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=830a89d2537f31f8c1c69fb064aefb5232162be0&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=830a89d2537f31f8c1c69fb064aefb5232162be0","https://www.psacard.com/cert/104691442/psa"
"","Basketball","1998","Finest","Dirk Nowitzki","Base","234","827","2,087","40%","https://app.cardladder.com/search?gemRateId=804f1b174fef7425d1129d0c695d202a370a4a86&via=gemrate","https://app.cardladder.com/search?gemRateId=804f1b174fef7425d1129d0c695d202a370a4a86&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=804f1b174fef7425d1129d0c695d202a370a4a86&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=804f1b174fef7425d1129d0c695d202a370a4a86","https://www.psacard.com/cert/116658298/psa"
"","Basketball","1998","SP Authentic","Dirk Nowitzki","Base","99","512","1,588","32%","https://app.cardladder.com/search?gemRateId=04b123eaea1293a1964dde6853a35142eac5c063&via=gemrate","https://app.cardladder.com/search?gemRateId=04b123eaea1293a1964dde6853a35142eac5c063&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=04b123eaea1293a1964dde6853a35142eac5c063&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=04b123eaea1293a1964dde6853a35142eac5c063","https://www.psacard.com/cert/119176417/psa"
"","Basketball","1998","Finest","Dirk Nowitzki","w/Coating","234","102","1,359","8%","https://app.cardladder.com/search?gemRateId=7e65dbf9a8b5f87c9ae1a0d6f29ddba40041003a&via=gemrate","https://app.cardladder.com/search?gemRateId=7e65dbf9a8b5f87c9ae1a0d6f29ddba40041003a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7e65dbf9a8b5f87c9ae1a0d6f29ddba40041003a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7e65dbf9a8b5f87c9ae1a0d6f29ddba40041003a","https://www.psacard.com/cert/119234803/psa"
"","Basketball","1998","Skybox E-X Century","Dirk Nowitzki","Base","68","63","1,160","5%","https://app.cardladder.com/search?gemRateId=bce5a600ad8f5e80b6bf5c8b25169f7f47fafb95&via=gemrate","https://app.cardladder.com/search?gemRateId=bce5a600ad8f5e80b6bf5c8b25169f7f47fafb95&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=bce5a600ad8f5e80b6bf5c8b25169f7f47fafb95&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=bce5a600ad8f5e80b6bf5c8b25169f7f47fafb95","https://www.psacard.com/cert/96115017/psa"
"","Basketball","1998","Flair Showcase","Dirk Nowitzki","Row 3","16","40","805","5%","https://app.cardladder.com/search?gemRateId=8784cbf82b031bad6b9d4b4b6a94f105e0804dea&via=gemrate","https://app.cardladder.com/search?gemRateId=8784cbf82b031bad6b9d4b4b6a94f105e0804dea&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8784cbf82b031bad6b9d4b4b6a94f105e0804dea&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8784cbf82b031bad6b9d4b4b6a94f105e0804dea","https://www.psacard.com/cert/116548988/psa"
"","Basketball","1998","Stadium Club","Dirk Nowitzki","Base","202","103","662","16%","https://app.cardladder.com/search?gemRateId=8ddef580d71a004e0d2969713b0289ff06736955&via=gemrate","https://app.cardladder.com/search?gemRateId=8ddef580d71a004e0d2969713b0289ff06736955&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8ddef580d71a004e0d2969713b0289ff06736955&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8ddef580d71a004e0d2969713b0289ff06736955","https://www.psacard.com/cert/107282125/psa"
"","Basketball","1998","Upper Deck Ionix","Dirk Nowitzki","Base","69","237","653","36%","https://app.cardladder.com/search?gemRateId=1345f2373c5460689ff7792bf0e81f3264a84ca6&via=gemrate","https://app.cardladder.com/search?gemRateId=1345f2373c5460689ff7792bf0e81f3264a84ca6&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1345f2373c5460689ff7792bf0e81f3264a84ca6&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1345f2373c5460689ff7792bf0e81f3264a84ca6","https://www.psacard.com/cert/127308386/psa"
