"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2022","Panini Donruss Downtown","Drake London","Base","DTDL","91","273","33%","https://app.cardladder.com/search?gemRateId=fd7dcf99b91ad3ad50dbdd8d244e512bd24c2f04&via=gemrate","https://app.cardladder.com/search?gemRateId=fd7dcf99b91ad3ad50dbdd8d244e512bd24c2f04&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fd7dcf99b91ad3ad50dbdd8d244e512bd24c2f04&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=fd7dcf99b91ad3ad50dbdd8d244e512bd24c2f04","https://www.psacard.com/cert/110681302/psa"
"","Football","2022","Panini Prizm","Drake London","Autograph","308","110","256","43%","https://app.cardladder.com/search?gemRateId=78ff5c49c6120d49bdcd01ad16811f1fa7beec3a&via=gemrate","https://app.cardladder.com/search?gemRateId=78ff5c49c6120d49bdcd01ad16811f1fa7beec3a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=78ff5c49c6120d49bdcd01ad16811f1fa7beec3a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=78ff5c49c6120d49bdcd01ad16811f1fa7beec3a","https://www.psacard.com/cert/124615766/psa"
"","Football","2022","Panini Donruss Optic Downtown","Drake London","Base","DTDL","80","221","36%","https://app.cardladder.com/search?gemRateId=49f27174ab7286f9c54a1d2afb02112a55935dde&via=gemrate","https://app.cardladder.com/search?gemRateId=49f27174ab7286f9c54a1d2afb02112a55935dde&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=49f27174ab7286f9c54a1d2afb02112a55935dde&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=49f27174ab7286f9c54a1d2afb02112a55935dde","https://www.psacard.com/cert/117113683/psa"
"","Football","2022","Panini Contenders","Drake London","Autograph","115","125","209","60%","https://app.cardladder.com/search?gemRateId=580e6ea03ea8ac99679d64fd2706b9f1e81b9d38&via=gemrate","https://app.cardladder.com/search?gemRateId=580e6ea03ea8ac99679d64fd2706b9f1e81b9d38&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=580e6ea03ea8ac99679d64fd2706b9f1e81b9d38&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=580e6ea03ea8ac99679d64fd2706b9f1e81b9d38","https://www.psacard.com/cert/121541325/psa"
"","Football","2022","Panini Prizm","Drake London","Silver Prizm","308","96","181","53%","https://app.cardladder.com/search?gemRateId=3cf0f1076f7f7504b3ce9cc830d4aa5dd7d9ca57&via=gemrate","https://app.cardladder.com/search?gemRateId=3cf0f1076f7f7504b3ce9cc830d4aa5dd7d9ca57&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3cf0f1076f7f7504b3ce9cc830d4aa5dd7d9ca57&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3cf0f1076f7f7504b3ce9cc830d4aa5dd7d9ca57","https://www.psacard.com/cert/126028184/psa"
"","Football","2022","Panini Donruss","Drake London","Press Proof Premium","307","47","172","27%","https://app.cardladder.com/search?gemRateId=f306c47d70a6c0f39330c427a4776a1c097238eb&via=gemrate","https://app.cardladder.com/search?gemRateId=f306c47d70a6c0f39330c427a4776a1c097238eb&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f306c47d70a6c0f39330c427a4776a1c097238eb&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f306c47d70a6c0f39330c427a4776a1c097238eb","https://www.psacard.com/cert/98666804/psa"
"","Football","2022","Panini Prizm","Drake London","Variation","308","79","161","49%","https://app.cardladder.com/search?gemRateId=5961a606f3927df04e22010a5362070398dfade1&via=gemrate","https://app.cardladder.com/search?gemRateId=5961a606f3927df04e22010a5362070398dfade1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5961a606f3927df04e22010a5362070398dfade1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5961a606f3927df04e22010a5362070398dfade1","https://www.psacard.com/cert/130965145/psa"
"","Football","2022","Panini Chronicles Prizm Black","Drake London","Silver","PB11","86","153","56%","https://app.cardladder.com/search?gemRateId=edf6a64baf9376505cc2a10df34e87ed91b0f956&via=gemrate","https://app.cardladder.com/search?gemRateId=edf6a64baf9376505cc2a10df34e87ed91b0f956&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=edf6a64baf9376505cc2a10df34e87ed91b0f956&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=edf6a64baf9376505cc2a10df34e87ed91b0f956","https://www.psacard.com/cert/117321387/psa"
"","Football","2022","Panini Mosaic Glass Mosaic","Drake London","Base","GM26","46","128","36%","https://app.cardladder.com/search?gemRateId=e16ae23a754e1471110dfc89c5817b3c924b8519&via=gemrate","https://app.cardladder.com/search?gemRateId=e16ae23a754e1471110dfc89c5817b3c924b8519&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e16ae23a754e1471110dfc89c5817b3c924b8519&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/114995498/psa"
"","Football","2022","Panini Donruss Optic","Drake London","Purple Shock","207","32","127","25%","https://app.cardladder.com/search?gemRateId=cc3f561109fc311e53de5cf493e2b3b57259303b&via=gemrate","https://app.cardladder.com/search?gemRateId=cc3f561109fc311e53de5cf493e2b3b57259303b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=cc3f561109fc311e53de5cf493e2b3b57259303b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=cc3f561109fc311e53de5cf493e2b3b57259303b","https://www.psacard.com/cert/98171756/psa"
"","Football","2022","Panini Prizm","Drake London","Autograph-No Huddle","308","26","121","21%","https://app.cardladder.com/search?gemRateId=8871345646c12cca5671bd1bb4e768a2dfd2e4ea&via=gemrate","https://app.cardladder.com/search?gemRateId=8871345646c12cca5671bd1bb4e768a2dfd2e4ea&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8871345646c12cca5671bd1bb4e768a2dfd2e4ea&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8871345646c12cca5671bd1bb4e768a2dfd2e4ea","https://www.psacard.com/cert/99309440/psa"
"","Football","2021","Panini Select","Drake London","Base","411","42","116","36%","https://app.cardladder.com/search?gemRateId=fe462b7840bb5c40e880926b13790c09e43669dd&via=gemrate","https://app.cardladder.com/search?gemRateId=fe462b7840bb5c40e880926b13790c09e43669dd&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fe462b7840bb5c40e880926b13790c09e43669dd&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=fe462b7840bb5c40e880926b13790c09e43669dd","https://www.psacard.com/cert/129150804/psa"
"","Football","2022","Panini Prizm","Drake London","Green Prizm","308","53","115","46%","https://app.cardladder.com/search?gemRateId=5562ba15872112dbcb0333a9256a4fbe5a0c17b1&via=gemrate","https://app.cardladder.com/search?gemRateId=5562ba15872112dbcb0333a9256a4fbe5a0c17b1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5562ba15872112dbcb0333a9256a4fbe5a0c17b1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5562ba15872112dbcb0333a9256a4fbe5a0c17b1","https://www.psacard.com/cert/104328651/psa"
"","Football","2022","Panini Donruss Optic","Drake London","Pink","207","34","109","31%","https://app.cardladder.com/search?gemRateId=2db1bef000dc6fa8c629df08b040b1977050d5ac&via=gemrate","https://app.cardladder.com/search?gemRateId=2db1bef000dc6fa8c629df08b040b1977050d5ac&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2db1bef000dc6fa8c629df08b040b1977050d5ac&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2db1bef000dc6fa8c629df08b040b1977050d5ac","https://www.psacard.com/cert/106763179/psa"
"","Football","2022","Panini Chronicles Prizm Black","Drake London","Base","PB11","56","105","53%","https://app.cardladder.com/search?gemRateId=619d22a85b0e9a47e795501dfa6c58c50dab8d55&via=gemrate","https://app.cardladder.com/search?gemRateId=619d22a85b0e9a47e795501dfa6c58c50dab8d55&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=619d22a85b0e9a47e795501dfa6c58c50dab8d55&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=619d22a85b0e9a47e795501dfa6c58c50dab8d55","https://www.psacard.com/cert/111355806/psa"
