"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2024","Panini Prizm","Drake Maye","Base","329","1,660","4,509","37%","https://app.cardladder.com/search?gemRateId=ac4cdafd87bd98619c7d6a900a73bc7ac00fa83e&via=gemrate","https://app.cardladder.com/search?gemRateId=ac4cdafd87bd98619c7d6a900a73bc7ac00fa83e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ac4cdafd87bd98619c7d6a900a73bc7ac00fa83e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ac4cdafd87bd98619c7d6a900a73bc7ac00fa83e","https://www.psacard.com/cert/145931678/psa"
"","Football","2024","Panini Prizm","Drake Maye","Silver Prizm","329","832","3,677","23%","https://app.cardladder.com/search?gemRateId=f324210015288b0c3c908625141341e449cc20ae&via=gemrate","https://app.cardladder.com/search?gemRateId=f324210015288b0c3c908625141341e449cc20ae&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f324210015288b0c3c908625141341e449cc20ae&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f324210015288b0c3c908625141341e449cc20ae","https://www.psacard.com/cert/145041543/psa"
"","Football","2024","Panini Donruss","Drake Maye","Base","379","1,448","3,329","43%","https://app.cardladder.com/search?gemRateId=a2a89d2922d313b74966a33c99cd2bd83d69c85b&via=gemrate","https://app.cardladder.com/search?gemRateId=a2a89d2922d313b74966a33c99cd2bd83d69c85b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a2a89d2922d313b74966a33c99cd2bd83d69c85b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a2a89d2922d313b74966a33c99cd2bd83d69c85b","https://www.psacard.com/cert/147459063/psa"
"","Football","2024","Panini Donruss Rated Rookies Retro","Drake Maye","Base","16","1,310","2,501","52%","https://app.cardladder.com/search?gemRateId=9c7d46bf990174d06671493c158b7cc39ceddb2a&via=gemrate","https://app.cardladder.com/search?gemRateId=9c7d46bf990174d06671493c158b7cc39ceddb2a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9c7d46bf990174d06671493c158b7cc39ceddb2a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9c7d46bf990174d06671493c158b7cc39ceddb2a","https://www.psacard.com/cert/144892021/psa"
"","Football","2024","Panini Donruss Downtown!","Drake Maye","Base","13","461","2,370","19%","https://app.cardladder.com/search?gemRateId=55cf89bcdc8a0b858f34f44db62b895fe077f349&via=gemrate","https://app.cardladder.com/search?gemRateId=55cf89bcdc8a0b858f34f44db62b895fe077f349&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=55cf89bcdc8a0b858f34f44db62b895fe077f349&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=55cf89bcdc8a0b858f34f44db62b895fe077f349","https://www.psacard.com/cert/147639435/psa"
"","Football","2024","Panini Donruss","Drake Maye","Optic Preview-Pink","379","971","2,297","42%","https://app.cardladder.com/search?gemRateId=94c63a8e45e701606aca334815e2189f177d703c&via=gemrate","https://app.cardladder.com/search?gemRateId=94c63a8e45e701606aca334815e2189f177d703c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=94c63a8e45e701606aca334815e2189f177d703c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=94c63a8e45e701606aca334815e2189f177d703c","https://www.psacard.com/cert/145400554/psa"
"","Football","2024","Panini Prizm","Drake Maye","Lazer Prizm","329","608","2,095","29%","https://app.cardladder.com/search?gemRateId=b29ee1d21b8fa291bc046817a4f2d902d4506105&via=gemrate","https://app.cardladder.com/search?gemRateId=b29ee1d21b8fa291bc046817a4f2d902d4506105&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b29ee1d21b8fa291bc046817a4f2d902d4506105&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b29ee1d21b8fa291bc046817a4f2d902d4506105","https://www.psacard.com/cert/145422317/psa"
"","Football","2024","Panini Donruss Optic","Drake Maye","Holo","229","621","1,977","31%","https://app.cardladder.com/search?gemRateId=3f7a0f9a071ad2b44912c0507d2a2339ea2a65bd&via=gemrate","https://app.cardladder.com/search?gemRateId=3f7a0f9a071ad2b44912c0507d2a2339ea2a65bd&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3f7a0f9a071ad2b44912c0507d2a2339ea2a65bd&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3f7a0f9a071ad2b44912c0507d2a2339ea2a65bd","https://www.psacard.com/cert/144142123/psa"
"","Football","2024","Panini Prizm","Drake Maye","Red/White/Blue Prizm","329","403","1,952","21%","https://app.cardladder.com/search?gemRateId=3d8ae003d7c6eb5b1a49a27cb34d6797a69f637d&via=gemrate","https://app.cardladder.com/search?gemRateId=3d8ae003d7c6eb5b1a49a27cb34d6797a69f637d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3d8ae003d7c6eb5b1a49a27cb34d6797a69f637d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3d8ae003d7c6eb5b1a49a27cb34d6797a69f637d","https://www.psacard.com/cert/138410317/psa"
