"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2024","Panini Select","Emeka Egbuka","Base","513","94","133","71%","https://app.cardladder.com/search?gemRateId=59fd58b9d7f472dbb0c9b718e2fa79b6ba18cf17&via=gemrate","https://app.cardladder.com/search?gemRateId=59fd58b9d7f472dbb0c9b718e2fa79b6ba18cf17&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=59fd58b9d7f472dbb0c9b718e2fa79b6ba18cf17&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=59fd58b9d7f472dbb0c9b718e2fa79b6ba18cf17","https://www.psacard.com/cert/138110183/psa"
"","Football","2025","Panini Donruss","Emeka Egbuka","Optic Preview-Red Pandora","375","38","103","37%","https://app.cardladder.com/search?gemRateId=ee662ad1fcca67675a79a3c0ad63b96527def1fb&via=gemrate","https://app.cardladder.com/search?gemRateId=ee662ad1fcca67675a79a3c0ad63b96527def1fb&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ee662ad1fcca67675a79a3c0ad63b96527def1fb&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/145612170/psa"
"","Football","2025","Panini Donruss Bomb Squad","Emeka Egbuka","Base","BS-EEA","51","92","55%","https://app.cardladder.com/search?gemRateId=d18410880fae54d198c2358f11d5c2bcbc5db206&via=gemrate","https://app.cardladder.com/search?gemRateId=d18410880fae54d198c2358f11d5c2bcbc5db206&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d18410880fae54d198c2358f11d5c2bcbc5db206&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/142763737/psa"
"","Football","2025","Panini Mosaic","Emeka Egbuka","Red & White Stripe","376","45","85","53%","https://app.cardladder.com/search?gemRateId=3377fe97ffb4e8ee53da24a27e5e06302fcf3e74&via=gemrate","https://app.cardladder.com/search?gemRateId=3377fe97ffb4e8ee53da24a27e5e06302fcf3e74&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3377fe97ffb4e8ee53da24a27e5e06302fcf3e74&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/144348004/psa"
"","Football","2023","Bowman University Chrome","Emeka Egbuka","Autograph-Refractor","115","30","85","35%","https://app.cardladder.com/search?gemRateId=e6d78ddc09a8791e31fbd143ce26dc23ceb21f08&via=gemrate","https://app.cardladder.com/search?gemRateId=e6d78ddc09a8791e31fbd143ce26dc23ceb21f08&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e6d78ddc09a8791e31fbd143ce26dc23ceb21f08&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e6d78ddc09a8791e31fbd143ce26dc23ceb21f08","https://www.psacard.com/cert/137258715/psa"
"","Football","2025","Panini Donruss the Rookies","Emeka Egbuka","Base","31","24","74","32%","https://app.cardladder.com/search?gemRateId=3b9cd88a1448ff1e30cd0659697c6436894d302e&via=gemrate","https://app.cardladder.com/search?gemRateId=3b9cd88a1448ff1e30cd0659697c6436894d302e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3b9cd88a1448ff1e30cd0659697c6436894d302e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/140112672/psa"
"","Football","2025","Panini Origins","Emeka Egbuka","Variation","146","25","52","48%","https://app.cardladder.com/search?gemRateId=0c5c44d4ed5b6d658b6ad8e6369fd07d265b7137&via=gemrate","https://app.cardladder.com/search?gemRateId=0c5c44d4ed5b6d658b6ad8e6369fd07d265b7137&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0c5c44d4ed5b6d658b6ad8e6369fd07d265b7137&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/143032900/psa"
"","Football","2023","Bowman University Chrome","Emeka Egbuka","Autograph","115","25","51","49%","https://app.cardladder.com/search?gemRateId=cbc8341ced010a56104bc79b9865a80accb86407&via=gemrate","https://app.cardladder.com/search?gemRateId=cbc8341ced010a56104bc79b9865a80accb86407&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=cbc8341ced010a56104bc79b9865a80accb86407&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=cbc8341ced010a56104bc79b9865a80accb86407","https://www.psacard.com/cert/120771690/psa"
"","Football","2024","Bowman University Chrome Bowman Chrome Prospect Autographs","Emeka Egbuka","Base","PAEEG","31","48","65%","https://app.cardladder.com/search?gemRateId=8b17838b572fb619e777c48a6a0639797aa5f930&via=gemrate","https://app.cardladder.com/search?gemRateId=8b17838b572fb619e777c48a6a0639797aa5f930&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8b17838b572fb619e777c48a6a0639797aa5f930&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/130208204/psa"
