"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2025","Bowman U Now","Fernando Mendoza","Base","17","105","118","89%","https://app.cardladder.com/search?gemRateId=a397a1e8839760d73d9a6b4ddcdae8ac060fd4fb&via=gemrate","https://app.cardladder.com/search?gemRateId=a397a1e8839760d73d9a6b4ddcdae8ac060fd4fb&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a397a1e8839760d73d9a6b4ddcdae8ac060fd4fb&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a397a1e8839760d73d9a6b4ddcdae8ac060fd4fb","https://www.psacard.com/cert/140304553/psa"
"","Football","2025","Bowman University Chrome","Fernando Mendoza","Base","109","36","69","52%","https://app.cardladder.com/search?gemRateId=29da44e9ede3f73331e8d0b4774e9875f19c0f3d&via=gemrate","https://app.cardladder.com/search?gemRateId=29da44e9ede3f73331e8d0b4774e9875f19c0f3d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=29da44e9ede3f73331e8d0b4774e9875f19c0f3d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/139807731/psa"
"","Football","2025","Bowman U Now","Fernando Mendoza","Base","26","26","31","84%","https://app.cardladder.com/search?gemRateId=0564ba974e6d51e25ebe47306f207c8818159182&via=gemrate","https://app.cardladder.com/search?gemRateId=0564ba974e6d51e25ebe47306f207c8818159182&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0564ba974e6d51e25ebe47306f207c8818159182&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/136751488/psa"
"","Football","2025","Bowman University Chrome","Fernando Mendoza","Refractor","109","13","26","50%","https://app.cardladder.com/search?gemRateId=01bd7720979d34d6eeaa96402726fde1c84f9a81&via=gemrate","https://app.cardladder.com/search?gemRateId=01bd7720979d34d6eeaa96402726fde1c84f9a81&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=01bd7720979d34d6eeaa96402726fde1c84f9a81&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/143537930/psa"
"","Football","2025","Bowman University Chrome Bowman Chrome Prospect Autographs","Fernando Mendoza","Base","FME","12","20","60%","https://app.cardladder.com/search?gemRateId=e100a66de6b7027bdbf9da19a5b0d2d1fba3715f&via=gemrate","https://app.cardladder.com/search?gemRateId=e100a66de6b7027bdbf9da19a5b0d2d1fba3715f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e100a66de6b7027bdbf9da19a5b0d2d1fba3715f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/138783226/psa"
"","Football","2025","Bowman U Now","Fernando Mendoza","Base","33","17","18","94%","https://app.cardladder.com/search?gemRateId=6fc20f44ef19499c3aecef22efdd6c6b7b10b3dd&via=gemrate","https://app.cardladder.com/search?gemRateId=6fc20f44ef19499c3aecef22efdd6c6b7b10b3dd&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6fc20f44ef19499c3aecef22efdd6c6b7b10b3dd&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6fc20f44ef19499c3aecef22efdd6c6b7b10b3dd","https://www.psacard.com/cert/143861465/psa"
"","Football","2025","Bowman University Chrome","Fernando Mendoza","X-Fractor","109","8","17","47%","https://app.cardladder.com/search?gemRateId=d6cbe8815b281de9f5a646f93911a4231dcced37&via=gemrate","https://app.cardladder.com/search?gemRateId=d6cbe8815b281de9f5a646f93911a4231dcced37&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d6cbe8815b281de9f5a646f93911a4231dcced37&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/143054553/psa"
"","Football","2025","Bowman University Chrome Sapphire","Fernando Mendoza","Base","109","12","16","75%","https://app.cardladder.com/search?gemRateId=20a9280fefdf89c567e89906b55c4b77030ba93e&via=gemrate","https://app.cardladder.com/search?gemRateId=20a9280fefdf89c567e89906b55c4b77030ba93e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=20a9280fefdf89c567e89906b55c4b77030ba93e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/143305129/psa"
"","Football","2025","Bowman U Now","Fernando Mendoza","Base","58","11","15","73%","https://app.cardladder.com/search?gemRateId=cde2c1cc63ce3b4f66f6bf86a22515eb7e79ca0d&via=gemrate","https://app.cardladder.com/search?gemRateId=cde2c1cc63ce3b4f66f6bf86a22515eb7e79ca0d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=cde2c1cc63ce3b4f66f6bf86a22515eb7e79ca0d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/144590066/psa"
