"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2013","Panini Hoops","Giannis Antetokounmpo","Base","275","2,984","6,109","49%","https://app.cardladder.com/search?gemRateId=771145d0448d44df4ee95255fe9dcbe3eb92fde2&via=gemrate","https://app.cardladder.com/search?gemRateId=771145d0448d44df4ee95255fe9dcbe3eb92fde2&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=771145d0448d44df4ee95255fe9dcbe3eb92fde2&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=771145d0448d44df4ee95255fe9dcbe3eb92fde2","https://www.psacard.com/cert/142557944/psa"
"","Basketball","2013","Panini Prizm","Giannis Antetokounmpo","Base","290","3,245","5,523","59%","https://app.cardladder.com/search?gemRateId=9c4b4aca4dbc00ab2af7e6e7d5c996ad341c8903&via=gemrate","https://app.cardladder.com/search?gemRateId=9c4b4aca4dbc00ab2af7e6e7d5c996ad341c8903&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9c4b4aca4dbc00ab2af7e6e7d5c996ad341c8903&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9c4b4aca4dbc00ab2af7e6e7d5c996ad341c8903","https://www.psacard.com/cert/136829673/psa"
"","Basketball","2013","SP Authentic","Giannis Antetokounmpo","Base","36","3,213","5,475","59%","https://app.cardladder.com/search?gemRateId=2a676185100f677197105d3e3908e9550f9fd4bd&via=gemrate","https://app.cardladder.com/search?gemRateId=2a676185100f677197105d3e3908e9550f9fd4bd&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2a676185100f677197105d3e3908e9550f9fd4bd&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2a676185100f677197105d3e3908e9550f9fd4bd","https://www.psacard.com/cert/135365375/psa"
"","Basketball","2013","Panini Prestige","Giannis Antetokounmpo","Base","175","1,207","4,402","27%","https://app.cardladder.com/search?gemRateId=c11ebfb9145c966343d9c70fdff04533cb8d8a68&via=gemrate","https://app.cardladder.com/search?gemRateId=c11ebfb9145c966343d9c70fdff04533cb8d8a68&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c11ebfb9145c966343d9c70fdff04533cb8d8a68&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c11ebfb9145c966343d9c70fdff04533cb8d8a68","https://www.psacard.com/cert/133903207/psa"
"","Basketball","2013","Panini","Giannis Antetokounmpo","Base","194","597","4,251","14%","https://app.cardladder.com/search?gemRateId=7b413d1c6fcdb5c4e3ae3d526a720024c6cc6fc7&via=gemrate","https://app.cardladder.com/search?gemRateId=7b413d1c6fcdb5c4e3ae3d526a720024c6cc6fc7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7b413d1c6fcdb5c4e3ae3d526a720024c6cc6fc7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7b413d1c6fcdb5c4e3ae3d526a720024c6cc6fc7","https://www.psacard.com/cert/122443382/psa"
"","Basketball","2019","Panini Prizm","Giannis Antetokounmpo","Base","152","1,562","3,351","47%","https://app.cardladder.com/search?gemRateId=04f718113120dea8d6961785befad9c7d31f6d65&via=gemrate","https://app.cardladder.com/search?gemRateId=04f718113120dea8d6961785befad9c7d31f6d65&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=04f718113120dea8d6961785befad9c7d31f6d65&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=04f718113120dea8d6961785befad9c7d31f6d65","https://www.psacard.com/cert/119001501/psa"
"","Basketball","2013","Panini Select","Giannis Antetokounmpo","Base","178","1,661","2,715","61%","https://app.cardladder.com/search?gemRateId=3b182b9a40ff151d901312fb0d2f1b8b41a8f1ac&via=gemrate","https://app.cardladder.com/search?gemRateId=3b182b9a40ff151d901312fb0d2f1b8b41a8f1ac&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3b182b9a40ff151d901312fb0d2f1b8b41a8f1ac&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3b182b9a40ff151d901312fb0d2f1b8b41a8f1ac","https://www.psacard.com/cert/133578126/psa"
"","Basketball","2013","Panini Pinnacle","Giannis Antetokounmpo","Base","5","116","2,193","5%","https://app.cardladder.com/search?gemRateId=87cf0310cb5cfd573f62dc966d0e45348d7a8d3d&via=gemrate","https://app.cardladder.com/search?gemRateId=87cf0310cb5cfd573f62dc966d0e45348d7a8d3d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=87cf0310cb5cfd573f62dc966d0e45348d7a8d3d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=87cf0310cb5cfd573f62dc966d0e45348d7a8d3d","https://www.psacard.com/cert/109692279/psa"
"","Basketball","2019","Panini Prizm","Giannis Antetokounmpo","Silver Prizm","152","1,089","2,092","52%","https://app.cardladder.com/search?gemRateId=29ef257f7aac622b9081909b837a4cbce10813f9&via=gemrate","https://app.cardladder.com/search?gemRateId=29ef257f7aac622b9081909b837a4cbce10813f9&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=29ef257f7aac622b9081909b837a4cbce10813f9&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=29ef257f7aac622b9081909b837a4cbce10813f9","https://www.psacard.com/cert/133072501/psa"
"","Basketball","2013","Fleer Retro","Giannis Antetokounmpo","Base","47","924","2,054","45%","https://app.cardladder.com/search?gemRateId=5cbc5a6853c4617cf667778603d9ae2315135411&via=gemrate","https://app.cardladder.com/search?gemRateId=5cbc5a6853c4617cf667778603d9ae2315135411&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5cbc5a6853c4617cf667778603d9ae2315135411&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5cbc5a6853c4617cf667778603d9ae2315135411","https://www.psacard.com/cert/136977217/psa"
"","Basketball","2019","Panini Mosaic","Giannis Antetokounmpo","Base","297","964","1,511","64%","https://app.cardladder.com/search?gemRateId=c2e6e59ac871196971c4f34633fa9db25973ab55&via=gemrate","https://app.cardladder.com/search?gemRateId=c2e6e59ac871196971c4f34633fa9db25973ab55&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c2e6e59ac871196971c4f34633fa9db25973ab55&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c2e6e59ac871196971c4f34633fa9db25973ab55","https://www.psacard.com/cert/86576170/psa"
"","Basketball","2014","Panini Prizm","Giannis Antetokounmpo","Base","73","576","1,403","41%","https://app.cardladder.com/search?gemRateId=db6d233e166056471dd5f6aaa382c336096274fa&via=gemrate","https://app.cardladder.com/search?gemRateId=db6d233e166056471dd5f6aaa382c336096274fa&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=db6d233e166056471dd5f6aaa382c336096274fa&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=db6d233e166056471dd5f6aaa382c336096274fa","https://www.psacard.com/cert/125328290/psa"
"","Basketball","2018","Panini Prizm","Giannis Antetokounmpo","Silver Prizm","296","726","1,371","53%","https://app.cardladder.com/search?gemRateId=c2f88a448354676f3caf28f5a74c9a8b5f2422ce&via=gemrate","https://app.cardladder.com/search?gemRateId=c2f88a448354676f3caf28f5a74c9a8b5f2422ce&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c2f88a448354676f3caf28f5a74c9a8b5f2422ce&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c2f88a448354676f3caf28f5a74c9a8b5f2422ce","https://www.psacard.com/cert/97634955/psa"
