"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2021","Panini Donruss","JA'Marr Chase","Base","262","2,893","4,047","71%","https://app.cardladder.com/search?gemRateId=a590df02d58b3bb24dbba791ef81036dc354b4bb&via=gemrate","https://app.cardladder.com/search?gemRateId=a590df02d58b3bb24dbba791ef81036dc354b4bb&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a590df02d58b3bb24dbba791ef81036dc354b4bb&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a590df02d58b3bb24dbba791ef81036dc354b4bb","https://www.psacard.com/cert/138525263/psa"
"","Football","2021","Panini Prizm","JA'Marr Chase","Base","337","1,197","2,373","50%","https://app.cardladder.com/search?gemRateId=8452647f0dd40532097c4968721b2d9b31c848a5&via=gemrate","https://app.cardladder.com/search?gemRateId=8452647f0dd40532097c4968721b2d9b31c848a5&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8452647f0dd40532097c4968721b2d9b31c848a5&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8452647f0dd40532097c4968721b2d9b31c848a5","https://www.psacard.com/cert/137069254/psa"
"","Football","2021","Panini Phoenix","JA'Marr Chase","Fire Burst","105","1,000","1,669","60%","https://app.cardladder.com/search?gemRateId=8b12e94e84db686c591dd467fa50044830b5ca6d&via=gemrate","https://app.cardladder.com/search?gemRateId=8b12e94e84db686c591dd467fa50044830b5ca6d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8b12e94e84db686c591dd467fa50044830b5ca6d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8b12e94e84db686c591dd467fa50044830b5ca6d","https://www.psacard.com/cert/136562652/psa"
"","Football","2021","Panini Donruss Optic","JA'Marr Chase","Base","207","582","1,667","35%","https://app.cardladder.com/search?gemRateId=08b21d94389b3adf9ab8e413d1ca026802be1b85&via=gemrate","https://app.cardladder.com/search?gemRateId=08b21d94389b3adf9ab8e413d1ca026802be1b85&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=08b21d94389b3adf9ab8e413d1ca026802be1b85&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=08b21d94389b3adf9ab8e413d1ca026802be1b85","https://www.psacard.com/cert/136233821/psa"
"","Football","2021","Panini Donruss Optic","JA'Marr Chase","Holo","207","446","1,413","32%","https://app.cardladder.com/search?gemRateId=ce2b2a025006e264e7a909462d6278929c9e26e5&via=gemrate","https://app.cardladder.com/search?gemRateId=ce2b2a025006e264e7a909462d6278929c9e26e5&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ce2b2a025006e264e7a909462d6278929c9e26e5&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ce2b2a025006e264e7a909462d6278929c9e26e5","https://www.psacard.com/cert/133416501/psa"
"","Football","2021","Panini Donruss Optic","JA'Marr Chase","Blue Scope","207","613","1,398","44%","https://app.cardladder.com/search?gemRateId=e9d22e8c900527f0ad71c401f3892933f55a34aa&via=gemrate","https://app.cardladder.com/search?gemRateId=e9d22e8c900527f0ad71c401f3892933f55a34aa&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e9d22e8c900527f0ad71c401f3892933f55a34aa&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e9d22e8c900527f0ad71c401f3892933f55a34aa","https://www.psacard.com/cert/139343437/psa"
"","Football","2021","Panini Donruss","JA'Marr Chase","Premium","262","1,039","1,353","77%","https://app.cardladder.com/search?gemRateId=0d958f7a88fa88c1a18d1e0a2f442239e3da50f5&via=gemrate","https://app.cardladder.com/search?gemRateId=0d958f7a88fa88c1a18d1e0a2f442239e3da50f5&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0d958f7a88fa88c1a18d1e0a2f442239e3da50f5&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/109759053/psa"
"","Football","2021","Panini Prizm","JA'Marr Chase","Disco Prizm","337","586","1,317","44%","https://app.cardladder.com/search?gemRateId=6d6c5eaa194ccd11a8b2966c4af4fe51c58a834f&via=gemrate","https://app.cardladder.com/search?gemRateId=6d6c5eaa194ccd11a8b2966c4af4fe51c58a834f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6d6c5eaa194ccd11a8b2966c4af4fe51c58a834f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6d6c5eaa194ccd11a8b2966c4af4fe51c58a834f","https://www.psacard.com/cert/139058239/psa"
"","Football","2021","Panini Prizm","JA'Marr Chase","Lazer Prizm","337","660","1,307","50%","https://app.cardladder.com/search?gemRateId=ecd2b6d25300171405e24524224767031237b366&via=gemrate","https://app.cardladder.com/search?gemRateId=ecd2b6d25300171405e24524224767031237b366&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ecd2b6d25300171405e24524224767031237b366&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ecd2b6d25300171405e24524224767031237b366","https://www.psacard.com/cert/142569543/psa"
