"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2020","Panini Prizm","Jalen Hurts","Base","343","3,359","10,057","33%","https://app.cardladder.com/search?gemRateId=d9df0fad0f960cf091c75bf03aef43b2ccb3fda9&via=gemrate","https://app.cardladder.com/search?gemRateId=d9df0fad0f960cf091c75bf03aef43b2ccb3fda9&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d9df0fad0f960cf091c75bf03aef43b2ccb3fda9&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d9df0fad0f960cf091c75bf03aef43b2ccb3fda9","https://www.psacard.com/cert/139337085/psa"
"","Football","2020","Panini Mosaic","Jalen Hurts","Base","222","3,220","5,835","55%","https://app.cardladder.com/search?gemRateId=7d9c5f438f199aabe9506c9dfd80c94f5fc6c013&via=gemrate","https://app.cardladder.com/search?gemRateId=7d9c5f438f199aabe9506c9dfd80c94f5fc6c013&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7d9c5f438f199aabe9506c9dfd80c94f5fc6c013&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7d9c5f438f199aabe9506c9dfd80c94f5fc6c013","https://www.psacard.com/cert/133909108/psa"
"","Football","2020","Panini Donruss","Jalen Hurts","Base","314","2,999","5,212","58%","https://app.cardladder.com/search?gemRateId=87f46cc097c0578263288a2d18d2c3c808bc188a&via=gemrate","https://app.cardladder.com/search?gemRateId=87f46cc097c0578263288a2d18d2c3c808bc188a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=87f46cc097c0578263288a2d18d2c3c808bc188a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=87f46cc097c0578263288a2d18d2c3c808bc188a","https://www.psacard.com/cert/138372685/psa"
"","Football","2020","Panini Phoenix","Jalen Hurts","Fire Burst","114","2,471","4,149","60%","https://app.cardladder.com/search?gemRateId=19443bb8f0b94b29224aa1404c320c2b9595502a&via=gemrate","https://app.cardladder.com/search?gemRateId=19443bb8f0b94b29224aa1404c320c2b9595502a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=19443bb8f0b94b29224aa1404c320c2b9595502a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=19443bb8f0b94b29224aa1404c320c2b9595502a","https://www.psacard.com/cert/135181809/psa"
"","Football","2020","Panini Donruss Optic","Jalen Hurts","Holo","164","1,960","3,969","49%","https://app.cardladder.com/search?gemRateId=2f6abc7563391d3e8e0f3f1465563510835a09d6&via=gemrate","https://app.cardladder.com/search?gemRateId=2f6abc7563391d3e8e0f3f1465563510835a09d6&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2f6abc7563391d3e8e0f3f1465563510835a09d6&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2f6abc7563391d3e8e0f3f1465563510835a09d6","https://www.psacard.com/cert/137327811/psa"
"","Football","2020","Panini Donruss Optic","Jalen Hurts","Base","164","1,921","3,585","54%","https://app.cardladder.com/search?gemRateId=79eba7484aafca65ac76c56811d955c08c48ca90&via=gemrate","https://app.cardladder.com/search?gemRateId=79eba7484aafca65ac76c56811d955c08c48ca90&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=79eba7484aafca65ac76c56811d955c08c48ca90&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=79eba7484aafca65ac76c56811d955c08c48ca90","https://www.psacard.com/cert/142688407/psa"
"","Football","2020","Panini Absolute","Jalen Hurts","Base","145","1,347","2,275","59%","https://app.cardladder.com/search?gemRateId=6f891c6cdcef90b186819c06281ed857b5dfec5d&via=gemrate","https://app.cardladder.com/search?gemRateId=6f891c6cdcef90b186819c06281ed857b5dfec5d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6f891c6cdcef90b186819c06281ed857b5dfec5d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6f891c6cdcef90b186819c06281ed857b5dfec5d","https://www.psacard.com/cert/133521883/psa"
"","Football","2020","Panini Prizm","Jalen Hurts","Red/White/Blue Prizm","343","675","2,229","30%","https://app.cardladder.com/search?gemRateId=2c46c532e6350bde235177d4d3ef0e0c42cbb550&via=gemrate","https://app.cardladder.com/search?gemRateId=2c46c532e6350bde235177d4d3ef0e0c42cbb550&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2c46c532e6350bde235177d4d3ef0e0c42cbb550&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2c46c532e6350bde235177d4d3ef0e0c42cbb550","https://www.psacard.com/cert/132882086/psa"
"","Football","2020","Panini Mosaic","Jalen Hurts","Base","265","1,132","2,214","51%","https://app.cardladder.com/search?gemRateId=86ede8356b136276f82ff27deece0f3dd4c940e5&via=gemrate","https://app.cardladder.com/search?gemRateId=86ede8356b136276f82ff27deece0f3dd4c940e5&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=86ede8356b136276f82ff27deece0f3dd4c940e5&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=86ede8356b136276f82ff27deece0f3dd4c940e5","https://www.psacard.com/cert/123862150/psa"
