"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2021","Panini Prizm","Jalen Johnson","Silver Prizm","305","142","426","33%","https://app.cardladder.com/search?gemRateId=df3b8521483d8dcca4514b727de6d9eb08a8e1d8&via=gemrate","https://app.cardladder.com/search?gemRateId=df3b8521483d8dcca4514b727de6d9eb08a8e1d8&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=df3b8521483d8dcca4514b727de6d9eb08a8e1d8&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=df3b8521483d8dcca4514b727de6d9eb08a8e1d8","https://www.psacard.com/cert/135850037/psa"
"","Basketball","2021","Panini Prizm","Jalen Johnson","NBA 75th Prizm","305","50","117","43%","https://app.cardladder.com/search?gemRateId=fb504c513b1a9e2a6403d12a1623cd89c0076e9a&via=gemrate","https://app.cardladder.com/search?gemRateId=fb504c513b1a9e2a6403d12a1623cd89c0076e9a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fb504c513b1a9e2a6403d12a1623cd89c0076e9a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=fb504c513b1a9e2a6403d12a1623cd89c0076e9a","https://www.psacard.com/cert/133391519/psa"
"","Basketball","2021","Panini Prizm","Jalen Johnson","Ice","305","52","92","57%","https://app.cardladder.com/search?gemRateId=b5eda6cd83d9cba798d71628c5bf6fe88124a2fa&via=gemrate","https://app.cardladder.com/search?gemRateId=b5eda6cd83d9cba798d71628c5bf6fe88124a2fa&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b5eda6cd83d9cba798d71628c5bf6fe88124a2fa&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b5eda6cd83d9cba798d71628c5bf6fe88124a2fa","https://www.psacard.com/cert/132448897/psa"
"","Basketball","2021","Panini Prizm Rookie Signatures","Jalen Johnson","Base","RSJJO","35","87","40%","https://app.cardladder.com/search?gemRateId=2de12b1175f5150b6436e841016a151421122e5d&via=gemrate","https://app.cardladder.com/search?gemRateId=2de12b1175f5150b6436e841016a151421122e5d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2de12b1175f5150b6436e841016a151421122e5d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2de12b1175f5150b6436e841016a151421122e5d","https://www.psacard.com/cert/127715633/psa"
"","Basketball","2021","Panini Prizm","Jalen Johnson","Red Ice","305","52","80","65%","https://app.cardladder.com/search?gemRateId=35bbddffdd6084a44896bbad98b57151a1b0ddaa&via=gemrate","https://app.cardladder.com/search?gemRateId=35bbddffdd6084a44896bbad98b57151a1b0ddaa&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=35bbddffdd6084a44896bbad98b57151a1b0ddaa&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=35bbddffdd6084a44896bbad98b57151a1b0ddaa","https://www.psacard.com/cert/132212556/psa"
"","Basketball","2021","Panini Prizm","Jalen Johnson","Orange Ice","305","43","69","62%","https://app.cardladder.com/search?gemRateId=9e452236b4d62b9b538a5b63483de457c2955e27&via=gemrate","https://app.cardladder.com/search?gemRateId=9e452236b4d62b9b538a5b63483de457c2955e27&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9e452236b4d62b9b538a5b63483de457c2955e27&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9e452236b4d62b9b538a5b63483de457c2955e27","https://www.psacard.com/cert/116015500/psa"
"","Basketball","2021","Panini Prizm Factory Set","Jalen Johnson","Base","305","37","65","57%","https://app.cardladder.com/search?gemRateId=ee8401d6f91bf4c1992cfb477d7312cc1b0adf60&via=gemrate","https://app.cardladder.com/search?gemRateId=ee8401d6f91bf4c1992cfb477d7312cc1b0adf60&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ee8401d6f91bf4c1992cfb477d7312cc1b0adf60&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=86dd497f9f7cbec18cb71f74b9e4613eec69f5ba","https://www.psacard.com/cert/129047775/psa"
"","Basketball","2021","Panini Prizm","Jalen Johnson","Red/White/Blue Prizm","305","31","64","48%","https://app.cardladder.com/search?gemRateId=2ba48a0c002d431219c31c97dd68d6ca107e4282&via=gemrate","https://app.cardladder.com/search?gemRateId=2ba48a0c002d431219c31c97dd68d6ca107e4282&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2ba48a0c002d431219c31c97dd68d6ca107e4282&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2ba48a0c002d431219c31c97dd68d6ca107e4282","https://www.psacard.com/cert/128435057/psa"
"","Basketball","2021","Panini Prizm","Jalen Johnson","Red Prizm","305","18","62","29%","https://app.cardladder.com/search?gemRateId=d9f8df853b6ac2e8411f946aa41e48c86f4afbfe&via=gemrate","https://app.cardladder.com/search?gemRateId=d9f8df853b6ac2e8411f946aa41e48c86f4afbfe&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d9f8df853b6ac2e8411f946aa41e48c86f4afbfe&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d9f8df853b6ac2e8411f946aa41e48c86f4afbfe","https://www.psacard.com/cert/127829467/psa"
