"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2022","Panini Prizm","Jalen Williams","Silver Prizm","246","728","1,545","47%","https://app.cardladder.com/search?gemRateId=213d1a32a96355191bcd1e3632da7faf985caa9c&via=gemrate","https://app.cardladder.com/search?gemRateId=213d1a32a96355191bcd1e3632da7faf985caa9c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=213d1a32a96355191bcd1e3632da7faf985caa9c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=213d1a32a96355191bcd1e3632da7faf985caa9c","https://www.psacard.com/cert/137721171/psa"
"","Basketball","2022","Panini Prizm","Jalen Williams","Base","246","325","593","55%","https://app.cardladder.com/search?gemRateId=0001132b88ce704474888dd90d956e2f02ef124e&via=gemrate","https://app.cardladder.com/search?gemRateId=0001132b88ce704474888dd90d956e2f02ef124e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0001132b88ce704474888dd90d956e2f02ef124e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0001132b88ce704474888dd90d956e2f02ef124e","https://www.psacard.com/cert/130907737/psa"
"","Basketball","2022","Panini Prizm","Jalen Williams","Red Ice","246","354","532","67%","https://app.cardladder.com/search?gemRateId=9a0972f46816c1b485955a09cf86ff3f779038e5&via=gemrate","https://app.cardladder.com/search?gemRateId=9a0972f46816c1b485955a09cf86ff3f779038e5&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9a0972f46816c1b485955a09cf86ff3f779038e5&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9a0972f46816c1b485955a09cf86ff3f779038e5","https://www.psacard.com/cert/144938585/psa"
"","Basketball","2022","Panini Prizm","Jalen Williams","Ice","246","215","359","60%","https://app.cardladder.com/search?gemRateId=4b6b977ae72d38ecc8fa9c2db9d07a6dce9a8246&via=gemrate","https://app.cardladder.com/search?gemRateId=4b6b977ae72d38ecc8fa9c2db9d07a6dce9a8246&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=4b6b977ae72d38ecc8fa9c2db9d07a6dce9a8246&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=4b6b977ae72d38ecc8fa9c2db9d07a6dce9a8246","https://www.psacard.com/cert/144938586/psa"
"","Basketball","2022","Panini Donruss Optic","Jalen Williams","Holo","235","57","261","22%","https://app.cardladder.com/search?gemRateId=716cc7db010f59c66b0adefa646b89cd45248863&via=gemrate","https://app.cardladder.com/search?gemRateId=716cc7db010f59c66b0adefa646b89cd45248863&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=716cc7db010f59c66b0adefa646b89cd45248863&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=716cc7db010f59c66b0adefa646b89cd45248863","https://www.psacard.com/cert/127593817/psa"
"","Basketball","2022","Panini Mosaic Stained Glass","Jalen Williams","Base","4","206","261","79%","https://app.cardladder.com/search?gemRateId=fd20f6c05d6024567f5eef3c487de5252e1a60cb&via=gemrate","https://app.cardladder.com/search?gemRateId=fd20f6c05d6024567f5eef3c487de5252e1a60cb&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fd20f6c05d6024567f5eef3c487de5252e1a60cb&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=fd20f6c05d6024567f5eef3c487de5252e1a60cb","https://www.psacard.com/cert/129960985/psa"
"","Basketball","2022","Panini Prizm","Jalen Williams","Variation","246","158","243","65%","https://app.cardladder.com/search?gemRateId=f74826aef89b6ed4bd30cdff296303a0c03127bd&via=gemrate","https://app.cardladder.com/search?gemRateId=f74826aef89b6ed4bd30cdff296303a0c03127bd&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f74826aef89b6ed4bd30cdff296303a0c03127bd&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f74826aef89b6ed4bd30cdff296303a0c03127bd","https://www.psacard.com/cert/127535205/psa"
"","Basketball","2022","Panini Prizm","Jalen Williams","Green Prizm","246","124","217","57%","https://app.cardladder.com/search?gemRateId=9235e98bf847f01a866830940dec829eb982a82a&via=gemrate","https://app.cardladder.com/search?gemRateId=9235e98bf847f01a866830940dec829eb982a82a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9235e98bf847f01a866830940dec829eb982a82a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9235e98bf847f01a866830940dec829eb982a82a","https://www.psacard.com/cert/126854613/psa"
"","Basketball","2022","Panini Prizm","Jalen Williams","Hyper Prizm","246","109","200","55%","https://app.cardladder.com/search?gemRateId=fa3edc8548ddd2f525faea8939f7e47153c0fd6f&via=gemrate","https://app.cardladder.com/search?gemRateId=fa3edc8548ddd2f525faea8939f7e47153c0fd6f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fa3edc8548ddd2f525faea8939f7e47153c0fd6f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=fa3edc8548ddd2f525faea8939f7e47153c0fd6f","https://www.psacard.com/cert/134335429/psa"
