"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2023","Panini Prizm","Jaxon Smith-Njigba","Silver Prizm","390","386","774","50%","https://app.cardladder.com/search?gemRateId=5628fb649cc5784606b3688b84beaa8f2c529b7a&via=gemrate","https://app.cardladder.com/search?gemRateId=5628fb649cc5784606b3688b84beaa8f2c529b7a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5628fb649cc5784606b3688b84beaa8f2c529b7a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5628fb649cc5784606b3688b84beaa8f2c529b7a","https://www.psacard.com/cert/133463707/psa"
"","Football","2023","Panini Donruss Downtown!","Jaxon Smith-Njigba","Base","D15","282","592","48%","https://app.cardladder.com/search?gemRateId=174be65988aaf01f567a9ecb465adf6cca0bc287&via=gemrate","https://app.cardladder.com/search?gemRateId=174be65988aaf01f567a9ecb465adf6cca0bc287&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=174be65988aaf01f567a9ecb465adf6cca0bc287&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=174be65988aaf01f567a9ecb465adf6cca0bc287","https://www.psacard.com/cert/136022796/psa"
"","Football","2023","Panini Prizm","Jaxon Smith-Njigba","Lazer Prizm","390","268","428","63%","https://app.cardladder.com/search?gemRateId=98001c24fd05c04fc98fd2787726486b94df8cec&via=gemrate","https://app.cardladder.com/search?gemRateId=98001c24fd05c04fc98fd2787726486b94df8cec&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=98001c24fd05c04fc98fd2787726486b94df8cec&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=98001c24fd05c04fc98fd2787726486b94df8cec","https://www.psacard.com/cert/137473212/psa"
"","Football","2023","Panini Prizm","Jaxon Smith-Njigba","Disco Prizm","390","247","397","62%","https://app.cardladder.com/search?gemRateId=c2d8e54ea9aad944e077706f9484b5be12943af1&via=gemrate","https://app.cardladder.com/search?gemRateId=c2d8e54ea9aad944e077706f9484b5be12943af1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c2d8e54ea9aad944e077706f9484b5be12943af1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c2d8e54ea9aad944e077706f9484b5be12943af1","https://www.psacard.com/cert/129311687/psa"
"","Football","2023","Panini Donruss Optic","Jaxon Smith-Njigba","Holo","293","116","391","30%","https://app.cardladder.com/search?gemRateId=72455c60e0cf1cee5a5710ced20aeb9b02ae8d8c&via=gemrate","https://app.cardladder.com/search?gemRateId=72455c60e0cf1cee5a5710ced20aeb9b02ae8d8c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=72455c60e0cf1cee5a5710ced20aeb9b02ae8d8c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ab8ddbfc6a80b03277ad93bb966c07d361c6750d","https://www.psacard.com/cert/138011790/psa"
"","Football","2023","Panini Donruss Optic","Jaxon Smith-Njigba","Purple Shock","293","159","372","43%","https://app.cardladder.com/search?gemRateId=b0af4d021d67990a6cf179c18f1b7cee4054fcae&via=gemrate","https://app.cardladder.com/search?gemRateId=b0af4d021d67990a6cf179c18f1b7cee4054fcae&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b0af4d021d67990a6cf179c18f1b7cee4054fcae&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b0af4d021d67990a6cf179c18f1b7cee4054fcae","https://www.psacard.com/cert/134791780/psa"
"","Football","2023","Panini Prizm","Jaxon Smith-Njigba","Autograph","390","127","368","35%","https://app.cardladder.com/search?gemRateId=e892848aad277ea6bfa65d2ef06a1e0764450b03&via=gemrate","https://app.cardladder.com/search?gemRateId=e892848aad277ea6bfa65d2ef06a1e0764450b03&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e892848aad277ea6bfa65d2ef06a1e0764450b03&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e892848aad277ea6bfa65d2ef06a1e0764450b03","https://www.psacard.com/cert/124295743/psa"
"","Football","2023","Panini Prizm","Jaxon Smith-Njigba","Variation","309","188","364","52%","https://app.cardladder.com/search?gemRateId=c4c183cf24ac865329f44ca2b9104906cc80b204&via=gemrate","https://app.cardladder.com/search?gemRateId=c4c183cf24ac865329f44ca2b9104906cc80b204&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c4c183cf24ac865329f44ca2b9104906cc80b204&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c4c183cf24ac865329f44ca2b9104906cc80b204","https://www.psacard.com/cert/132419831/psa"
"","Football","2023","Panini Absolute Kaboom! Horizontal","Jaxon Smith-Njigba","Base","15","207","339","61%","https://app.cardladder.com/search?gemRateId=769d03b121e2bc0abc509cd640ed0d1fe7a485a1&via=gemrate","https://app.cardladder.com/search?gemRateId=769d03b121e2bc0abc509cd640ed0d1fe7a485a1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=769d03b121e2bc0abc509cd640ed0d1fe7a485a1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=769d03b121e2bc0abc509cd640ed0d1fe7a485a1","https://www.psacard.com/cert/140507100/psa"
