"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2017","Panini Prizm","Jayson Tatum","Base","16","6,588","14,059","47%","https://app.cardladder.com/search?gemRateId=cfed613b0fd513e89ce2cfa4a53ed1bd96d996ff&via=gemrate","https://app.cardladder.com/search?gemRateId=cfed613b0fd513e89ce2cfa4a53ed1bd96d996ff&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=cfed613b0fd513e89ce2cfa4a53ed1bd96d996ff&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=cfed613b0fd513e89ce2cfa4a53ed1bd96d996ff","https://www.psacard.com/cert/142302775/psa"
"","Basketball","2017","Panini Donruss Optic","Jayson Tatum","Base","198","6,070","12,025","50%","https://app.cardladder.com/search?gemRateId=754a8cf52d62f5ade9a01841950fedb040d8c4f1&via=gemrate","https://app.cardladder.com/search?gemRateId=754a8cf52d62f5ade9a01841950fedb040d8c4f1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=754a8cf52d62f5ade9a01841950fedb040d8c4f1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=754a8cf52d62f5ade9a01841950fedb040d8c4f1","https://www.psacard.com/cert/136920987/psa"
"","Basketball","2017","Panini Hoops","Jayson Tatum","Base","253","5,496","7,842","70%","https://app.cardladder.com/search?gemRateId=786838df32a1dc0f5f23899a8ad0766740a79c36&via=gemrate","https://app.cardladder.com/search?gemRateId=786838df32a1dc0f5f23899a8ad0766740a79c36&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=786838df32a1dc0f5f23899a8ad0766740a79c36&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=786838df32a1dc0f5f23899a8ad0766740a79c36","https://www.psacard.com/cert/144938493/psa"
"","Basketball","2017","Panini Donruss Optic","Jayson Tatum","Red/Yellow","198","3,521","6,495","54%","https://app.cardladder.com/search?gemRateId=c03efb6f756c9aceb00e79e4ee197d6accfb54a1&via=gemrate","https://app.cardladder.com/search?gemRateId=c03efb6f756c9aceb00e79e4ee197d6accfb54a1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c03efb6f756c9aceb00e79e4ee197d6accfb54a1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c03efb6f756c9aceb00e79e4ee197d6accfb54a1","https://www.psacard.com/cert/133696906/psa"
"","Basketball","2017","Panini Donruss","Jayson Tatum","Base","198","906","6,130","15%","https://app.cardladder.com/search?gemRateId=deede611cf3b41fc9f3b941314ba833b366459e6&via=gemrate","https://app.cardladder.com/search?gemRateId=deede611cf3b41fc9f3b941314ba833b366459e6&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=deede611cf3b41fc9f3b941314ba833b366459e6&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=deede611cf3b41fc9f3b941314ba833b366459e6","https://www.psacard.com/cert/118537326/psa"
"","Basketball","2017","Panini Donruss Optic","Jayson Tatum","Shock","198","1,198","3,352","36%","https://app.cardladder.com/search?gemRateId=09fe7134201a79c28f9b31ce604a2c9140561353&via=gemrate","https://app.cardladder.com/search?gemRateId=09fe7134201a79c28f9b31ce604a2c9140561353&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=09fe7134201a79c28f9b31ce604a2c9140561353&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=09fe7134201a79c28f9b31ce604a2c9140561353","https://www.psacard.com/cert/123172836/psa"
"","Basketball","2017","Panini Select","Jayson Tatum","Base","93","1,469","2,814","52%","https://app.cardladder.com/search?gemRateId=9b6435de5fee4dd7a474b0c31c3d0cbd4777dec1&via=gemrate","https://app.cardladder.com/search?gemRateId=9b6435de5fee4dd7a474b0c31c3d0cbd4777dec1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9b6435de5fee4dd7a474b0c31c3d0cbd4777dec1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9b6435de5fee4dd7a474b0c31c3d0cbd4777dec1","https://www.psacard.com/cert/132373732/psa"
"","Basketball","2017","Panini Prestige","Jayson Tatum","Base","153","901","2,164","42%","https://app.cardladder.com/search?gemRateId=0a13f5a7a2a5bceb47150f5c9bb2d7c631aec521&via=gemrate","https://app.cardladder.com/search?gemRateId=0a13f5a7a2a5bceb47150f5c9bb2d7c631aec521&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0a13f5a7a2a5bceb47150f5c9bb2d7c631aec521&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0a13f5a7a2a5bceb47150f5c9bb2d7c631aec521","https://www.psacard.com/cert/131140681/psa"
"","Basketball","2017","Panini Status","Jayson Tatum","Base","128","1,059","2,129","50%","https://app.cardladder.com/search?gemRateId=a210558734b335462c00e701d0ca552ae05ae5a4&via=gemrate","https://app.cardladder.com/search?gemRateId=a210558734b335462c00e701d0ca552ae05ae5a4&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a210558734b335462c00e701d0ca552ae05ae5a4&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a210558734b335462c00e701d0ca552ae05ae5a4","https://www.psacard.com/cert/131140683/psa"
