"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2020","Panini Prizm","Jordan Love","Base","363","3,412","7,455","46%","https://app.cardladder.com/search?gemRateId=96fc998cbdcd05f148ab001edee19f8242ca696a&via=gemrate","https://app.cardladder.com/search?gemRateId=96fc998cbdcd05f148ab001edee19f8242ca696a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=96fc998cbdcd05f148ab001edee19f8242ca696a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=96fc998cbdcd05f148ab001edee19f8242ca696a","https://www.psacard.com/cert/131160833/psa"
"","Football","2020","Panini Mosaic","Jordan Love","Base","211","2,686","4,608","58%","https://app.cardladder.com/search?gemRateId=b15c6bdfc31852df765a8a8cecfc68d93676032d&via=gemrate","https://app.cardladder.com/search?gemRateId=b15c6bdfc31852df765a8a8cecfc68d93676032d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b15c6bdfc31852df765a8a8cecfc68d93676032d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b15c6bdfc31852df765a8a8cecfc68d93676032d","https://www.psacard.com/cert/131075261/psa"
"","Football","2020","Panini Donruss","Jordan Love","Base","304","2,672","4,023","66%","https://app.cardladder.com/search?gemRateId=d173a2b7a895f93d5fdf36395e1bbd15014dfd19&via=gemrate","https://app.cardladder.com/search?gemRateId=d173a2b7a895f93d5fdf36395e1bbd15014dfd19&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d173a2b7a895f93d5fdf36395e1bbd15014dfd19&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d173a2b7a895f93d5fdf36395e1bbd15014dfd19","https://www.psacard.com/cert/133296597/psa"
"","Football","2020","Panini Donruss Optic","Jordan Love","Holo","154","2,055","3,384","61%","https://app.cardladder.com/search?gemRateId=358a30e7e79a89bac9c15753d6f9a1d7a915211c&via=gemrate","https://app.cardladder.com/search?gemRateId=358a30e7e79a89bac9c15753d6f9a1d7a915211c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=358a30e7e79a89bac9c15753d6f9a1d7a915211c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=358a30e7e79a89bac9c15753d6f9a1d7a915211c","https://www.psacard.com/cert/130788845/psa"
"","Football","2020","Panini Phoenix","Jordan Love","Fire Burst","104","2,236","3,374","66%","https://app.cardladder.com/search?gemRateId=58f3068bcc4dc923802feabc3d7e2e6c7ee0fa27&via=gemrate","https://app.cardladder.com/search?gemRateId=58f3068bcc4dc923802feabc3d7e2e6c7ee0fa27&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=58f3068bcc4dc923802feabc3d7e2e6c7ee0fa27&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=58f3068bcc4dc923802feabc3d7e2e6c7ee0fa27","https://www.psacard.com/cert/145141990/psa"
"","Football","2020","Panini Donruss Optic","Jordan Love","Base","154","1,705","2,915","58%","https://app.cardladder.com/search?gemRateId=fa3d33a0d9f0bf30505ce25c47cc17cac41f82d4&via=gemrate","https://app.cardladder.com/search?gemRateId=fa3d33a0d9f0bf30505ce25c47cc17cac41f82d4&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fa3d33a0d9f0bf30505ce25c47cc17cac41f82d4&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=fa3d33a0d9f0bf30505ce25c47cc17cac41f82d4","https://www.psacard.com/cert/133462873/psa"
"","Football","2020","Panini Prizm","Jordan Love","Red/White/Blue Prizm","363","841","2,000","42%","https://app.cardladder.com/search?gemRateId=806b3d25b213e90224e1a7aca192f9880df48185&via=gemrate","https://app.cardladder.com/search?gemRateId=806b3d25b213e90224e1a7aca192f9880df48185&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=806b3d25b213e90224e1a7aca192f9880df48185&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=806b3d25b213e90224e1a7aca192f9880df48185","https://www.psacard.com/cert/136664505/psa"
"","Football","2020","Panini Select","Jordan Love","Base","47","1,074","1,736","62%","https://app.cardladder.com/search?gemRateId=631a3d08630f2d40cba9b80f29f758b90d53a13b&via=gemrate","https://app.cardladder.com/search?gemRateId=631a3d08630f2d40cba9b80f29f758b90d53a13b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=631a3d08630f2d40cba9b80f29f758b90d53a13b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=631a3d08630f2d40cba9b80f29f758b90d53a13b","https://www.psacard.com/cert/133901983/psa"
"","Football","2020","Panini Mosaic","Jordan Love","Camo Pink","211","1,264","1,678","75%","https://app.cardladder.com/search?gemRateId=dfc4f438acddeca2745421419f9596a1bb61776f&via=gemrate","https://app.cardladder.com/search?gemRateId=dfc4f438acddeca2745421419f9596a1bb61776f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=dfc4f438acddeca2745421419f9596a1bb61776f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=dfc4f438acddeca2745421419f9596a1bb61776f","https://www.psacard.com/cert/136981659/psa"
