"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2020","Panini Prizm","Justin Herbert","Base","325","6,107","16,546","37%","https://app.cardladder.com/search?gemRateId=a62f0c7d58cc4da5331054266a8cf27e0c482af4&via=gemrate","https://app.cardladder.com/search?gemRateId=a62f0c7d58cc4da5331054266a8cf27e0c482af4&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a62f0c7d58cc4da5331054266a8cf27e0c482af4&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a62f0c7d58cc4da5331054266a8cf27e0c482af4","https://www.psacard.com/cert/136737440/psa"
"","Football","2020","Panini Mosaic","Justin Herbert","Base","204","5,850","12,822","46%","https://app.cardladder.com/search?gemRateId=d2759a7b94ff49e1c6ff40e45b0e2ebab465d251&via=gemrate","https://app.cardladder.com/search?gemRateId=d2759a7b94ff49e1c6ff40e45b0e2ebab465d251&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d2759a7b94ff49e1c6ff40e45b0e2ebab465d251&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d2759a7b94ff49e1c6ff40e45b0e2ebab465d251","https://www.psacard.com/cert/129021094/psa"
"","Football","2020","Panini Donruss","Justin Herbert","Base","303","7,613","11,809","64%","https://app.cardladder.com/search?gemRateId=15d6e2581f8ee48491f6b8e7be7a03840d88a07d&via=gemrate","https://app.cardladder.com/search?gemRateId=15d6e2581f8ee48491f6b8e7be7a03840d88a07d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=15d6e2581f8ee48491f6b8e7be7a03840d88a07d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=15d6e2581f8ee48491f6b8e7be7a03840d88a07d","https://www.psacard.com/cert/140332908/psa"
"","Football","2020","Panini Mosaic","Justin Herbert","Base","263","5,041","7,759","65%","https://app.cardladder.com/search?gemRateId=1284acbd2bd0b60167b62560722fde60c244a9a3&via=gemrate","https://app.cardladder.com/search?gemRateId=1284acbd2bd0b60167b62560722fde60c244a9a3&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1284acbd2bd0b60167b62560722fde60c244a9a3&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1284acbd2bd0b60167b62560722fde60c244a9a3","https://www.psacard.com/cert/129021095/psa"
"","Football","2020","Panini Absolute","Justin Herbert","Base","167","4,732","7,308","65%","https://app.cardladder.com/search?gemRateId=96e3a436aca88c359de44a3dbde0ca381d9b1306&via=gemrate","https://app.cardladder.com/search?gemRateId=96e3a436aca88c359de44a3dbde0ca381d9b1306&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=96e3a436aca88c359de44a3dbde0ca381d9b1306&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=96e3a436aca88c359de44a3dbde0ca381d9b1306","https://www.psacard.com/cert/134159028/psa"
"","Football","2020","Panini Donruss Optic","Justin Herbert","Base","153","3,988","6,473","62%","https://app.cardladder.com/search?gemRateId=dac14806582a186e56e02e966d0a8e71df67f35e&via=gemrate","https://app.cardladder.com/search?gemRateId=dac14806582a186e56e02e966d0a8e71df67f35e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=dac14806582a186e56e02e966d0a8e71df67f35e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=dac14806582a186e56e02e966d0a8e71df67f35e","https://www.psacard.com/cert/139825326/psa"
"","Football","2020","Panini Phoenix","Justin Herbert","Fire Burst","103","3,097","5,417","57%","https://app.cardladder.com/search?gemRateId=c8055533eb2a947291d9165c67f175cc744f84e7&via=gemrate","https://app.cardladder.com/search?gemRateId=c8055533eb2a947291d9165c67f175cc744f84e7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c8055533eb2a947291d9165c67f175cc744f84e7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c8055533eb2a947291d9165c67f175cc744f84e7","https://www.psacard.com/cert/145141989/psa"
"","Football","2020","Panini Donruss Optic","Justin Herbert","Holo","153","2,729","5,113","53%","https://app.cardladder.com/search?gemRateId=37c11af9cac91ad5bf26928f3db8a6f68deac43e&via=gemrate","https://app.cardladder.com/search?gemRateId=37c11af9cac91ad5bf26928f3db8a6f68deac43e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=37c11af9cac91ad5bf26928f3db8a6f68deac43e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=37c11af9cac91ad5bf26928f3db8a6f68deac43e","https://www.psacard.com/cert/138424737/psa"
"","Football","2020","Panini Select","Justin Herbert","Base","44","2,999","4,551","66%","https://app.cardladder.com/search?gemRateId=10e2076041fff76d982055605128226d58c8405b&via=gemrate","https://app.cardladder.com/search?gemRateId=10e2076041fff76d982055605128226d58c8405b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=10e2076041fff76d982055605128226d58c8405b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=10e2076041fff76d982055605128226d58c8405b","https://www.psacard.com/cert/130242666/psa"
"","Football","2020","Panini Illusions","Justin Herbert","Retail","7","2,352","3,706","63%","https://app.cardladder.com/search?gemRateId=201cf7dba3485dc2b43189a2a935970d510c99fa&via=gemrate","https://app.cardladder.com/search?gemRateId=201cf7dba3485dc2b43189a2a935970d510c99fa&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=201cf7dba3485dc2b43189a2a935970d510c99fa&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=201cf7dba3485dc2b43189a2a935970d510c99fa","https://www.psacard.com/cert/136942245/psa"
