"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2011","SP Authentic","Kawhi Leonard","Base","27","2,126","2,968","72%","https://app.cardladder.com/search?gemRateId=1ddcf83464096fc77346d0da13ecdbc91dc9d644&via=gemrate","https://app.cardladder.com/search?gemRateId=1ddcf83464096fc77346d0da13ecdbc91dc9d644&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1ddcf83464096fc77346d0da13ecdbc91dc9d644&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1ddcf83464096fc77346d0da13ecdbc91dc9d644","https://www.psacard.com/cert/119570534/psa"
"","Basketball","2012","Panini Prizm","Kawhi Leonard","Base","209","1,353","2,756","49%","https://app.cardladder.com/search?gemRateId=43b59c79d317837315b929591de519027d5c3866&via=gemrate","https://app.cardladder.com/search?gemRateId=43b59c79d317837315b929591de519027d5c3866&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=43b59c79d317837315b929591de519027d5c3866&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=43b59c79d317837315b929591de519027d5c3866","https://www.psacard.com/cert/125696381/psa"
"","Basketball","2012","Panini Hoops","Kawhi Leonard","Base","236","430","1,897","23%","https://app.cardladder.com/search?gemRateId=d851cba52ee42ca31746d29b795b2b45372407f7&via=gemrate","https://app.cardladder.com/search?gemRateId=d851cba52ee42ca31746d29b795b2b45372407f7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d851cba52ee42ca31746d29b795b2b45372407f7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d851cba52ee42ca31746d29b795b2b45372407f7","https://www.psacard.com/cert/98585251/psa"
"","Basketball","2012","Panini","Kawhi Leonard","Base","216","158","910","17%","https://app.cardladder.com/search?gemRateId=c46668938c46518e12f4bc61ea3ec2c5ebf8be8f&via=gemrate","https://app.cardladder.com/search?gemRateId=c46668938c46518e12f4bc61ea3ec2c5ebf8be8f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c46668938c46518e12f4bc61ea3ec2c5ebf8be8f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c46668938c46518e12f4bc61ea3ec2c5ebf8be8f","https://www.psacard.com/cert/94039650/psa"
"","Basketball","2012","Panini Past & Present","Kawhi Leonard","Base","193","617","873","71%","https://app.cardladder.com/search?gemRateId=6fd4b58aec66dae060ecb260cbc46d4ae22492db&via=gemrate","https://app.cardladder.com/search?gemRateId=6fd4b58aec66dae060ecb260cbc46d4ae22492db&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6fd4b58aec66dae060ecb260cbc46d4ae22492db&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6fd4b58aec66dae060ecb260cbc46d4ae22492db","https://www.psacard.com/cert/114200175/psa"
"","Basketball","2013","Panini Prizm","Kawhi Leonard","Base","143","474","832","57%","https://app.cardladder.com/search?gemRateId=65cf75e46eecdcf516acf137f8daebff06e16404&via=gemrate","https://app.cardladder.com/search?gemRateId=65cf75e46eecdcf516acf137f8daebff06e16404&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=65cf75e46eecdcf516acf137f8daebff06e16404&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=65cf75e46eecdcf516acf137f8daebff06e16404","https://www.psacard.com/cert/140530059/psa"
"","Basketball","2019","Panini Chronicles","Kawhi Leonard","Base","505","370","775","48%","https://app.cardladder.com/search?gemRateId=55fb52183890c0404473d5525579616a0daefec0&via=gemrate","https://app.cardladder.com/search?gemRateId=55fb52183890c0404473d5525579616a0daefec0&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=55fb52183890c0404473d5525579616a0daefec0&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=55fb52183890c0404473d5525579616a0daefec0","https://www.psacard.com/cert/65833064/psa"
"","Basketball","2019","Panini Prizm","Kawhi Leonard","Silver Prizm","149","279","756","37%","https://app.cardladder.com/search?gemRateId=e9d17e664f36f90ce8da1bdd7c3bdb77c9cb66ed&via=gemrate","https://app.cardladder.com/search?gemRateId=e9d17e664f36f90ce8da1bdd7c3bdb77c9cb66ed&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e9d17e664f36f90ce8da1bdd7c3bdb77c9cb66ed&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e9d17e664f36f90ce8da1bdd7c3bdb77c9cb66ed","https://www.psacard.com/cert/84725561/psa"
"","Basketball","2018","Panini Revolution","Kawhi Leonard","Base","9","479","694","69%","https://app.cardladder.com/search?gemRateId=5fb8bb009a5283f1eb4c4da9ec96913bcd2520ad&via=gemrate","https://app.cardladder.com/search?gemRateId=5fb8bb009a5283f1eb4c4da9ec96913bcd2520ad&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5fb8bb009a5283f1eb4c4da9ec96913bcd2520ad&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5fb8bb009a5283f1eb4c4da9ec96913bcd2520ad","https://www.psacard.com/cert/58846964/psa"
