"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2023","Panini Prizm","Keyonte George","Silver Prizm","127","1,013","1,583","64%","https://app.cardladder.com/search?gemRateId=611f3338fb8db1c380370a37bc5b97ad0ce4249c&via=gemrate","https://app.cardladder.com/search?gemRateId=611f3338fb8db1c380370a37bc5b97ad0ce4249c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=611f3338fb8db1c380370a37bc5b97ad0ce4249c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=611f3338fb8db1c380370a37bc5b97ad0ce4249c","https://www.psacard.com/cert/126267334/psa"
"","Basketball","2023","Panini Prizm","Keyonte George","Pink Ice","127","411","559","74%","https://app.cardladder.com/search?gemRateId=e6f379dc6b330f07fee7aa52e8de1067f3265e9f&via=gemrate","https://app.cardladder.com/search?gemRateId=e6f379dc6b330f07fee7aa52e8de1067f3265e9f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e6f379dc6b330f07fee7aa52e8de1067f3265e9f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e6f379dc6b330f07fee7aa52e8de1067f3265e9f","https://www.psacard.com/cert/126966992/psa"
"","Basketball","2023","Panini Prizm","Keyonte George","Ice","127","310","428","72%","https://app.cardladder.com/search?gemRateId=fa8818866d39a54fca2bde3f218093d5b3bf1142&via=gemrate","https://app.cardladder.com/search?gemRateId=fa8818866d39a54fca2bde3f218093d5b3bf1142&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fa8818866d39a54fca2bde3f218093d5b3bf1142&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=fa8818866d39a54fca2bde3f218093d5b3bf1142","https://www.psacard.com/cert/124018518/psa"
"","Basketball","2023","Panini Prizm","Keyonte George","Green Prizm","127","214","345","62%","https://app.cardladder.com/search?gemRateId=ed4c22cb7d1c31ea009a84245b03cc922bc5f748&via=gemrate","https://app.cardladder.com/search?gemRateId=ed4c22cb7d1c31ea009a84245b03cc922bc5f748&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ed4c22cb7d1c31ea009a84245b03cc922bc5f748&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ed4c22cb7d1c31ea009a84245b03cc922bc5f748","https://www.psacard.com/cert/121299913/psa"
"","Basketball","2023","Panini Prizm","Keyonte George","Base","127","239","333","72%","https://app.cardladder.com/search?gemRateId=55670bb01e5cf57f229effda625cfdd6b433055b&via=gemrate","https://app.cardladder.com/search?gemRateId=55670bb01e5cf57f229effda625cfdd6b433055b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=55670bb01e5cf57f229effda625cfdd6b433055b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=55670bb01e5cf57f229effda625cfdd6b433055b","https://www.psacard.com/cert/119228076/psa"
"","Basketball","2023","Panini Donruss Optic","Keyonte George","Holo","223","216","331","65%","https://app.cardladder.com/search?gemRateId=8b42c080f5fd09c4dda4e0e1dfb42e5247330b54&via=gemrate","https://app.cardladder.com/search?gemRateId=8b42c080f5fd09c4dda4e0e1dfb42e5247330b54&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8b42c080f5fd09c4dda4e0e1dfb42e5247330b54&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8b42c080f5fd09c4dda4e0e1dfb42e5247330b54","https://www.psacard.com/cert/118377164/psa"
"","Basketball","2023","Panini NBA Hoops Presentations","Keyonte George","Base","11","249","320","78%","https://app.cardladder.com/search?gemRateId=41da6a7b2658d7cd456f749be74a3ddda9524088&via=gemrate","https://app.cardladder.com/search?gemRateId=41da6a7b2658d7cd456f749be74a3ddda9524088&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=41da6a7b2658d7cd456f749be74a3ddda9524088&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=41da6a7b2658d7cd456f749be74a3ddda9524088","https://www.psacard.com/cert/125037738/psa"
"","Basketball","2023","Panini Prizm","Keyonte George","Red Ice","127","209","283","74%","https://app.cardladder.com/search?gemRateId=48af4dd07c80b693785545f10207c3ce6c50f818&via=gemrate","https://app.cardladder.com/search?gemRateId=48af4dd07c80b693785545f10207c3ce6c50f818&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=48af4dd07c80b693785545f10207c3ce6c50f818&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=48af4dd07c80b693785545f10207c3ce6c50f818","https://www.psacard.com/cert/133817027/psa"
"","Basketball","2023","Panini Prizm Monopoly","Keyonte George","Purple","87","140","214","65%","https://app.cardladder.com/search?gemRateId=0ee0e1151e58637767f97f8162366e2f7e062055&via=gemrate","https://app.cardladder.com/search?gemRateId=0ee0e1151e58637767f97f8162366e2f7e062055&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0ee0e1151e58637767f97f8162366e2f7e062055&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0ee0e1151e58637767f97f8162366e2f7e062055","https://www.psacard.com/cert/118714014/psa"
"","Basketball","2023","Panini Prizm","Keyonte George","Orange Ice","127","104","161","65%","https://app.cardladder.com/search?gemRateId=e985e9f27ef8245038b15b87571852f982fb1b0c&via=gemrate","https://app.cardladder.com/search?gemRateId=e985e9f27ef8245038b15b87571852f982fb1b0c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e985e9f27ef8245038b15b87571852f982fb1b0c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e985e9f27ef8245038b15b87571852f982fb1b0c","https://www.psacard.com/cert/123184434/psa"
