"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2012","Panini Prizm","Kyrie Irving","Base","201","1,009","2,332","43%","https://app.cardladder.com/search?gemRateId=f64b1f9836173f774421f9d6cccea6f5ddcef774&via=gemrate","https://app.cardladder.com/search?gemRateId=f64b1f9836173f774421f9d6cccea6f5ddcef774&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f64b1f9836173f774421f9d6cccea6f5ddcef774&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f64b1f9836173f774421f9d6cccea6f5ddcef774","https://www.psacard.com/cert/118575397/psa"
"","Basketball","2012","Panini Hoops","Kyrie Irving","Base","223","451","1,147","39%","https://app.cardladder.com/search?gemRateId=8bc43baf7aaaf2dced7230ded2fe8f8c52bb1636&via=gemrate","https://app.cardladder.com/search?gemRateId=8bc43baf7aaaf2dced7230ded2fe8f8c52bb1636&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8bc43baf7aaaf2dced7230ded2fe8f8c52bb1636&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8bc43baf7aaaf2dced7230ded2fe8f8c52bb1636","https://www.psacard.com/cert/127009860/psa"
"","Basketball","2012","Panini Past & Present","Kyrie Irving","Base","160","377","525","72%","https://app.cardladder.com/search?gemRateId=5d778fae435675fa01c576bea434dfc825e11247&via=gemrate","https://app.cardladder.com/search?gemRateId=5d778fae435675fa01c576bea434dfc825e11247&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5d778fae435675fa01c576bea434dfc825e11247&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5d778fae435675fa01c576bea434dfc825e11247","https://www.psacard.com/cert/132695097/psa"
"","Basketball","2019","Panini Chronicles","Kyrie Irving","Base","504","238","353","67%","https://app.cardladder.com/search?gemRateId=c3d390c46befbba8131fa6893e821855d7b1ae21&via=gemrate","https://app.cardladder.com/search?gemRateId=c3d390c46befbba8131fa6893e821855d7b1ae21&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c3d390c46befbba8131fa6893e821855d7b1ae21&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c3d390c46befbba8131fa6893e821855d7b1ae21","https://www.psacard.com/cert/62949920/psa"
"","Basketball","2012","Panini","Kyrie Irving","Base","227","34","319","11%","https://app.cardladder.com/search?gemRateId=33f175c5195904ac6186ddb37bf6ef7ddf6fa406&via=gemrate","https://app.cardladder.com/search?gemRateId=33f175c5195904ac6186ddb37bf6ef7ddf6fa406&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=33f175c5195904ac6186ddb37bf6ef7ddf6fa406&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=33f175c5195904ac6186ddb37bf6ef7ddf6fa406","https://www.psacard.com/cert/97793452/psa"
"","Basketball","2013","Panini Prizm","Kyrie Irving","Base","137","196","266","74%","https://app.cardladder.com/search?gemRateId=3eff02378bd44de78eb4f57afb230ba5f69f1466&via=gemrate","https://app.cardladder.com/search?gemRateId=3eff02378bd44de78eb4f57afb230ba5f69f1466&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3eff02378bd44de78eb4f57afb230ba5f69f1466&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3eff02378bd44de78eb4f57afb230ba5f69f1466","https://www.psacard.com/cert/107850079/psa"
"","Basketball","2019","Panini Mosaic Stained Glass","Kyrie Irving","Base","6","113","255","44%","https://app.cardladder.com/search?gemRateId=5797d6c33131a45262ae0fe8fba44596b421e7cf&via=gemrate","https://app.cardladder.com/search?gemRateId=5797d6c33131a45262ae0fe8fba44596b421e7cf&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5797d6c33131a45262ae0fe8fba44596b421e7cf&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5797d6c33131a45262ae0fe8fba44596b421e7cf","https://www.psacard.com/cert/131078814/psa"
"","Basketball","2012","Panini Brilliance","Kyrie Irving","Base","260","90","214","42%","https://app.cardladder.com/search?gemRateId=9413a3a5a0c2ebe18a5749f8e59baff1e8ec077b&via=gemrate","https://app.cardladder.com/search?gemRateId=9413a3a5a0c2ebe18a5749f8e59baff1e8ec077b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9413a3a5a0c2ebe18a5749f8e59baff1e8ec077b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9413a3a5a0c2ebe18a5749f8e59baff1e8ec077b","https://www.psacard.com/cert/101466782/psa"
"","Basketball","2012","Panini Marquee","Kyrie Irving","Base","161","46","165","28%","https://app.cardladder.com/search?gemRateId=8cf0a6785aa0d51db1a2005a1dbce32d2e9c2f34&via=gemrate","https://app.cardladder.com/search?gemRateId=8cf0a6785aa0d51db1a2005a1dbce32d2e9c2f34&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8cf0a6785aa0d51db1a2005a1dbce32d2e9c2f34&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/126504239/psa"
