"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2024","Panini Prizm","Ladd McConkey","Silver Prizm","365","300","1,125","27%","https://app.cardladder.com/search?gemRateId=0945592eddd5c141e022c89b5e0c924f362feba8&via=gemrate","https://app.cardladder.com/search?gemRateId=0945592eddd5c141e022c89b5e0c924f362feba8&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0945592eddd5c141e022c89b5e0c924f362feba8&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0945592eddd5c141e022c89b5e0c924f362feba8","https://www.psacard.com/cert/138270263/psa"
"","Football","2024","Panini Donruss Rated Rookies Retro","Ladd McConkey","Base","5","422","691","61%","https://app.cardladder.com/search?gemRateId=af6de5da7fcb3a43a371f7b95232157a46776b23&via=gemrate","https://app.cardladder.com/search?gemRateId=af6de5da7fcb3a43a371f7b95232157a46776b23&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=af6de5da7fcb3a43a371f7b95232157a46776b23&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=af6de5da7fcb3a43a371f7b95232157a46776b23","https://www.psacard.com/cert/137469423/psa"
"","Football","2024","Panini Donruss","Ladd McConkey","Optic Preview-Red Pandora","328","403","690","58%","https://app.cardladder.com/search?gemRateId=2949d3925c64c7f69cf9483c07ee0c582cf8d483&via=gemrate","https://app.cardladder.com/search?gemRateId=2949d3925c64c7f69cf9483c07ee0c582cf8d483&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2949d3925c64c7f69cf9483c07ee0c582cf8d483&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2949d3925c64c7f69cf9483c07ee0c582cf8d483","https://www.psacard.com/cert/132927050/psa"
"","Football","2024","Panini Prizm Rookie Variation","Ladd McConkey","Base","24","228","562","41%","https://app.cardladder.com/search?gemRateId=b0443056023036c16ec053e3c64a67ff610544ec&via=gemrate","https://app.cardladder.com/search?gemRateId=b0443056023036c16ec053e3c64a67ff610544ec&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b0443056023036c16ec053e3c64a67ff610544ec&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b0443056023036c16ec053e3c64a67ff610544ec","https://www.psacard.com/cert/136133621/psa"
"","Football","2024","Panini Donruss","Ladd McConkey","Optic Preview-Pink","328","335","542","62%","https://app.cardladder.com/search?gemRateId=0e6fe0c87cc5d3578847e29d222800958c756525&via=gemrate","https://app.cardladder.com/search?gemRateId=0e6fe0c87cc5d3578847e29d222800958c756525&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0e6fe0c87cc5d3578847e29d222800958c756525&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0e6fe0c87cc5d3578847e29d222800958c756525","https://www.psacard.com/cert/136441331/psa"
"","Football","2024","Panini Prizm","Ladd McConkey","Lazer Prizm","365","263","523","50%","https://app.cardladder.com/search?gemRateId=3699dde2d79743be10b5f1e8ee5d538409a04eb2&via=gemrate","https://app.cardladder.com/search?gemRateId=3699dde2d79743be10b5f1e8ee5d538409a04eb2&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3699dde2d79743be10b5f1e8ee5d538409a04eb2&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3699dde2d79743be10b5f1e8ee5d538409a04eb2","https://www.psacard.com/cert/138106106/psa"
"","Football","2024","Panini Donruss","Ladd McConkey","Optic Preview-Red Wave","328","392","501","78%","https://app.cardladder.com/search?gemRateId=3501faf846933169428d0240b64e1905a92186d4&via=gemrate","https://app.cardladder.com/search?gemRateId=3501faf846933169428d0240b64e1905a92186d4&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3501faf846933169428d0240b64e1905a92186d4&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3501faf846933169428d0240b64e1905a92186d4","https://www.psacard.com/cert/132353368/psa"
"","Football","2024","Panini Prizm","Ladd McConkey","Disco Prizm","365","194","437","44%","https://app.cardladder.com/search?gemRateId=94f2842744609ef3a45f82ac5dbe4124aa7b7735&via=gemrate","https://app.cardladder.com/search?gemRateId=94f2842744609ef3a45f82ac5dbe4124aa7b7735&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=94f2842744609ef3a45f82ac5dbe4124aa7b7735&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=94f2842744609ef3a45f82ac5dbe4124aa7b7735","https://www.psacard.com/cert/141721116/psa"
"","Football","2024","Panini Prizm","Ladd McConkey","Red/White/Blue Prizm","365","123","427","29%","https://app.cardladder.com/search?gemRateId=f4b38a0472c2e1f671da59cdd4a1695c8dd6b462&via=gemrate","https://app.cardladder.com/search?gemRateId=f4b38a0472c2e1f671da59cdd4a1695c8dd6b462&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f4b38a0472c2e1f671da59cdd4a1695c8dd6b462&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f4b38a0472c2e1f671da59cdd4a1695c8dd6b462","https://www.psacard.com/cert/142346552/psa"
