"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2024","Panini Donruss Downtown!","Malik Nabers","Base","18","407","1,693","24%","https://app.cardladder.com/search?gemRateId=ca2a25cc3d0700a69cdf98400bfb7b608c28b444&via=gemrate","https://app.cardladder.com/search?gemRateId=ca2a25cc3d0700a69cdf98400bfb7b608c28b444&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ca2a25cc3d0700a69cdf98400bfb7b608c28b444&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ca2a25cc3d0700a69cdf98400bfb7b608c28b444","https://www.psacard.com/cert/137475112/psa"
"","Football","2024","Panini Prizm","Malik Nabers","Silver Prizm","370","235","1,589","15%","https://app.cardladder.com/search?gemRateId=b44dc4eefe4409525910ef34822de6fc49abf3b0&via=gemrate","https://app.cardladder.com/search?gemRateId=b44dc4eefe4409525910ef34822de6fc49abf3b0&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b44dc4eefe4409525910ef34822de6fc49abf3b0&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b44dc4eefe4409525910ef34822de6fc49abf3b0","https://www.psacard.com/cert/143722811/psa"
"","Football","2024","Panini Donruss","Malik Nabers","Optic Preview-Red Pandora","383","480","954","50%","https://app.cardladder.com/search?gemRateId=8c20d913df35f3ccab2cef0df2f08915881c2ca4&via=gemrate","https://app.cardladder.com/search?gemRateId=8c20d913df35f3ccab2cef0df2f08915881c2ca4&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8c20d913df35f3ccab2cef0df2f08915881c2ca4&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8c20d913df35f3ccab2cef0df2f08915881c2ca4","https://www.psacard.com/cert/134958328/psa"
"","Football","2024","Panini Donruss Optic Uptowns","Malik Nabers","Base","6","473","950","50%","https://app.cardladder.com/search?gemRateId=78b5e314555f6a3fc0112800465a092f5b873076&via=gemrate","https://app.cardladder.com/search?gemRateId=78b5e314555f6a3fc0112800465a092f5b873076&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=78b5e314555f6a3fc0112800465a092f5b873076&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=78b5e314555f6a3fc0112800465a092f5b873076","https://www.psacard.com/cert/139830269/psa"
"","Football","2024","Panini Donruss","Malik Nabers","Optic Preview-Pink","383","482","850","57%","https://app.cardladder.com/search?gemRateId=4b16a4f17374ce909f412b81ebb53a006866db44&via=gemrate","https://app.cardladder.com/search?gemRateId=4b16a4f17374ce909f412b81ebb53a006866db44&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=4b16a4f17374ce909f412b81ebb53a006866db44&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=4b16a4f17374ce909f412b81ebb53a006866db44","https://www.psacard.com/cert/142343682/psa"
"","Football","2024","Panini Donruss","Malik Nabers","Optic Preview-Red Wave","383","620","847","73%","https://app.cardladder.com/search?gemRateId=e02355709c0ae714ba2cfcc5456ef4a84eaaff03&via=gemrate","https://app.cardladder.com/search?gemRateId=e02355709c0ae714ba2cfcc5456ef4a84eaaff03&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e02355709c0ae714ba2cfcc5456ef4a84eaaff03&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e02355709c0ae714ba2cfcc5456ef4a84eaaff03","https://www.psacard.com/cert/142346591/psa"
"","Football","2024","Panini Donruss Rated Rookies Retro","Malik Nabers","Base","6","418","794","53%","https://app.cardladder.com/search?gemRateId=2aad142dca62661f3066c847f3c03434f89f60dd&via=gemrate","https://app.cardladder.com/search?gemRateId=2aad142dca62661f3066c847f3c03434f89f60dd&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2aad142dca62661f3066c847f3c03434f89f60dd&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2aad142dca62661f3066c847f3c03434f89f60dd","https://www.psacard.com/cert/140654440/psa"
"","Football","2024","Panini Prizm","Malik Nabers","Red/White/Blue Prizm","370","160","731","22%","https://app.cardladder.com/search?gemRateId=dd63fde2b5b25725c784461983f4a032549c94d7&via=gemrate","https://app.cardladder.com/search?gemRateId=dd63fde2b5b25725c784461983f4a032549c94d7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=dd63fde2b5b25725c784461983f4a032549c94d7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=dd63fde2b5b25725c784461983f4a032549c94d7","https://www.psacard.com/cert/132371206/psa"
"","Football","2024","Panini Prizm","Malik Nabers","Lazer Prizm","370","183","707","26%","https://app.cardladder.com/search?gemRateId=5bc9331f45e651d5ccb3984cb85f322f09011c91&via=gemrate","https://app.cardladder.com/search?gemRateId=5bc9331f45e651d5ccb3984cb85f322f09011c91&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5bc9331f45e651d5ccb3984cb85f322f09011c91&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5bc9331f45e651d5ccb3984cb85f322f09011c91","https://www.psacard.com/cert/137903626/psa"
