"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2024","Panini Donruss Downtown!","Marvin Harrison Jr.","Base","12","377","1,502","25%","https://app.cardladder.com/search?gemRateId=68e5312bd139fb121835ff460dc9966a84e61735&via=gemrate","https://app.cardladder.com/search?gemRateId=68e5312bd139fb121835ff460dc9966a84e61735&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=68e5312bd139fb121835ff460dc9966a84e61735&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=68e5312bd139fb121835ff460dc9966a84e61735","https://www.psacard.com/cert/144378986/psa"
"","Football","2024","Panini Prizm","Marvin Harrison Jr.","Silver Prizm","375","508","1,435","35%","https://app.cardladder.com/search?gemRateId=6c798991c57fe0354fd1a16284c9e56507eccbb6&via=gemrate","https://app.cardladder.com/search?gemRateId=6c798991c57fe0354fd1a16284c9e56507eccbb6&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6c798991c57fe0354fd1a16284c9e56507eccbb6&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6c798991c57fe0354fd1a16284c9e56507eccbb6","https://www.psacard.com/cert/135491711/psa"
"","Football","2023","Bowman University Chrome","Marvin Harrison Jr.","Base","100","758","1,198","63%","https://app.cardladder.com/search?gemRateId=96163a885ce5732e81df27f26a149d4afcc9ed0b&via=gemrate","https://app.cardladder.com/search?gemRateId=96163a885ce5732e81df27f26a149d4afcc9ed0b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=96163a885ce5732e81df27f26a149d4afcc9ed0b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=96163a885ce5732e81df27f26a149d4afcc9ed0b","https://www.psacard.com/cert/136497821/psa"
"","Football","2024","Panini Donruss","Marvin Harrison Jr.","Optic Preview-Red Pandora","393","642","1,006","64%","https://app.cardladder.com/search?gemRateId=04b862bf56dede0becdc2cdace09a790b07d33e7&via=gemrate","https://app.cardladder.com/search?gemRateId=04b862bf56dede0becdc2cdace09a790b07d33e7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=04b862bf56dede0becdc2cdace09a790b07d33e7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=04b862bf56dede0becdc2cdace09a790b07d33e7","https://www.psacard.com/cert/138592031/psa"
"","Football","2024","Panini Donruss Optic Uptowns","Marvin Harrison Jr.","Base","5","367","842","44%","https://app.cardladder.com/search?gemRateId=ef629e7ecbc5abc4f37cd826bca8184ccbe03a1d&via=gemrate","https://app.cardladder.com/search?gemRateId=ef629e7ecbc5abc4f37cd826bca8184ccbe03a1d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ef629e7ecbc5abc4f37cd826bca8184ccbe03a1d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ef629e7ecbc5abc4f37cd826bca8184ccbe03a1d","https://www.psacard.com/cert/138758413/psa"
"","Football","2024","Panini Donruss","Marvin Harrison Jr.","Optic Preview-Pink","393","446","744","60%","https://app.cardladder.com/search?gemRateId=a603b3cf81a1bc6a744574214abd803b175f5381&via=gemrate","https://app.cardladder.com/search?gemRateId=a603b3cf81a1bc6a744574214abd803b175f5381&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a603b3cf81a1bc6a744574214abd803b175f5381&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a603b3cf81a1bc6a744574214abd803b175f5381","https://www.psacard.com/cert/133580750/psa"
"","Football","2024","Panini Prizm","Marvin Harrison Jr.","Base","375","249","724","34%","https://app.cardladder.com/search?gemRateId=12a85a7715546c7acd9b14c75208fb4f22ed58da&via=gemrate","https://app.cardladder.com/search?gemRateId=12a85a7715546c7acd9b14c75208fb4f22ed58da&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=12a85a7715546c7acd9b14c75208fb4f22ed58da&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=12a85a7715546c7acd9b14c75208fb4f22ed58da","https://www.psacard.com/cert/130336286/psa"
"","Football","2024","Panini Prizm","Marvin Harrison Jr.","Lazer Prizm","375","367","705","52%","https://app.cardladder.com/search?gemRateId=833c991c37d0f9d60592911854f941cc6dad8db3&via=gemrate","https://app.cardladder.com/search?gemRateId=833c991c37d0f9d60592911854f941cc6dad8db3&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=833c991c37d0f9d60592911854f941cc6dad8db3&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=833c991c37d0f9d60592911854f941cc6dad8db3","https://www.psacard.com/cert/134325302/psa"
"","Football","2024","Panini Donruss","Marvin Harrison Jr.","Optic Preview-Red Wave","393","529","692","76%","https://app.cardladder.com/search?gemRateId=8fe90695a0fb522a993c4cc93cf7ff3cd8ff7223&via=gemrate","https://app.cardladder.com/search?gemRateId=8fe90695a0fb522a993c4cc93cf7ff3cd8ff7223&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8fe90695a0fb522a993c4cc93cf7ff3cd8ff7223&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8fe90695a0fb522a993c4cc93cf7ff3cd8ff7223","https://www.psacard.com/cert/137593451/psa"
"","Football","2024","Panini Donruss Rated Rookies Retro","Marvin Harrison Jr.","Base","4","385","683","56%","https://app.cardladder.com/search?gemRateId=55c3d8839de9b4aab8604595bf0709ebd9143e50&via=gemrate","https://app.cardladder.com/search?gemRateId=55c3d8839de9b4aab8604595bf0709ebd9143e50&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=55c3d8839de9b4aab8604595bf0709ebd9143e50&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=55c3d8839de9b4aab8604595bf0709ebd9143e50","https://www.psacard.com/cert/137714328/psa"
