"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2024","Panini Prizm","Matas Buzelis","Silver Prizm","252","312","1,252","25%","https://app.cardladder.com/search?gemRateId=11c3af2d38f0e56c7ef4b8860c8ff6e2e48e82a6&via=gemrate","https://app.cardladder.com/search?gemRateId=11c3af2d38f0e56c7ef4b8860c8ff6e2e48e82a6&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=11c3af2d38f0e56c7ef4b8860c8ff6e2e48e82a6&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=11c3af2d38f0e56c7ef4b8860c8ff6e2e48e82a6","https://www.psacard.com/cert/138524288/psa"
"","Basketball","2024","Panini Prizm","Matas Buzelis","Pink Ice","252","79","259","31%","https://app.cardladder.com/search?gemRateId=11e9ecf164dbee27856c4f88c36bac7b2efdd93d&via=gemrate","https://app.cardladder.com/search?gemRateId=11e9ecf164dbee27856c4f88c36bac7b2efdd93d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=11e9ecf164dbee27856c4f88c36bac7b2efdd93d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=11e9ecf164dbee27856c4f88c36bac7b2efdd93d","https://www.psacard.com/cert/134459744/psa"
"","Basketball","2024","Panini Prizm","Matas Buzelis","Red Ice","252","45","226","20%","https://app.cardladder.com/search?gemRateId=dfb10cb333b4bb731fd94124c13065f12630bf7d&via=gemrate","https://app.cardladder.com/search?gemRateId=dfb10cb333b4bb731fd94124c13065f12630bf7d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=dfb10cb333b4bb731fd94124c13065f12630bf7d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=dfb10cb333b4bb731fd94124c13065f12630bf7d","https://www.psacard.com/cert/141136101/psa"
"","Basketball","2024","Panini Prizm","Matas Buzelis","Ice","252","69","190","36%","https://app.cardladder.com/search?gemRateId=57bac7eb8c7a7ab03fd67b625a8595f9b5150938&via=gemrate","https://app.cardladder.com/search?gemRateId=57bac7eb8c7a7ab03fd67b625a8595f9b5150938&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=57bac7eb8c7a7ab03fd67b625a8595f9b5150938&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=57bac7eb8c7a7ab03fd67b625a8595f9b5150938","https://www.psacard.com/cert/145625833/psa"
"","Basketball","2024","Panini Prizm","Matas Buzelis","Base","252","38","162","23%","https://app.cardladder.com/search?gemRateId=3167690c6b32f5038e719911eb8b4b7e80f743f5&via=gemrate","https://app.cardladder.com/search?gemRateId=3167690c6b32f5038e719911eb8b4b7e80f743f5&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3167690c6b32f5038e719911eb8b4b7e80f743f5&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3167690c6b32f5038e719911eb8b4b7e80f743f5","https://www.psacard.com/cert/138637287/psa"
"","Basketball","2024","Panini Donruss Optic","Matas Buzelis","Holo","271","54","153","35%","https://app.cardladder.com/search?gemRateId=fea2028b90a26bcde7538e9cbcbf134d2648a133&via=gemrate","https://app.cardladder.com/search?gemRateId=fea2028b90a26bcde7538e9cbcbf134d2648a133&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fea2028b90a26bcde7538e9cbcbf134d2648a133&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=fea2028b90a26bcde7538e9cbcbf134d2648a133","https://www.psacard.com/cert/138967916/psa"
"","Basketball","2024","Panini Prizm","Matas Buzelis","Red White Blue Prizm","252","54","153","35%","https://app.cardladder.com/search?gemRateId=6f0125df3265581626834c77f2f96b74504814b7&via=gemrate","https://app.cardladder.com/search?gemRateId=6f0125df3265581626834c77f2f96b74504814b7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6f0125df3265581626834c77f2f96b74504814b7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6f0125df3265581626834c77f2f96b74504814b7","https://www.psacard.com/cert/134459671/psa"
"","Basketball","2022","Bowman University Best Best of 2022 Autograph","Matas Buzelis","Base","BOAMB","83","136","61%","https://app.cardladder.com/search?gemRateId=e85f77f515ebede42a5d5f563d0d8c0cdbddebde&via=gemrate","https://app.cardladder.com/search?gemRateId=e85f77f515ebede42a5d5f563d0d8c0cdbddebde&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e85f77f515ebede42a5d5f563d0d8c0cdbddebde&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/130340565/psa"
"","Basketball","2024","Panini NBA Hoops Presentations","Matas Buzelis","Base","18","106","136","78%","https://app.cardladder.com/search?gemRateId=21f3c79838c6bf347a316a4a410f02e988b7a149&via=gemrate","https://app.cardladder.com/search?gemRateId=21f3c79838c6bf347a316a4a410f02e988b7a149&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=21f3c79838c6bf347a316a4a410f02e988b7a149&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=21f3c79838c6bf347a316a4a410f02e988b7a149","https://www.psacard.com/cert/136668238/psa"
