"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2015","Panini Prizm","Nikola Jokic","Base","335","1,297","4,536","29%","https://app.cardladder.com/search?gemRateId=c4653c0ef419051050f3234a55dc2b3e3afbe4b5&via=gemrate","https://app.cardladder.com/search?gemRateId=c4653c0ef419051050f3234a55dc2b3e3afbe4b5&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c4653c0ef419051050f3234a55dc2b3e3afbe4b5&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c4653c0ef419051050f3234a55dc2b3e3afbe4b5","https://www.psacard.com/cert/136053393/psa"
"","Basketball","2015","Panini Donruss","Nikola Jokic","Base","215","771","2,323","33%","https://app.cardladder.com/search?gemRateId=23f651512baafa7faa5de164c69ff74b5d78a611&via=gemrate","https://app.cardladder.com/search?gemRateId=23f651512baafa7faa5de164c69ff74b5d78a611&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=23f651512baafa7faa5de164c69ff74b5d78a611&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=23f651512baafa7faa5de164c69ff74b5d78a611","https://www.psacard.com/cert/137773176/psa"
"","Basketball","2015","Panini Donruss the Rookies","Nikola Jokic","Base","43","79","860","9%","https://app.cardladder.com/search?gemRateId=f4b26e735db09341beb8e8a8a451a17a14beeb53&via=gemrate","https://app.cardladder.com/search?gemRateId=f4b26e735db09341beb8e8a8a451a17a14beeb53&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f4b26e735db09341beb8e8a8a451a17a14beeb53&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f4b26e735db09341beb8e8a8a451a17a14beeb53","https://www.psacard.com/cert/116119155/psa"
"","Basketball","2015","Panini Prizm","Nikola Jokic","Silver Prizm","335","195","784","25%","https://app.cardladder.com/search?gemRateId=294ffa7fbbea4c6892dc040e8dfd8282f63bf95e&via=gemrate","https://app.cardladder.com/search?gemRateId=294ffa7fbbea4c6892dc040e8dfd8282f63bf95e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=294ffa7fbbea4c6892dc040e8dfd8282f63bf95e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=294ffa7fbbea4c6892dc040e8dfd8282f63bf95e","https://www.psacard.com/cert/136024580/psa"
"","Basketball","2014","Schoolshop Aba Liga","Nikola Jokic","Base","129","74","757","10%","https://app.cardladder.com/search?gemRateId=82a3481bc1fc07ba99bb85e58675ba0b69f439a2&via=gemrate","https://app.cardladder.com/search?gemRateId=82a3481bc1fc07ba99bb85e58675ba0b69f439a2&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=82a3481bc1fc07ba99bb85e58675ba0b69f439a2&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=82a3481bc1fc07ba99bb85e58675ba0b69f439a2","https://www.psacard.com/cert/110996003/psa"
"","Basketball","2015","Panini Select","Nikola Jokic","Base","128","159","560","28%","https://app.cardladder.com/search?gemRateId=b7d5fcc59da7162ac31b6c220fd1ca3eefa2abc0&via=gemrate","https://app.cardladder.com/search?gemRateId=b7d5fcc59da7162ac31b6c220fd1ca3eefa2abc0&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b7d5fcc59da7162ac31b6c220fd1ca3eefa2abc0&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b7d5fcc59da7162ac31b6c220fd1ca3eefa2abc0","https://www.psacard.com/cert/126240844/psa"
"","Basketball","2015","Panini Excalibur","Nikola Jokic","Base","199","21","440","5%","https://app.cardladder.com/search?gemRateId=50d57aec91079a3d1afb2161f83e467702f8c07b&via=gemrate","https://app.cardladder.com/search?gemRateId=50d57aec91079a3d1afb2161f83e467702f8c07b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=50d57aec91079a3d1afb2161f83e467702f8c07b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=50d57aec91079a3d1afb2161f83e467702f8c07b","https://www.psacard.com/cert/138351754/psa"
"","Basketball","2015","Panini Revolution","Nikola Jokic","Base","114","21","375","6%","https://app.cardladder.com/search?gemRateId=56c587d454a22f2855150f25c91dfc0d163f5cd6&via=gemrate","https://app.cardladder.com/search?gemRateId=56c587d454a22f2855150f25c91dfc0d163f5cd6&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=56c587d454a22f2855150f25c91dfc0d163f5cd6&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=56c587d454a22f2855150f25c91dfc0d163f5cd6","https://www.psacard.com/cert/112961986/psa"
"","Basketball","2015","Panini Prestige Acetate Rookies","Nikola Jokic","Base","16","40","343","12%","https://app.cardladder.com/search?gemRateId=16e5177f2ee135e245fcdf41294910f66f90ca5d&via=gemrate","https://app.cardladder.com/search?gemRateId=16e5177f2ee135e245fcdf41294910f66f90ca5d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=16e5177f2ee135e245fcdf41294910f66f90ca5d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=16e5177f2ee135e245fcdf41294910f66f90ca5d","https://www.psacard.com/cert/131066927/psa"
"","Basketball","2015","Panini Prizm","Nikola Jokic","Red/White/Blue Prizm","335","119","315","38%","https://app.cardladder.com/search?gemRateId=2970b353dcb6988edea05078e052133ba4e17909&via=gemrate","https://app.cardladder.com/search?gemRateId=2970b353dcb6988edea05078e052133ba4e17909&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2970b353dcb6988edea05078e052133ba4e17909&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2970b353dcb6988edea05078e052133ba4e17909","https://www.psacard.com/cert/118994858/psa"
"","Basketball","2015","Panini Revolution New Wave","Nikola Jokic","Base","21","203","293","69%","https://app.cardladder.com/search?gemRateId=3cd29a66917056e625cb74fab70cab01c5f3d935&via=gemrate","https://app.cardladder.com/search?gemRateId=3cd29a66917056e625cb74fab70cab01c5f3d935&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3cd29a66917056e625cb74fab70cab01c5f3d935&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3cd29a66917056e625cb74fab70cab01c5f3d935","https://www.psacard.com/cert/132188711/psa"
"","Basketball","2019","Panini Donruss Net Marvels","Nikola Jokic","Base","1","27","237","11%","https://app.cardladder.com/search?gemRateId=6df0cc07977459b606f446d4aa0509bd766cfb31&via=gemrate","https://app.cardladder.com/search?gemRateId=6df0cc07977459b606f446d4aa0509bd766cfb31&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6df0cc07977459b606f446d4aa0509bd766cfb31&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6df0cc07977459b606f446d4aa0509bd766cfb31","https://www.psacard.com/cert/107747876/psa"
"","Basketball","2015","Panini Clear Vision","Nikola Jokic","Base","99","10","210","5%","https://app.cardladder.com/search?gemRateId=04a5980c87fc924a829bc97bc3dacb24b5b1c0fc&via=gemrate","https://app.cardladder.com/search?gemRateId=04a5980c87fc924a829bc97bc3dacb24b5b1c0fc&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=04a5980c87fc924a829bc97bc3dacb24b5b1c0fc&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=04a5980c87fc924a829bc97bc3dacb24b5b1c0fc","https://www.psacard.com/cert/123456948/psa"
"","Basketball","2016","Panini Donruss Optic","Nikola Jokic","Base","90","125","205","61%","https://app.cardladder.com/search?gemRateId=fdb5d4dff1043e33effb256c79812f053fc25f89&via=gemrate","https://app.cardladder.com/search?gemRateId=fdb5d4dff1043e33effb256c79812f053fc25f89&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=fdb5d4dff1043e33effb256c79812f053fc25f89&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=fdb5d4dff1043e33effb256c79812f053fc25f89","https://www.psacard.com/cert/123321961/psa"
"","Basketball","2015","Panini Select","Nikola Jokic","Silver Prizm","128","56","199","28%","https://app.cardladder.com/search?gemRateId=3e75aaf162ab75375bdfc0293161638710b9abfa&via=gemrate","https://app.cardladder.com/search?gemRateId=3e75aaf162ab75375bdfc0293161638710b9abfa&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3e75aaf162ab75375bdfc0293161638710b9abfa&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3e75aaf162ab75375bdfc0293161638710b9abfa","https://www.psacard.com/cert/114071470/psa"
