"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2024","Panini Prizm","Reed Sheppard","Silver Prizm","268","95","536","18%","https://app.cardladder.com/search?gemRateId=2b24acf6575e403c9c283e175b9218a02d6aa8be&via=gemrate","https://app.cardladder.com/search?gemRateId=2b24acf6575e403c9c283e175b9218a02d6aa8be&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2b24acf6575e403c9c283e175b9218a02d6aa8be&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2b24acf6575e403c9c283e175b9218a02d6aa8be","https://www.psacard.com/cert/142592950/psa"
"","Basketball","2023","Bowman University Chrome","Reed Sheppard","Base","45","222","334","66%","https://app.cardladder.com/search?gemRateId=7cc6eef9e54cb51b9be77ff3ccfa59bfe61a9240&via=gemrate","https://app.cardladder.com/search?gemRateId=7cc6eef9e54cb51b9be77ff3ccfa59bfe61a9240&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7cc6eef9e54cb51b9be77ff3ccfa59bfe61a9240&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7cc6eef9e54cb51b9be77ff3ccfa59bfe61a9240","https://www.psacard.com/cert/124755875/psa"
"","Basketball","2023","Bowman University Chrome Sapphire","Reed Sheppard","Base","45","57","151","38%","https://app.cardladder.com/search?gemRateId=e2db95a9f4ff517ebfb0b1bc4df079337ac36081&via=gemrate","https://app.cardladder.com/search?gemRateId=e2db95a9f4ff517ebfb0b1bc4df079337ac36081&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e2db95a9f4ff517ebfb0b1bc4df079337ac36081&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e2db95a9f4ff517ebfb0b1bc4df079337ac36081","https://www.psacard.com/cert/131681309/psa"
"","Basketball","2024","Panini Prizm","Reed Sheppard","Red Ice","268","19","121","16%","https://app.cardladder.com/search?gemRateId=5b7d555cb5df42baefcadbe91aa2c2bfb3df80dd&via=gemrate","https://app.cardladder.com/search?gemRateId=5b7d555cb5df42baefcadbe91aa2c2bfb3df80dd&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5b7d555cb5df42baefcadbe91aa2c2bfb3df80dd&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5b7d555cb5df42baefcadbe91aa2c2bfb3df80dd","https://www.psacard.com/cert/136323232/psa"
"","Basketball","2023","Topps Chrome Mcdonald's All-American Autographs","Reed Sheppard","Base","RS","17","111","15%","https://app.cardladder.com/search?gemRateId=17abf4a0fc8423d9978e8937c16950742f25dc5e&via=gemrate","https://app.cardladder.com/search?gemRateId=17abf4a0fc8423d9978e8937c16950742f25dc5e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=17abf4a0fc8423d9978e8937c16950742f25dc5e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=17abf4a0fc8423d9978e8937c16950742f25dc5e","https://www.psacard.com/cert/110871407/psa"
"","Basketball","2023","Bowman University Chrome","Reed Sheppard","Pink Refractor","45","65","111","59%","https://app.cardladder.com/search?gemRateId=346dea3f74f9e186f780f040a6b82a866c4e64db&via=gemrate","https://app.cardladder.com/search?gemRateId=346dea3f74f9e186f780f040a6b82a866c4e64db&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=346dea3f74f9e186f780f040a6b82a866c4e64db&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/132163673/psa"
"","Basketball","2024","Panini Prizm","Reed Sheppard","Pink Ice","268","32","98","33%","https://app.cardladder.com/search?gemRateId=c46a385fb0d77587b7f79aaae004895009ecd5e5&via=gemrate","https://app.cardladder.com/search?gemRateId=c46a385fb0d77587b7f79aaae004895009ecd5e5&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c46a385fb0d77587b7f79aaae004895009ecd5e5&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c46a385fb0d77587b7f79aaae004895009ecd5e5","https://www.psacard.com/cert/130766762/psa"
"","Basketball","2024","Panini Prizm","Reed Sheppard","Red White Blue Prizm","268","34","97","35%","https://app.cardladder.com/search?gemRateId=35b627ed2b51c4bcdd51396d15cab4c44ef25610&via=gemrate","https://app.cardladder.com/search?gemRateId=35b627ed2b51c4bcdd51396d15cab4c44ef25610&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=35b627ed2b51c4bcdd51396d15cab4c44ef25610&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=35b627ed2b51c4bcdd51396d15cab4c44ef25610","https://www.psacard.com/cert/132423210/psa"
"","Basketball","2024","Panini Donruss Optic Downtown","Reed Sheppard","Base","19","66","85","78%","https://app.cardladder.com/search?gemRateId=af5b352d11ee22895c891f42c387995686359b5e&via=gemrate","https://app.cardladder.com/search?gemRateId=af5b352d11ee22895c891f42c387995686359b5e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=af5b352d11ee22895c891f42c387995686359b5e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=af5b352d11ee22895c891f42c387995686359b5e","https://www.psacard.com/cert/139940719/psa"
