"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2018","Panini Donruss","Sam Darnold","Base","301","1,849","2,920","63%","https://app.cardladder.com/search?gemRateId=7e2c3b5a6c26058ff533a1ef700344028abb3279&via=gemrate","https://app.cardladder.com/search?gemRateId=7e2c3b5a6c26058ff533a1ef700344028abb3279&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7e2c3b5a6c26058ff533a1ef700344028abb3279&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7e2c3b5a6c26058ff533a1ef700344028abb3279","https://www.psacard.com/cert/137126616/psa"
"","Football","2018","Panini Prizm","Sam Darnold","Base","203","1,324","2,652","50%","https://app.cardladder.com/search?gemRateId=d5a3735e830fef92c702e574fd0ede19687200b4&via=gemrate","https://app.cardladder.com/search?gemRateId=d5a3735e830fef92c702e574fd0ede19687200b4&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d5a3735e830fef92c702e574fd0ede19687200b4&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d5a3735e830fef92c702e574fd0ede19687200b4","https://www.psacard.com/cert/117545635/psa"
"","Football","2018","Panini Donruss Optic","Sam Darnold","Base","151","609","1,135","54%","https://app.cardladder.com/search?gemRateId=7ca22fd7d1939ba78bfe032e9360d48eb80d3d09&via=gemrate","https://app.cardladder.com/search?gemRateId=7ca22fd7d1939ba78bfe032e9360d48eb80d3d09&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7ca22fd7d1939ba78bfe032e9360d48eb80d3d09&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7ca22fd7d1939ba78bfe032e9360d48eb80d3d09","https://www.psacard.com/cert/120484515/psa"
"","Football","2018","Panini Prizm","Sam Darnold","Red/White/Blue Prizm","203","138","384","36%","https://app.cardladder.com/search?gemRateId=161d3792831f8c9080651066cdb060d5948d6ed7&via=gemrate","https://app.cardladder.com/search?gemRateId=161d3792831f8c9080651066cdb060d5948d6ed7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=161d3792831f8c9080651066cdb060d5948d6ed7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=161d3792831f8c9080651066cdb060d5948d6ed7","https://www.psacard.com/cert/110671449/psa"
"","Football","2018","Panini Select","Sam Darnold","Base","18","145","302","48%","https://app.cardladder.com/search?gemRateId=ca07aa87e3a5b24fc2cf55386b3cda6b91747726&via=gemrate","https://app.cardladder.com/search?gemRateId=ca07aa87e3a5b24fc2cf55386b3cda6b91747726&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ca07aa87e3a5b24fc2cf55386b3cda6b91747726&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ca07aa87e3a5b24fc2cf55386b3cda6b91747726","https://www.psacard.com/cert/125559376/psa"
"","Football","2018","Panini Donruss Optic","Sam Darnold","Holo","151","141","290","49%","https://app.cardladder.com/search?gemRateId=c5281405bc335a437772b6eebb84881b81fbf63c&via=gemrate","https://app.cardladder.com/search?gemRateId=c5281405bc335a437772b6eebb84881b81fbf63c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c5281405bc335a437772b6eebb84881b81fbf63c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c5281405bc335a437772b6eebb84881b81fbf63c","https://www.psacard.com/cert/126630455/psa"
"","Football","2018","Panini Donruss Optic Downtown","Sam Darnold","Base","DT11","159","238","67%","https://app.cardladder.com/search?gemRateId=d248a2b7b4daf78b14e05ddc6a3a6e9dc539138a&via=gemrate","https://app.cardladder.com/search?gemRateId=d248a2b7b4daf78b14e05ddc6a3a6e9dc539138a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d248a2b7b4daf78b14e05ddc6a3a6e9dc539138a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d248a2b7b4daf78b14e05ddc6a3a6e9dc539138a","https://www.psacard.com/cert/131021831/psa"
"","Football","2018","Panini Score","Sam Darnold","Base","349","159","215","74%","","","","",""
"","Football","2018","Panini Donruss Optic","Sam Darnold","Pink","151","94","205","46%","https://app.cardladder.com/search?gemRateId=9344186732e181049afb07668ee91c551337ddf5&via=gemrate","https://app.cardladder.com/search?gemRateId=9344186732e181049afb07668ee91c551337ddf5&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9344186732e181049afb07668ee91c551337ddf5&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=9344186732e181049afb07668ee91c551337ddf5","https://www.psacard.com/cert/121949006/psa"
