"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2018","Panini Prizm","Shai Gilgeous-Alexander","Base","184","4,615","16,689","28%","https://app.cardladder.com/search?gemRateId=6b084dc095fb024c1ea1c1a3509b34429b0c1f96&via=gemrate","https://app.cardladder.com/search?gemRateId=6b084dc095fb024c1ea1c1a3509b34429b0c1f96&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6b084dc095fb024c1ea1c1a3509b34429b0c1f96&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6b084dc095fb024c1ea1c1a3509b34429b0c1f96","https://www.psacard.com/cert/137978255/psa"
"","Basketball","2018","Panini Donruss","Shai Gilgeous-Alexander","Base","162","4,045","6,566","62%","https://app.cardladder.com/search?gemRateId=44514653ade1e96f51bd494a5afed197a31cebf9&via=gemrate","https://app.cardladder.com/search?gemRateId=44514653ade1e96f51bd494a5afed197a31cebf9&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=44514653ade1e96f51bd494a5afed197a31cebf9&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=44514653ade1e96f51bd494a5afed197a31cebf9","https://www.psacard.com/cert/144938591/psa"
"","Basketball","2018","Panini Donruss Optic","Shai Gilgeous-Alexander","Base","162","2,731","6,030","45%","https://app.cardladder.com/search?gemRateId=391a5877108d32d20cb59e7a25258f460f26c43f&via=gemrate","https://app.cardladder.com/search?gemRateId=391a5877108d32d20cb59e7a25258f460f26c43f&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=391a5877108d32d20cb59e7a25258f460f26c43f&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=391a5877108d32d20cb59e7a25258f460f26c43f","https://www.psacard.com/cert/135742830/psa"
"","Basketball","2018","Panini Prizm","Shai Gilgeous-Alexander","Silver Prizm","184","716","4,514","16%","https://app.cardladder.com/search?gemRateId=82e9f5e784de82b9e73281158d282f15fff75282&via=gemrate","https://app.cardladder.com/search?gemRateId=82e9f5e784de82b9e73281158d282f15fff75282&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=82e9f5e784de82b9e73281158d282f15fff75282&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=82e9f5e784de82b9e73281158d282f15fff75282","https://www.psacard.com/cert/145118318/psa"
"","Basketball","2018","Panini Donruss Optic","Shai Gilgeous-Alexander","Shock","162","1,151","3,791","30%","https://app.cardladder.com/search?gemRateId=0439391bd11e489a83859ed4e16353f5be85fc02&via=gemrate","https://app.cardladder.com/search?gemRateId=0439391bd11e489a83859ed4e16353f5be85fc02&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0439391bd11e489a83859ed4e16353f5be85fc02&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0439391bd11e489a83859ed4e16353f5be85fc02","https://www.psacard.com/cert/137505802/psa"
"","Basketball","2018","Panini Hoops","Shai Gilgeous-Alexander","Base","262","1,925","2,920","66%","https://app.cardladder.com/search?gemRateId=5dce9cea486777d2703074e89898728bf3bb1c50&via=gemrate","https://app.cardladder.com/search?gemRateId=5dce9cea486777d2703074e89898728bf3bb1c50&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=5dce9cea486777d2703074e89898728bf3bb1c50&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=5dce9cea486777d2703074e89898728bf3bb1c50","https://www.psacard.com/cert/143692144/psa"
"","Basketball","2018","Panini Prizm","Shai Gilgeous-Alexander","Red/White/Blue Prizm","184","660","2,288","29%","https://app.cardladder.com/search?gemRateId=e557bfbd956da21d1aa60cb34790dd9f65ebc65b&via=gemrate","https://app.cardladder.com/search?gemRateId=e557bfbd956da21d1aa60cb34790dd9f65ebc65b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e557bfbd956da21d1aa60cb34790dd9f65ebc65b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e557bfbd956da21d1aa60cb34790dd9f65ebc65b","https://www.psacard.com/cert/140914943/psa"
"","Basketball","2018","Panini Select","Shai Gilgeous-Alexander","Base","7","641","1,573","41%","https://app.cardladder.com/search?gemRateId=ea3abc9c275d67ac15e05677c595b24b9c06c740&via=gemrate","https://app.cardladder.com/search?gemRateId=ea3abc9c275d67ac15e05677c595b24b9c06c740&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ea3abc9c275d67ac15e05677c595b24b9c06c740&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ea3abc9c275d67ac15e05677c595b24b9c06c740","https://www.psacard.com/cert/134264821/psa"
"","Basketball","2018","Panini Prizm","Shai Gilgeous-Alexander","Green Prizm","184","290","1,064","27%","https://app.cardladder.com/search?gemRateId=0a2d4d98be7fbf7e82a80aa0178aa51ef3e68add&via=gemrate","https://app.cardladder.com/search?gemRateId=0a2d4d98be7fbf7e82a80aa0178aa51ef3e68add&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=0a2d4d98be7fbf7e82a80aa0178aa51ef3e68add&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=0a2d4d98be7fbf7e82a80aa0178aa51ef3e68add","https://www.psacard.com/cert/134150302/psa"
