"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2009","Topps","Stephen Curry","Base","321","372","6,236","6%","https://app.cardladder.com/search?gemRateId=084f550486f7f5a3122999bcf4f0bcac4934dc46&via=gemrate","https://app.cardladder.com/search?gemRateId=084f550486f7f5a3122999bcf4f0bcac4934dc46&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=084f550486f7f5a3122999bcf4f0bcac4934dc46&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=084f550486f7f5a3122999bcf4f0bcac4934dc46","https://www.psacard.com/cert/102614614/psa"
"","Basketball","2009","Upper Deck","Stephen Curry","Base","234","1,517","5,549","27%","https://app.cardladder.com/search?gemRateId=b8d64b1648ed7544e8edb9e2e1ad1fcac0328c1d&via=gemrate","https://app.cardladder.com/search?gemRateId=b8d64b1648ed7544e8edb9e2e1ad1fcac0328c1d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b8d64b1648ed7544e8edb9e2e1ad1fcac0328c1d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b8d64b1648ed7544e8edb9e2e1ad1fcac0328c1d","https://www.psacard.com/cert/135629849/psa"
"","Basketball","2009","Upper Deck Draft Edition","Stephen Curry","Base","34","2,078","5,254","40%","https://app.cardladder.com/search?gemRateId=cd92584a3033f42bc1163101dd6027e0ad4ab6a1&via=gemrate","https://app.cardladder.com/search?gemRateId=cd92584a3033f42bc1163101dd6027e0ad4ab6a1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=cd92584a3033f42bc1163101dd6027e0ad4ab6a1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=cd92584a3033f42bc1163101dd6027e0ad4ab6a1","https://www.psacard.com/cert/143034414/psa"
"","Basketball","2009","Panini Prestige","Stephen Curry","Base","157","952","2,043","47%","https://app.cardladder.com/search?gemRateId=b20319c5bc16f8fde36b3c0f0f2326a4359605f1&via=gemrate","https://app.cardladder.com/search?gemRateId=b20319c5bc16f8fde36b3c0f0f2326a4359605f1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b20319c5bc16f8fde36b3c0f0f2326a4359605f1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b20319c5bc16f8fde36b3c0f0f2326a4359605f1","https://www.psacard.com/cert/139030034/psa"
"","Basketball","2009","Panini Prestige","Stephen Curry","Base","207","976","1,980","49%","https://app.cardladder.com/search?gemRateId=2ffa43e2db5a0d43820f620958bd31009928c1a0&via=gemrate","https://app.cardladder.com/search?gemRateId=2ffa43e2db5a0d43820f620958bd31009928c1a0&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2ffa43e2db5a0d43820f620958bd31009928c1a0&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2ffa43e2db5a0d43820f620958bd31009928c1a0","https://www.psacard.com/cert/131070188/psa"
"","Basketball","2009","Panini","Stephen Curry","Base","372","673","1,873","36%","https://app.cardladder.com/search?gemRateId=118d4c8e7383b2323b8b650209f964a48b985e96&via=gemrate","https://app.cardladder.com/search?gemRateId=118d4c8e7383b2323b8b650209f964a48b985e96&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=118d4c8e7383b2323b8b650209f964a48b985e96&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=118d4c8e7383b2323b8b650209f964a48b985e96","https://www.psacard.com/cert/127543598/psa"
"","Basketball","2009","Panini Prestige","Stephen Curry","Base","230","798","1,797","44%","https://app.cardladder.com/search?gemRateId=abda2e4897d6f57e0d2b7f6c001cb90c5d3730a5&via=gemrate","https://app.cardladder.com/search?gemRateId=abda2e4897d6f57e0d2b7f6c001cb90c5d3730a5&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=abda2e4897d6f57e0d2b7f6c001cb90c5d3730a5&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=abda2e4897d6f57e0d2b7f6c001cb90c5d3730a5","https://www.psacard.com/cert/128763862/psa"
"","Basketball","2009","Panini","Stephen Curry","Base","307","315","1,735","18%","https://app.cardladder.com/search?gemRateId=98a8f405628d35a5d3ab8b3166d2922bea651f7c&via=gemrate","https://app.cardladder.com/search?gemRateId=98a8f405628d35a5d3ab8b3166d2922bea651f7c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=98a8f405628d35a5d3ab8b3166d2922bea651f7c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=98a8f405628d35a5d3ab8b3166d2922bea651f7c","https://www.psacard.com/cert/116949642/psa"
"","Basketball","2019","Panini Prizm","Stephen Curry","Silver Prizm","98","1,187","1,731","69%","https://app.cardladder.com/search?gemRateId=d686d14d2070a396dc7cc5fe97ac39a735a351af&via=gemrate","https://app.cardladder.com/search?gemRateId=d686d14d2070a396dc7cc5fe97ac39a735a351af&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d686d14d2070a396dc7cc5fe97ac39a735a351af&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d686d14d2070a396dc7cc5fe97ac39a735a351af","https://www.psacard.com/cert/139436174/psa"
