"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2025","Panini Donruss Downtown!","Tyler Shough","Base","19","274","356","77%","https://app.cardladder.com/search?gemRateId=40f91034f1ae684ab0bd0f58b0d448a8ebdbafac&via=gemrate","https://app.cardladder.com/search?gemRateId=40f91034f1ae684ab0bd0f58b0d448a8ebdbafac&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=40f91034f1ae684ab0bd0f58b0d448a8ebdbafac&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=40f91034f1ae684ab0bd0f58b0d448a8ebdbafac","https://www.psacard.com/cert/144622995/psa"
"","Football","2024","Panini Select","Tyler Shough","Base","503","54","71","76%","https://app.cardladder.com/search?gemRateId=457eb999c3753ad6abe111b6ea076210778effd8&via=gemrate","https://app.cardladder.com/search?gemRateId=457eb999c3753ad6abe111b6ea076210778effd8&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=457eb999c3753ad6abe111b6ea076210778effd8&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=457eb999c3753ad6abe111b6ea076210778effd8","https://www.psacard.com/cert/134696985/psa"
"","Football","2025","Panini Instant NFL Rps First Look","Tyler Shough","Base","RPSFL39","25","40","63%","https://app.cardladder.com/search?gemRateId=13fb4e1a08d3aeeb17b34713d09c14e24daa7aa7&via=gemrate","https://app.cardladder.com/search?gemRateId=13fb4e1a08d3aeeb17b34713d09c14e24daa7aa7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=13fb4e1a08d3aeeb17b34713d09c14e24daa7aa7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/124559013/psa"
"","Football","2025","Panini Phoenix Color Blast","Tyler Shough","Base","1","15","29","52%","https://app.cardladder.com/search?gemRateId=e7b88e4e3d71879766a5a7d021242641019c5db5&via=gemrate","https://app.cardladder.com/search?gemRateId=e7b88e4e3d71879766a5a7d021242641019c5db5&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e7b88e4e3d71879766a5a7d021242641019c5db5&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e7b88e4e3d71879766a5a7d021242641019c5db5","https://www.psacard.com/cert/146178990/psa"
"","Football","2025","Panini Mosaic Stained Glass","Tyler Shough","Base","18","19","27","70%","https://app.cardladder.com/search?gemRateId=cc309d2551f305a04fa0dec6271235d8d32a6c6d&via=gemrate","https://app.cardladder.com/search?gemRateId=cc309d2551f305a04fa0dec6271235d8d32a6c6d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=cc309d2551f305a04fa0dec6271235d8d32a6c6d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=cc309d2551f305a04fa0dec6271235d8d32a6c6d","https://www.psacard.com/cert/147397659/psa"
"","Football","2025","Panini Instant NFL Draft Night","Tyler Shough","Autograph","NFLDN31","12","26","46%","https://app.cardladder.com/search?gemRateId=2fc56b1b0963b208cb66d14eb5e818094c3ce940&via=gemrate","https://app.cardladder.com/search?gemRateId=2fc56b1b0963b208cb66d14eb5e818094c3ce940&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2fc56b1b0963b208cb66d14eb5e818094c3ce940&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/128122336/psa"
"","Football","2025","Panini Score","Tyler Shough","Rookie-Signature","71","1","23","4%","https://app.cardladder.com/search?gemRateId=037e79198b0de50dcc2f469be39f5460f683b79e&via=gemrate","https://app.cardladder.com/search?gemRateId=037e79198b0de50dcc2f469be39f5460f683b79e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=037e79198b0de50dcc2f469be39f5460f683b79e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/127148581/psa"
"","Football","2025","Panini Mosaic Micro Mosaic","Tyler Shough","Base","7","10","22","45%","https://app.cardladder.com/search?gemRateId=d868c35cd0185e7f7c57d14b829da3f133902f4a&via=gemrate","https://app.cardladder.com/search?gemRateId=d868c35cd0185e7f7c57d14b829da3f133902f4a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d868c35cd0185e7f7c57d14b829da3f133902f4a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d868c35cd0185e7f7c57d14b829da3f133902f4a","https://www.psacard.com/cert/139652062/psa"
"","Football","2025","Panini Donruss Bomb Squad","Tyler Shough","Base","BS-TSH","14","21","67%","https://app.cardladder.com/search?gemRateId=e4262d3e489201e7b0758326d0c10c0d7f63ec6b&via=gemrate","https://app.cardladder.com/search?gemRateId=e4262d3e489201e7b0758326d0c10c0d7f63ec6b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e4262d3e489201e7b0758326d0c10c0d7f63ec6b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/137035254/psa"
