"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Football","2024","Panini Select","Tyler Warren","Base","517","58","84","69%","https://app.cardladder.com/search?gemRateId=1f4d8bed46960fbd62fefe71ee559e48db99e3ee&via=gemrate","https://app.cardladder.com/search?gemRateId=1f4d8bed46960fbd62fefe71ee559e48db99e3ee&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=1f4d8bed46960fbd62fefe71ee559e48db99e3ee&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=1f4d8bed46960fbd62fefe71ee559e48db99e3ee","https://www.psacard.com/cert/136910029/psa"
"","Football","2025","Panini Donruss","Tyler Warren","Optic Preview-Red Pandora","337","10","67","15%","https://app.cardladder.com/search?gemRateId=8eed3e793f24c29bf8e21f1fd1a183310981dccb&via=gemrate","https://app.cardladder.com/search?gemRateId=8eed3e793f24c29bf8e21f1fd1a183310981dccb&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8eed3e793f24c29bf8e21f1fd1a183310981dccb&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/138155967/psa"
"","Football","2025","Panini Donruss Bomb Squad","Tyler Warren","Base","BS-TWN","37","62","60%","https://app.cardladder.com/search?gemRateId=d55f4d15c0b19720e039eee389fb7b1532984144&via=gemrate","https://app.cardladder.com/search?gemRateId=d55f4d15c0b19720e039eee389fb7b1532984144&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d55f4d15c0b19720e039eee389fb7b1532984144&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d55f4d15c0b19720e039eee389fb7b1532984144","https://www.psacard.com/cert/143444011/psa"
"","Football","2025","Panini Mosaic","Tyler Warren","Red & White Stripe","354","41","59","69%","https://app.cardladder.com/search?gemRateId=27737b9945d93133fd1316d707afcf9460994f14&via=gemrate","https://app.cardladder.com/search?gemRateId=27737b9945d93133fd1316d707afcf9460994f14&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=27737b9945d93133fd1316d707afcf9460994f14&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/144396699/psa"
"","Football","2025","Panini Score","Tyler Warren","Rookie-Signature","21","23","38","61%","https://app.cardladder.com/search?gemRateId=b1794084425f6cbceebbc0491d336f8e65a13b5e&via=gemrate","https://app.cardladder.com/search?gemRateId=b1794084425f6cbceebbc0491d336f8e65a13b5e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b1794084425f6cbceebbc0491d336f8e65a13b5e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/136840186/psa"
"","Football","2025","Panini Donruss Downtown! Horizontal","Tyler Warren","Base","18","30","34","88%","https://app.cardladder.com/search?gemRateId=83329af535eacf9e9232d47f986ad603098ad396&via=gemrate","https://app.cardladder.com/search?gemRateId=83329af535eacf9e9232d47f986ad603098ad396&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=83329af535eacf9e9232d47f986ad603098ad396&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/144081684/psa"
"","Football","2025","Panini Mosaic Micro Mosaic","Tyler Warren","Base","15","25","34","74%","https://app.cardladder.com/search?gemRateId=aa85d35a074655f84c5978e40b1c6bfc9f54b994&via=gemrate","https://app.cardladder.com/search?gemRateId=aa85d35a074655f84c5978e40b1c6bfc9f54b994&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=aa85d35a074655f84c5978e40b1c6bfc9f54b994&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/138765735/psa"
"","Football","2025","Panini Instant NFL Draft Night","Tyler Warren","Autograph","NFLDN10","25","29","86%","https://app.cardladder.com/search?gemRateId=4b790a2a5404558ff358298da7a312eeb3837964&via=gemrate","https://app.cardladder.com/search?gemRateId=4b790a2a5404558ff358298da7a312eeb3837964&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=4b790a2a5404558ff358298da7a312eeb3837964&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/130672010/psa"
"","Football","2025","Panini Mosaic Kaleidoscopic","Tyler Warren","Base","16","23","29","79%","https://app.cardladder.com/search?gemRateId=a102be53cbcaf11cfae764ca8357213ac6902bb7&via=gemrate","https://app.cardladder.com/search?gemRateId=a102be53cbcaf11cfae764ca8357213ac6902bb7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a102be53cbcaf11cfae764ca8357213ac6902bb7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/142907919/psa"
