"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2020","Panini Prizm","Tyrese Maxey","Silver Prizm","256","603","2,608","23%","https://app.cardladder.com/search?gemRateId=48dfd28c0361be7311525b3fe073744e45184295&via=gemrate","https://app.cardladder.com/search?gemRateId=48dfd28c0361be7311525b3fe073744e45184295&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=48dfd28c0361be7311525b3fe073744e45184295&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=48dfd28c0361be7311525b3fe073744e45184295","https://www.psacard.com/cert/133113377/psa"
"","Basketball","2020","Panini Prizm","Tyrese Maxey","Base","256","519","1,748","30%","https://app.cardladder.com/search?gemRateId=7fad0bf0da3ca14828f444c9763ae3b49ecb60cc&via=gemrate","https://app.cardladder.com/search?gemRateId=7fad0bf0da3ca14828f444c9763ae3b49ecb60cc&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7fad0bf0da3ca14828f444c9763ae3b49ecb60cc&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7fad0bf0da3ca14828f444c9763ae3b49ecb60cc","https://www.psacard.com/cert/132146423/psa"
"","Basketball","2020","Panini Donruss Optic","Tyrese Maxey","Base","171","468","1,076","43%","https://app.cardladder.com/search?gemRateId=62494f3dcf98b5c68aab935319cb68f5092ce66a&via=gemrate","https://app.cardladder.com/search?gemRateId=62494f3dcf98b5c68aab935319cb68f5092ce66a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=62494f3dcf98b5c68aab935319cb68f5092ce66a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=62494f3dcf98b5c68aab935319cb68f5092ce66a","https://www.psacard.com/cert/122776528/psa"
"","Basketball","2020","Panini Donruss Optic","Tyrese Maxey","Blue Velocity","171","626","964","65%","https://app.cardladder.com/search?gemRateId=ed1999cd9632fcf883fff4da62428c78be857531&via=gemrate","https://app.cardladder.com/search?gemRateId=ed1999cd9632fcf883fff4da62428c78be857531&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ed1999cd9632fcf883fff4da62428c78be857531&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ed1999cd9632fcf883fff4da62428c78be857531","https://www.psacard.com/cert/128922594/psa"
"","Basketball","2020","Panini Donruss Optic","Tyrese Maxey","Fanatics Box Set","171","397","829","48%","https://app.cardladder.com/search?gemRateId=306b7dbd38ccde79f3b6dd1fcc96645fb4406937&via=gemrate","https://app.cardladder.com/search?gemRateId=306b7dbd38ccde79f3b6dd1fcc96645fb4406937&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=306b7dbd38ccde79f3b6dd1fcc96645fb4406937&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=306b7dbd38ccde79f3b6dd1fcc96645fb4406937","https://www.psacard.com/cert/141720947/psa"
"","Basketball","2020","Panini Prizm","Tyrese Maxey","Green Prizm","256","292","729","40%","https://app.cardladder.com/search?gemRateId=85f207ef602853d35959aba5b1c4246cfb2f3791&via=gemrate","https://app.cardladder.com/search?gemRateId=85f207ef602853d35959aba5b1c4246cfb2f3791&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=85f207ef602853d35959aba5b1c4246cfb2f3791&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=85f207ef602853d35959aba5b1c4246cfb2f3791","https://www.psacard.com/cert/138531703/psa"
"","Basketball","2020","Panini Prizm","Tyrese Maxey","Red/White/Blue Prizm","256","168","711","24%","https://app.cardladder.com/search?gemRateId=7ce7bfb4f8f4e5480cbc8eb3b99c3db257b819cd&via=gemrate","https://app.cardladder.com/search?gemRateId=7ce7bfb4f8f4e5480cbc8eb3b99c3db257b819cd&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7ce7bfb4f8f4e5480cbc8eb3b99c3db257b819cd&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7ce7bfb4f8f4e5480cbc8eb3b99c3db257b819cd","https://www.psacard.com/cert/125229953/psa"
"","Basketball","2020","Panini Prizm","Tyrese Maxey","Red Ice","256","120","563","21%","https://app.cardladder.com/search?gemRateId=dcec56272b3cf2f694d74e2a82dd9e6968d5cf6a&via=gemrate","https://app.cardladder.com/search?gemRateId=dcec56272b3cf2f694d74e2a82dd9e6968d5cf6a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=dcec56272b3cf2f694d74e2a82dd9e6968d5cf6a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=dcec56272b3cf2f694d74e2a82dd9e6968d5cf6a","https://www.psacard.com/cert/114273454/psa"
"","Basketball","2020","Panini Hoops","Tyrese Maxey","Base","207","259","546","47%","https://app.cardladder.com/search?gemRateId=b646fa4731cd40232ac6de1a3d0a84b5e7581dbf&via=gemrate","https://app.cardladder.com/search?gemRateId=b646fa4731cd40232ac6de1a3d0a84b5e7581dbf&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b646fa4731cd40232ac6de1a3d0a84b5e7581dbf&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b646fa4731cd40232ac6de1a3d0a84b5e7581dbf","https://www.psacard.com/cert/104957069/psa"
"","Basketball","2020","Panini Flux","Tyrese Maxey","Fanatics Cracked Ice","208","350","524","67%","https://app.cardladder.com/search?gemRateId=a6a8646b4b17837e826182f19fcc7d0cd8f14ab8&via=gemrate","https://app.cardladder.com/search?gemRateId=a6a8646b4b17837e826182f19fcc7d0cd8f14ab8&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a6a8646b4b17837e826182f19fcc7d0cd8f14ab8&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a6a8646b4b17837e826182f19fcc7d0cd8f14ab8","https://www.psacard.com/cert/115993173/psa"
"","Basketball","2020","Panini Donruss","Tyrese Maxey","Base","211","278","505","55%","https://app.cardladder.com/search?gemRateId=29a1568f2e1775657315c8b492d6e5bb2a4b33db&via=gemrate","https://app.cardladder.com/search?gemRateId=29a1568f2e1775657315c8b492d6e5bb2a4b33db&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=29a1568f2e1775657315c8b492d6e5bb2a4b33db&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=29a1568f2e1775657315c8b492d6e5bb2a4b33db","https://www.psacard.com/cert/115325547/psa"
"","Basketball","2020","Panini Donruss Optic","Tyrese Maxey","Holo","171","97","505","19%","https://app.cardladder.com/search?gemRateId=13a739c1538a2b53e7988ea5a8d4eb9aab8ebe48&via=gemrate","https://app.cardladder.com/search?gemRateId=13a739c1538a2b53e7988ea5a8d4eb9aab8ebe48&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=13a739c1538a2b53e7988ea5a8d4eb9aab8ebe48&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=13a739c1538a2b53e7988ea5a8d4eb9aab8ebe48","https://www.psacard.com/cert/119856477/psa"
"","Basketball","2020","Panini Prizm","Tyrese Maxey","Ruby Wave","256","162","492","33%","https://app.cardladder.com/search?gemRateId=b30dd1406f549f7033fac9c946cac1476eab679e&via=gemrate","https://app.cardladder.com/search?gemRateId=b30dd1406f549f7033fac9c946cac1476eab679e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b30dd1406f549f7033fac9c946cac1476eab679e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b30dd1406f549f7033fac9c946cac1476eab679e","https://www.psacard.com/cert/130438794/psa"
"","Basketball","2020","Panini Donruss Optic","Tyrese Maxey","Target Box Set","171","113","365","31%","https://app.cardladder.com/search?gemRateId=44e9fc1393e0b88926b49f547b9a3c47d6843b84&via=gemrate","https://app.cardladder.com/search?gemRateId=44e9fc1393e0b88926b49f547b9a3c47d6843b84&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=44e9fc1393e0b88926b49f547b9a3c47d6843b84&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=44e9fc1393e0b88926b49f547b9a3c47d6843b84","https://www.psacard.com/cert/113947840/psa"
"","Basketball","2020","Panini Prizm Draft Picks Downtown","Tyrese Maxey","Base","D7","127","353","36%","https://app.cardladder.com/search?gemRateId=3da7eb82f2503f76cee26dbd6d7df9bf2e909a64&via=gemrate","https://app.cardladder.com/search?gemRateId=3da7eb82f2503f76cee26dbd6d7df9bf2e909a64&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3da7eb82f2503f76cee26dbd6d7df9bf2e909a64&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3da7eb82f2503f76cee26dbd6d7df9bf2e909a64","https://www.psacard.com/cert/121607100/psa"
"","Basketball","2020","Panini Select","Tyrese Maxey","Red/White/Orange Shimmer ","81","130","329","40%","https://app.cardladder.com/search?gemRateId=42cfe695c473dec8350ee0b257df8882232c6f9e&via=gemrate","https://app.cardladder.com/search?gemRateId=42cfe695c473dec8350ee0b257df8882232c6f9e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=42cfe695c473dec8350ee0b257df8882232c6f9e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=42cfe695c473dec8350ee0b257df8882232c6f9e","https://www.psacard.com/cert/127646734/psa"
"","Basketball","2020","Panini Flux","Tyrese Maxey","Pulsar","208","252","327","77%","https://app.cardladder.com/search?gemRateId=cc4a1841a385b30bc83437038015e9713a7e5976&via=gemrate","https://app.cardladder.com/search?gemRateId=cc4a1841a385b30bc83437038015e9713a7e5976&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=cc4a1841a385b30bc83437038015e9713a7e5976&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=cc4a1841a385b30bc83437038015e9713a7e5976","https://www.psacard.com/cert/114355613/psa"
