"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2025","Topps","VJ Edgecombe","Base","203","495","1,113","44%","https://app.cardladder.com/search?gemRateId=08b570cbf8e3ad05178c1b45e1273b9281e8a2f8&via=gemrate","https://app.cardladder.com/search?gemRateId=08b570cbf8e3ad05178c1b45e1273b9281e8a2f8&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=08b570cbf8e3ad05178c1b45e1273b9281e8a2f8&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=08b570cbf8e3ad05178c1b45e1273b9281e8a2f8","https://www.psacard.com/cert/144634475/psa"
"","Basketball","2025","Panini Instant NBA Draft Night","VJ Edgecombe","Base","3","456","751","61%","https://app.cardladder.com/search?gemRateId=43ee3a09acba990bc3ff941001f6735d5883cacd&via=gemrate","https://app.cardladder.com/search?gemRateId=43ee3a09acba990bc3ff941001f6735d5883cacd&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=43ee3a09acba990bc3ff941001f6735d5883cacd&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/136818137/psa"
"","Basketball","2025","Topps Now","VJ Edgecombe","Base","11","396","502","79%","https://app.cardladder.com/search?gemRateId=9ddcd093ac09deab567f07f14a1abdbab0bc8269&via=gemrate","https://app.cardladder.com/search?gemRateId=9ddcd093ac09deab567f07f14a1abdbab0bc8269&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=9ddcd093ac09deab567f07f14a1abdbab0bc8269&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/144720220/psa"
"","Basketball","2025","Topps 1980-81 Topps Basketball","VJ Edgecombe","Base","80BK-96","35","175","20%","https://app.cardladder.com/search?gemRateId=b0bb1d6800a92917180aa29d73abca73fba8c5f3&via=gemrate","https://app.cardladder.com/search?gemRateId=b0bb1d6800a92917180aa29d73abca73fba8c5f3&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b0bb1d6800a92917180aa29d73abca73fba8c5f3&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b0bb1d6800a92917180aa29d73abca73fba8c5f3","https://www.psacard.com/cert/142567064/psa"
"","Basketball","2025","Topps Silver Pack 1980-81 Topps Chrome Basketball","VJ Edgecombe","Base","TC-CE","62","171","36%","https://app.cardladder.com/search?gemRateId=719393023b4f543734083fa547ccd15d116bc07b&via=gemrate","https://app.cardladder.com/search?gemRateId=719393023b4f543734083fa547ccd15d116bc07b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=719393023b4f543734083fa547ccd15d116bc07b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/144354435/psa"
"","Basketball","2025","Topps Clutch City Prospects","VJ Edgecombe","Base","CC-3","83","163","51%","https://app.cardladder.com/search?gemRateId=162748d546d70fe9566654d8df9b475e631714ee&via=gemrate","https://app.cardladder.com/search?gemRateId=162748d546d70fe9566654d8df9b475e631714ee&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=162748d546d70fe9566654d8df9b475e631714ee&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/143765874/psa"
"","Basketball","2025","Topps Chrome","VJ Edgecombe","Base","253","55","106","52%","https://app.cardladder.com/search?gemRateId=ce60a3910cebd209b8ca6070b085bc8827250ab7&via=gemrate","https://app.cardladder.com/search?gemRateId=ce60a3910cebd209b8ca6070b085bc8827250ab7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ce60a3910cebd209b8ca6070b085bc8827250ab7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ce60a3910cebd209b8ca6070b085bc8827250ab7","https://www.psacard.com/cert/143898243/psa"
"","Basketball","2025","Topps Chrome Ultra Violet","VJ Edgecombe","Base","UV-13","25","104","24%","https://app.cardladder.com/search?gemRateId=cb1015ea342ef07ddc6215ac3c38368a19fccf34&via=gemrate","https://app.cardladder.com/search?gemRateId=cb1015ea342ef07ddc6215ac3c38368a19fccf34&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=cb1015ea342ef07ddc6215ac3c38368a19fccf34&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/142424882/psa"
"","Basketball","2025","Topps Chrome","VJ Edgecombe","Refractor","253","42","92","46%","https://app.cardladder.com/search?gemRateId=4b245807d39fad6bd319730d46aeb485a78b118e&via=gemrate","https://app.cardladder.com/search?gemRateId=4b245807d39fad6bd319730d46aeb485a78b118e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=4b245807d39fad6bd319730d46aeb485a78b118e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=4b245807d39fad6bd319730d46aeb485a78b118e","https://www.psacard.com/cert/146853915/psa"
"","Basketball","2025","Topps Generation Now","VJ Edgecombe","Base","GN-3","67","87","77%","https://app.cardladder.com/search?gemRateId=7760c02d339dba261f86fb1e883faa3794e93aed&via=gemrate","https://app.cardladder.com/search?gemRateId=7760c02d339dba261f86fb1e883faa3794e93aed&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7760c02d339dba261f86fb1e883faa3794e93aed&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7760c02d339dba261f86fb1e883faa3794e93aed","https://www.psacard.com/cert/145258827/psa"
"","Basketball","2025","Panini Instant NBA Rated Rookie Retro","VJ Edgecombe","Base","RRR-28","49","85","58%","https://app.cardladder.com/search?gemRateId=94d5d481450955c327d336d8792fd262c28f33e6&via=gemrate","https://app.cardladder.com/search?gemRateId=94d5d481450955c327d336d8792fd262c28f33e6&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=94d5d481450955c327d336d8792fd262c28f33e6&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/136227250/psa"
"","Basketball","2025","Topps","VJ Edgecombe","Rainbow Foilboard","203","26","85","31%","https://app.cardladder.com/search?gemRateId=56c8d6be118a0759b81666c48325e43ff32a7991&via=gemrate","https://app.cardladder.com/search?gemRateId=56c8d6be118a0759b81666c48325e43ff32a7991&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=56c8d6be118a0759b81666c48325e43ff32a7991&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/140187798/psa"
"","Basketball","2025","Topps Chrome","VJ Edgecombe","X-Fractor","253","39","80","49%","https://app.cardladder.com/search?gemRateId=8b66a60e0dab518651b129f2e56cf53e9945d1fe&via=gemrate","https://app.cardladder.com/search?gemRateId=8b66a60e0dab518651b129f2e56cf53e9945d1fe&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8b66a60e0dab518651b129f2e56cf53e9945d1fe&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/144479718/psa"
"","Basketball","2025","Topps 8 Bit Ballers","VJ Edgecombe","Base","8B-33","7","65","11%","https://app.cardladder.com/search?gemRateId=96907338a6482dbdc81a10176a8f4c66750be2e7&via=gemrate","https://app.cardladder.com/search?gemRateId=96907338a6482dbdc81a10176a8f4c66750be2e7&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=96907338a6482dbdc81a10176a8f4c66750be2e7&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=96907338a6482dbdc81a10176a8f4c66750be2e7","https://www.psacard.com/cert/143213778/psa"
"","Basketball","2025","Topps the Daily Dribble","VJ Edgecombe","Base","DD-33","18","62","29%","https://app.cardladder.com/search?gemRateId=f332e1138f9fa39092ee969c8256da034eaa49ad&via=gemrate","https://app.cardladder.com/search?gemRateId=f332e1138f9fa39092ee969c8256da034eaa49ad&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f332e1138f9fa39092ee969c8256da034eaa49ad&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/144354434/psa"
"","Basketball","2025","Topps Generation Now","VJ Edgecombe","Holo Foil","GN-3","40","58","69%","https://app.cardladder.com/search?gemRateId=4d7d3b44777bbecb52aef7220e1d36c8311499da&via=gemrate","https://app.cardladder.com/search?gemRateId=4d7d3b44777bbecb52aef7220e1d36c8311499da&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=4d7d3b44777bbecb52aef7220e1d36c8311499da&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/143152336/psa"
"","Basketball","2025","Panini Instant NBA","VJ Edgecombe","Autograph","1","42","57","74%","https://app.cardladder.com/search?gemRateId=a404b110d8ba4c4c5255818c9c22b578eedb52ce&via=gemrate","https://app.cardladder.com/search?gemRateId=a404b110d8ba4c4c5255818c9c22b578eedb52ce&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a404b110d8ba4c4c5255818c9c22b578eedb52ce&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a404b110d8ba4c4c5255818c9c22b578eedb52ce","https://www.psacard.com/cert/140231201/psa"
"","Basketball","2025","Topps Clutch City Prospects","VJ Edgecombe","Holo Foil","CC-3","46","56","82%","https://app.cardladder.com/search?gemRateId=341dbb73ba5ea6541d60184bfc02e51e7bf823f8&via=gemrate","https://app.cardladder.com/search?gemRateId=341dbb73ba5ea6541d60184bfc02e51e7bf823f8&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=341dbb73ba5ea6541d60184bfc02e51e7bf823f8&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/142567445/psa"
"","Basketball","2025","Topps","VJ Edgecombe","Season Tip Off","203","22","56","39%","https://app.cardladder.com/search?gemRateId=bf461b3808f2da10d6c3b4a0eabd76ccb5087192&via=gemrate","https://app.cardladder.com/search?gemRateId=bf461b3808f2da10d6c3b4a0eabd76ccb5087192&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=bf461b3808f2da10d6c3b4a0eabd76ccb5087192&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/139711782/psa"
"","Basketball","2025","Panini Instant NBA Draft Night","VJ Edgecombe","Autograph","3","31","55","56%","https://app.cardladder.com/search?gemRateId=39e84df7df95fa720863a1af8afd62e6c33c3931&via=gemrate","https://app.cardladder.com/search?gemRateId=39e84df7df95fa720863a1af8afd62e6c33c3931&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=39e84df7df95fa720863a1af8afd62e6c33c3931&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/140231202/psa"
"","Basketball","2025","Topps Holiday","VJ Edgecombe","Base","H163","25","54","46%","https://app.cardladder.com/search?gemRateId=c3e4c111c92038caadd00bdfa4d1aca505d9224c&via=gemrate","https://app.cardladder.com/search?gemRateId=c3e4c111c92038caadd00bdfa4d1aca505d9224c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=c3e4c111c92038caadd00bdfa4d1aca505d9224c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=c3e4c111c92038caadd00bdfa4d1aca505d9224c","https://www.psacard.com/cert/142548891/psa"
"","Basketball","2025","Topps","VJ Edgecombe","Blackout","203","14","52","27%","https://app.cardladder.com/search?gemRateId=e6733ed97d9841c39ee1ea9efa44fe27c0e17290&via=gemrate","https://app.cardladder.com/search?gemRateId=e6733ed97d9841c39ee1ea9efa44fe27c0e17290&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e6733ed97d9841c39ee1ea9efa44fe27c0e17290&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=None","https://www.psacard.com/cert/144280554/psa"
