"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2020","Panini Flux","Anthony Edwards","Pulsar","202","858","1,139","75%","https://app.cardladder.com/search?gemRateId=58c40e404b87db71c7f3a6e80c0350a9defcad05&via=gemrate","https://app.cardladder.com/search?gemRateId=58c40e404b87db71c7f3a6e80c0350a9defcad05&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=58c40e404b87db71c7f3a6e80c0350a9defcad05&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=58c40e404b87db71c7f3a6e80c0350a9defcad05","https://www.psacard.com/cert/131300609/psa"
"","Basketball","2020","Panini Prizm Instant Impact","Anthony Edwards","Base","1","669","948","71%","https://app.cardladder.com/search?gemRateId=af8b1a1db7ba77135c5fb1d05072b6595f7216ad&via=gemrate","https://app.cardladder.com/search?gemRateId=af8b1a1db7ba77135c5fb1d05072b6595f7216ad&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=af8b1a1db7ba77135c5fb1d05072b6595f7216ad&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=af8b1a1db7ba77135c5fb1d05072b6595f7216ad","https://www.psacard.com/cert/137970902/psa"
"","Basketball","2020","Panini Flux","Anthony Edwards","Fanatics Cracked Ice","202","597","856","70%","https://app.cardladder.com/search?gemRateId=ffde79fa2afb89cd3c6ddd54f9b477f194f907f5&via=gemrate","https://app.cardladder.com/search?gemRateId=ffde79fa2afb89cd3c6ddd54f9b477f194f907f5&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=ffde79fa2afb89cd3c6ddd54f9b477f194f907f5&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=ffde79fa2afb89cd3c6ddd54f9b477f194f907f5","https://www.psacard.com/cert/135980685/psa"
"","Basketball","2020","Panini Contenders Lottery Ticket","Anthony Edwards","Base","11","685","983","70%","https://app.cardladder.com/search?gemRateId=11435bb20635d94ef7336a9d6c8d954b33c0d297&via=gemrate","https://app.cardladder.com/search?gemRateId=11435bb20635d94ef7336a9d6c8d954b33c0d297&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=11435bb20635d94ef7336a9d6c8d954b33c0d297&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=11435bb20635d94ef7336a9d6c8d954b33c0d297","https://www.psacard.com/cert/137647597/psa"
"","Basketball","2020","Panini Mosaic","Anthony Edwards","Base","261","1,035","1,502","69%","https://app.cardladder.com/search?gemRateId=cf245b9eeaff310fea97a3a630dc6b9761075bff&via=gemrate","https://app.cardladder.com/search?gemRateId=cf245b9eeaff310fea97a3a630dc6b9761075bff&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=cf245b9eeaff310fea97a3a630dc6b9761075bff&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=cf245b9eeaff310fea97a3a630dc6b9761075bff","https://www.psacard.com/cert/135980686/psa"
"","Basketball","2020","Panini Mosaic","Anthony Edwards","Camo Pink","261","511","751","68%","https://app.cardladder.com/search?gemRateId=010266773c3d47233bb5f2166ec82c49c03f68ec&via=gemrate","https://app.cardladder.com/search?gemRateId=010266773c3d47233bb5f2166ec82c49c03f68ec&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=010266773c3d47233bb5f2166ec82c49c03f68ec&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=010266773c3d47233bb5f2166ec82c49c03f68ec","https://www.psacard.com/cert/138617809/psa"
"","Basketball","2020","Panini Mosaic","Anthony Edwards","Base","252","717","1,062","68%","https://app.cardladder.com/search?gemRateId=693b062012b24be5deb18e9c462eff8548cb6111&via=gemrate","https://app.cardladder.com/search?gemRateId=693b062012b24be5deb18e9c462eff8548cb6111&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=693b062012b24be5deb18e9c462eff8548cb6111&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=693b062012b24be5deb18e9c462eff8548cb6111","https://www.psacard.com/cert/135054802/psa"
"","Basketball","2020","Panini Donruss Optic","Anthony Edwards","Blue Velocity","151","1,457","2,356","62%","https://app.cardladder.com/search?gemRateId=3c783f47d150007c364cc0984642dd632bf99c2d&via=gemrate","https://app.cardladder.com/search?gemRateId=3c783f47d150007c364cc0984642dd632bf99c2d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3c783f47d150007c364cc0984642dd632bf99c2d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3c783f47d150007c364cc0984642dd632bf99c2d","https://www.psacard.com/cert/144938597/psa"
"","Basketball","2020","Panini Prizm Draft Picks","Anthony Edwards","Base","81","613","1,014","60%","https://app.cardladder.com/search?gemRateId=bdba278f3248dcbe836117f5db4d6235f8b08313&via=gemrate","https://app.cardladder.com/search?gemRateId=bdba278f3248dcbe836117f5db4d6235f8b08313&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=bdba278f3248dcbe836117f5db4d6235f8b08313&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=bdba278f3248dcbe836117f5db4d6235f8b08313","https://www.psacard.com/cert/123688594/psa"
