Card,Grade,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Angel Reese 2024 Select WNBA #5 Concourse Silver","Raw","2172.73","$21.51","$0.99","$22.50 (03/18/2026)","$11.74","$0.99","$22.50","-33.33","2","$23.49"
"Jaime Jaquez Jr. 2023 Prizm #137 Silver","Raw","2147.47","$21.26","$0.99","$22.25 (03/18/2026)","$5.21","$0.99","$22.25","100.00","6","$31.24"
"Scoot Henderson 2023 Prizm #141 Red Ice","Raw","2115.00","$21.15","$1.00","$22.15 (03/16/2026)","$11.57","$1.00","$22.15","100.00","2","$23.15"
"Noa Essengue 2025 Topps Chrome #262 Blue Refractor","Raw","1899.00","$18.99","$1.00","$19.99 (03/17/2026)","$10.49","$1.00","$19.99","100.00","2","$20.99"
"Anthony Edwards 2024 Mosaic #36 Blue","Raw","1819.19","$18.01","$0.99","$19.00 (03/14/2026)","$9.99","$0.99","$19.00","0.00","2","$19.99"
"Rui Hachimura 2019 Prizm #255 Base","PSA 10","1617.17","$16.01","$0.99","$17.00 (03/17/2026)","$9.10","$0.99","$17.00","60.00","8","$72.84"
"Brandon Miller 2023 Mosaic #17 NBA In-Season Tournament","Raw","1415.15","$14.01","$0.99","$15.00 (03/14/2026)","$8.00","$0.99","$15.00","0.00","2","$15.99"
"Anthony Davis 2012 Marquee #152 Swirlorama","Raw","1415.15","$14.01","$0.99","$15.00 (03/16/2026)","$8.00","$0.99","$15.00","100.00","2","$15.99"
"Kyrie Irving 2012 Marquee #321 Laser Cut","Raw","1212.12","$12.00","$0.99","$12.99 (03/17/2026)","$6.99","$0.99","$12.99","-33.33","2","$13.98"
"LaMelo Ball 2020 Mosaic #202 Base","Raw","1207.69","$15.70","$1.30","$17.00 (03/18/2026)","$4.08","$0.99","$17.00","-22.22","7","$28.53"
"Tre Johnson III 2025 Topps Finest #106 Uncommon - Blue Geometric Refractor","Raw","1188.89","$26.75","$2.25","$29.00 (03/18/2026)","$16.77","$2.25","$29.00","0.00","3","$50.32"
"Zaccharie Risacher 2024 Optic #14 Rising Suns - Pink Velocity","Raw","1162.63","$11.51","$0.99","$12.50 (03/13/2026)","$6.75","$0.99","$12.50","0.00","2","$13.49"
"Keyonte George 2023 Phoenix #11 Operation Detonation","Raw","1149.50","$22.99","$2.00","$24.99 (03/17/2026)","$13.49","$2.00","$24.99","0.00","2","$26.99"
"Joan Beringer 2025 Topps Chrome Sapphire Edition #SS-14 Sapphire Selections","Raw","1125.96","$11.71","$1.04","$12.75 (03/17/2026)","$9.64","$1.04","$12.75","150.00","5","$48.22"
"Ace Bailey 2025 Topps #RRR-AB Rookie Roundball Remnants","Raw","1116.50","$22.33","$2.00","$24.33 (03/15/2026)","$10.58","$2.00","$24.33","-42.86","4","$42.33"
"Stephen Curry 2025 Topps Chrome #201 Basketball Refractor","Raw","1100.00","$11.00","$1.00","$12.00 (03/15/2026)","$10.06","$1.00","$21.50","-25.00","9","$90.50"
"Ace Bailey 2025 Topps Chrome #BD-24 Ball of Duty - Teal Refractor","Raw","1099.60","$13.75","$1.25","$15.00 (03/18/2026)","$10.41","$1.25","$15.00","50.00","3","$31.24"
"Bronny James Jr. 2024 Prizm #243 China Variation","Raw","1064.80","$13.31","$1.25","$14.56 (03/15/2026)","$9.12","$1.25","$14.68","0.00","4","$36.48"
"Dylan Harper 2025 Topps #PP-17 Power Players - Holo Foil","Raw","1061.62","$10.51","$0.99","$11.50 (03/18/2026)","$3.83","$0.99","$19.99","170.00","27","$103.33"
"Victor Wembanyama 2023 Donruss #10 Great X-Pectations","Raw","1020.40","$15.25","$1.50","$16.75 (03/18/2026)","$6.37","$0.99","$20.00","33.33","32","$203.71"
"Walter Clayton Jr. 2025 Topps Finest #A-18 Arrivals","Raw","1000.00","$10.00","$1.00","$11.00 (03/14/2026)","$6.00","$1.00","$11.00","0.00","2","$12.00"
"LeBron James 2023 Select #266 Courtside Orange Flash","Raw","999.00","$9.99","$1.00","$10.99 (03/17/2026)","$6.00","$1.00","$10.99","100.00","2","$11.99"
"Egor Demin 2025 Topps #208 Blackout Variation","Raw","990.91","$9.81","$0.99","$10.80 (03/18/2026)","$4.70","$0.99","$10.80","-57.14","3","$14.09"
"Scottie Barnes 2021 Prizm #320 Green","PSA 9","960.61","$9.51","$0.99","$10.50 (03/10/2026)","$5.75","$0.99","$10.50","0.00","2","$11.49"
"Keyonte George 2023 Revolution #118 Base","Raw","940.27","$14.01","$1.49","$15.50 (03/10/2026)","$6.61","$1.49","$15.50","0.00","3","$19.84"
"Bam Adebayo 2017 Hoops #264 Green","Raw","924.92","$30.06","$3.25","$33.31 (03/10/2026)","$23.29","$3.25","$36.62","0.00","3","$69.87"
"Michael Porter Jr. 2018 Optic #182 Shock","Raw","910.10","$9.01","$0.99","$10.00 (03/10/2026)","$5.50","$0.99","$10.00","-75.00","2","$10.99"
"Walter Clayton Jr. 2025 Topps Chrome #268 Base","Raw","910.10","$9.01","$0.99","$10.00 (03/17/2026)","$2.48","$0.99","$10.00","-33.33","8","$19.85"
"Will Riley 2025 Topps Chrome #271 Image Variation","Raw","910.10","$9.01","$0.99","$10.00 (03/18/2026)","$6.44","$0.99","$13.00","100.00","8","$51.48"
"Cam Reddish 2019 Optic #170 Base","PSA 10","910.10","$9.01","$0.99","$10.00 (03/13/2026)","$5.50","$0.99","$10.00","-33.33","2","$10.99"
"Maxime Raynaud 2025 Topps #RR-MR Retail Ripper Relic","Raw","910.10","$9.01","$0.99","$10.00 (03/11/2026)","$5.50","$0.99","$10.00","100.00","2","$10.99"
"Terrence Shannon Jr. 2024 Prizm #224 Silver","Raw","910.10","$9.01","$0.99","$10.00 (03/16/2026)","$5.50","$0.99","$10.00","-60.00","2","$10.99"
"Jarrett Culver 2019 Prizm #252 Base","PSA 10","909.09","$9.00","$0.99","$9.99 (03/17/2026)","$5.49","$0.99","$9.99","0.00","2","$10.98"
