Card,Grade,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Jeremy Sochan 2022 Optic #236 White Sparkle","Raw","0.00","$0.00","$12.00","$12.00 (05/11/2026)","$12.00","$12.00","$12.00","0.00","1","$12.00"
"Coby White 2019 Crown Royale #4 Kaboom!","Raw","0.00","$0.00","$451.66","$451.66 (05/12/2026)","$451.66","$451.66","$451.66","0.00","1","$451.66"
"Ayo Dosunmu 2021 Donruss #221 Light Blue Laser","Raw","0.00","$0.00","$21.99","$21.99 (05/06/2026)","$21.99","$21.99","$21.99","0.00","1","$21.99"
"Jayson Tatum 2017 Optic #3 Rookie Kings - Holo","Raw","0.00","$0.00","$8.27","$8.27 (05/09/2026)","$8.27","$8.27","$8.27","0.00","1","$8.27"
"Ja Morant 2019 Chronicles #550 Hometown Heroes Optic","Raw","0.00","$0.00","$10.00","$10.00 (05/13/2026)","$10.00","$10.00","$10.00","0.00","1","$10.00"
"Desmond Bane 2020 Optic #180 Blue","Raw","0.00","$0.00","$25.99","$25.99 (05/01/2026)","$25.99","$25.99","$25.99","0.00","1","$25.99"
"Collin Sexton 2018 Optic #180 Shock","Raw","0.00","$0.00","$1.25","$1.25 (05/12/2026)","$1.25","$1.25","$1.25","0.00","1","$1.25"
"Tyrese Haliburton 2020 Optic #162 Green Pulsar","Raw","0.00","$0.00","$15.99","$15.99 (05/04/2026)","$15.99","$15.99","$15.99","0.00","1","$15.99"
"Amen Thompson 2023 Optic #2 The Rookies","Raw","0.00","$0.00","$22.30","$22.30 (05/06/2026)","$22.30","$22.30","$22.30","0.00","1","$22.30"
"LaMelo Ball 2020 Optic #SS-LBL Signature Series","Raw","0.00","$0.00","$150.00","$150.00 (05/03/2026)","$150.00","$150.00","$150.00","0.00","1","$150.00"
"Isaac Okoro 2020 Optic #SS-IOK Signature Series - Purple","Raw","0.00","$0.00","$2.25","$2.25 (05/06/2026)","$2.25","$2.25","$2.25","0.00","1","$2.25"
"Gradey Dick 2023 Optic #9 Splash! - Holo","Raw","0.00","$0.00","$1.00","$1.00 (05/11/2026)","$1.00","$1.00","$1.00","0.00","1","$1.00"
"Ausar Thompson 2023 Optic #5 The Rookies - Pink Velocity","Raw","0.00","$0.00","$13.00","$13.00 (05/09/2026)","$13.00","$13.00","$13.00","0.00","1","$13.00"
"Stephen Curry 2023 Optic #198 Red Velocity","Raw","0.00","$0.00","$11.05","$11.05 (05/03/2026)","$11.05","$11.05","$11.05","0.00","1","$11.05"
"Chet Holmgren 2022 Crown Royale #85 Base","Raw","0.00","$0.00","$7.99","$7.99 (05/10/2026)","$7.99","$7.99","$7.99","0.00","1","$7.99"
"Jeremy Sochan 2022 Donruss #209 Rated Rookie Signatures","Raw","0.00","$0.00","$15.00","$15.00 (05/08/2026)","$15.00","$15.00","$15.00","0.00","1","$15.00"
"Luka Doncic 2023 Crown Royale #82 Pink Crystal","Raw","0.00","$0.00","$25.00","$25.00 (05/08/2026)","$25.00","$25.00","$25.00","0.00","1","$25.00"
"Shaedon Sharpe 2022 Contenders Optic #133 Rookie Ticket Auto Variation - Red","Raw","0.00","$0.00","$51.00","$51.00 (05/01/2026)","$51.00","$51.00","$51.00","0.00","1","$51.00"
"Jalen Williams 2022 Contenders Optic #1 Optic Illusion","Raw","0.00","$0.00","$4.35","$4.35 (05/09/2026)","$4.35","$4.35","$4.35","0.00","1","$4.35"
"Paolo Banchero 2022 Optic #221 Rated Rookie Signatures - Fast Break","Raw","0.00","$0.00","$95.00","$95.00 (05/11/2026)","$95.00","$95.00","$95.00","0.00","1","$95.00"
