"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2021","Panini Prizm","Cade Cunningham","Base","282","1,532","3,505","44%","https://app.cardladder.com/search?gemRateId=6c306e779301feef96a0f5ec26b205949ae9cc7b&via=gemrate","https://app.cardladder.com/search?gemRateId=6c306e779301feef96a0f5ec26b205949ae9cc7b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=6c306e779301feef96a0f5ec26b205949ae9cc7b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=6c306e779301feef96a0f5ec26b205949ae9cc7b","https://www.psacard.com/cert/136087667/psa"
"","Basketball","2021","Panini Prizm","Cade Cunningham","Silver Prizm","282","379","2,180","17%","https://app.cardladder.com/search?gemRateId=7e7f09c71842d66412f2cc0d0afc9a8079b30d5c&via=gemrate","https://app.cardladder.com/search?gemRateId=7e7f09c71842d66412f2cc0d0afc9a8079b30d5c&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7e7f09c71842d66412f2cc0d0afc9a8079b30d5c&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7e7f09c71842d66412f2cc0d0afc9a8079b30d5c","https://www.psacard.com/cert/128952689/psa"
"","Basketball","2021","Panini Donruss Optic","Cade Cunningham","Base","161","830","1,669","50%","https://app.cardladder.com/search?gemRateId=13d6389afa31f594853d00a4aa70593e1c0a6b36&via=gemrate","https://app.cardladder.com/search?gemRateId=13d6389afa31f594853d00a4aa70593e1c0a6b36&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=13d6389afa31f594853d00a4aa70593e1c0a6b36&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=13d6389afa31f594853d00a4aa70593e1c0a6b36","https://www.psacard.com/cert/133906220/psa"
"","Basketball","2021","Panini Prizm","Cade Cunningham","Red/White/Blue Prizm","282","827","1,484","56%","https://app.cardladder.com/search?gemRateId=50fa92aa250699168b19fb6d595c58ba6a450ba4&via=gemrate","https://app.cardladder.com/search?gemRateId=50fa92aa250699168b19fb6d595c58ba6a450ba4&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=50fa92aa250699168b19fb6d595c58ba6a450ba4&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=50fa92aa250699168b19fb6d595c58ba6a450ba4","https://www.psacard.com/cert/136461621/psa"
"","Basketball","2021","Panini Donruss","Cade Cunningham","Base","211","859","1,383","62%","https://app.cardladder.com/search?gemRateId=2dca44de8a2b6f95bb432bf714ad27c94e86ebda&via=gemrate","https://app.cardladder.com/search?gemRateId=2dca44de8a2b6f95bb432bf714ad27c94e86ebda&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=2dca44de8a2b6f95bb432bf714ad27c94e86ebda&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=2dca44de8a2b6f95bb432bf714ad27c94e86ebda","https://www.psacard.com/cert/129866515/psa"
"","Basketball","2021","Panini Donruss Optic","Cade Cunningham","Blue Velocity","161","539","1,210","45%","https://app.cardladder.com/search?gemRateId=beafafb2bd4b36671f419c7e3b120ac720e41cb6&via=gemrate","https://app.cardladder.com/search?gemRateId=beafafb2bd4b36671f419c7e3b120ac720e41cb6&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=beafafb2bd4b36671f419c7e3b120ac720e41cb6&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=beafafb2bd4b36671f419c7e3b120ac720e41cb6","https://www.psacard.com/cert/143821951/psa"
"","Basketball","2021","Panini NBA Hoops","Cade Cunningham","Base","201","618","1,035","60%","https://app.cardladder.com/search?gemRateId=f1a7613a62463822f084ceada38ea69b83466406&via=gemrate","https://app.cardladder.com/search?gemRateId=f1a7613a62463822f084ceada38ea69b83466406&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=f1a7613a62463822f084ceada38ea69b83466406&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=f1a7613a62463822f084ceada38ea69b83466406","https://www.psacard.com/cert/124055295/psa"
"","Basketball","2021","Panini Prizm","Cade Cunningham","Ice","282","295","972","30%","https://app.cardladder.com/search?gemRateId=aadefe20a2e62efcee73be52e2fdb69c76f1794d&via=gemrate","https://app.cardladder.com/search?gemRateId=aadefe20a2e62efcee73be52e2fdb69c76f1794d&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=aadefe20a2e62efcee73be52e2fdb69c76f1794d&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=aadefe20a2e62efcee73be52e2fdb69c76f1794d","https://www.psacard.com/cert/144041533/psa"
"","Basketball","2021","Panini Donruss Optic","Cade Cunningham","Holo","161","393","918","43%","https://app.cardladder.com/search?gemRateId=8b6feada0a516466b48ac53edb51443baa05f48e&via=gemrate","https://app.cardladder.com/search?gemRateId=8b6feada0a516466b48ac53edb51443baa05f48e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=8b6feada0a516466b48ac53edb51443baa05f48e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=8b6feada0a516466b48ac53edb51443baa05f48e","https://www.psacard.com/cert/141779333/psa"
