Card,Grade,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Jaxson Dart 2025 Optic #273 Base","Raw","-31.75","-$1.23","$3.88","$2.65 (03/26/2026)","$3.88","$0.99","$153.00","0.00","166","$644.26"
"Jaxson Dart 2025 Prizm #332 Base","Raw","-15.55","-$0.94","$6.04","$5.10 (03/26/2026)","$5.13","$0.99","$12.50","4.73","155","$795.07"
"Jaxson Dart 2025 Donruss #400 Base","Raw","17.93","$0.35","$1.94","$2.29 (03/27/2026)","$2.13","$0.99","$7.00","29.33","97","$206.45"
"Drake Maye 2024 Donruss #379 Base","Raw","-26.40","-$1.56","$5.92","$4.35 (03/26/2026)","$4.60","$0.99","$16.25","91.49","90","$414.41"
"Drake Maye 2024 Optic #229 Base","Raw","-1.98","-$0.12","$6.24","$6.12 (03/26/2026)","$7.10","$0.99","$20.00","-9.89","82","$582.56"
"Caleb Williams 2024 Prizm #301 Base","Raw","-6.50","-$0.41","$6.30","$5.89 (03/26/2026)","$6.45","$1.50","$24.99","-35.40","73","$470.60"
"Drake Maye 2024 Prizm #329 Base","Raw","-52.18","-$7.27","$13.93","$6.66 (03/26/2026)","$10.60","$1.00","$20.00","-36.45","68","$720.55"
"Jaxson Dart 2025 Optic #273 Blue Hyper","Raw","5.77","$1.25","$21.58","$22.82 (03/26/2026)","$21.00","$10.00","$36.23","44.19","62","$1302.12"
"Jaxson Dart 2025 Select #93 Concourse","Raw","39.26","$0.72","$1.82","$2.54 (03/26/2026)","$2.21","$0.99","$6.00","3.45","60","$132.42"
"Jayden Daniels 2024 Prizm #347 Base","Raw","-47.24","-$3.64","$7.71","$4.07 (03/26/2026)","$5.16","$0.99","$15.00","3.51","59","$304.19"
"Cam Ward 2025 Prizm #352 Base","Raw","15.58","$0.36","$2.31","$2.67 (03/26/2026)","$2.73","$0.99","$19.99","-9.68","56","$152.83"
"Cam Ward 2025 Optic #293 Base","Raw","30.02","$0.49","$1.63","$2.11 (03/26/2026)","$1.88","$0.99","$17.00","22.22","55","$103.45"
"Cam Skattebo 2025 Prizm #363 Base","Raw","33.22","$0.74","$2.21","$2.95 (03/26/2026)","$2.01","$0.99","$5.50","34.15","55","$110.34"
"Jaxson Dart 2025 Optic #273 Holo","Raw","-12.77","-$5.40","$42.29","$36.89 (03/26/2026)","$38.83","$19.99","$51.00","0.00","55","$2135.90"
"Jaxson Dart 2025 Prizm #332 White Disco","Raw","20.49","$16.67","$81.33","$98.00 (03/26/2026)","$88.26","$59.99","$124.99","1.89","54","$4765.89"
"Jaxson Dart 2025 Optic #273 Purple Shock","Raw","6.02","$0.98","$16.34","$17.32 (03/26/2026)","$15.15","$3.51","$26.00","-15.63","54","$818.37"
"Caleb Williams 2024 Donruss #327 Base","Raw","38.39","$0.41","$1.08","$1.49 (03/26/2026)","$2.71","$0.99","$16.21","4.17","50","$135.48"
"Cam Ward 2025 Optic #293 Holo","Raw","-14.06","-$3.00","$21.33","$18.33 (03/26/2026)","$18.48","$11.50","$31.00","11.11","50","$924.10"
"Tyler Shough 2025 Prizm #327 Base","Raw","-27.30","-$0.41","$1.49","$1.08 (03/26/2026)","$1.48","$0.99","$4.00","20.00","48","$71.00"
"Shedeur Sanders 2025 Prizm #302 Base","Raw","-25.19","-$0.33","$1.32","$0.99 (03/26/2026)","$2.24","$0.99","$12.99","-7.84","47","$105.32"
"Cam Ward 2025 Prizm #352 Silver","Raw","2.00","$1.32","$65.82","$67.13 (03/26/2026)","$68.67","$29.99","$120.50","-12.96","47","$3227.32"
"Jaxson Dart 2025 Optic #2 My House!","Raw","1.49","$0.10","$6.42","$6.52 (03/26/2026)","$7.32","$1.25","$14.60","-20.69","46","$336.77"
"Drake Maye 2024 Select #27 Concourse","Raw","-29.46","-$1.83","$6.22","$4.39 (03/26/2026)","$3.54","$0.99","$18.00","-22.03","46","$162.91"
"Drake Maye 2024 Select #113 Premier Level","Raw","9.75","$0.84","$8.59","$9.43 (03/26/2026)","$5.03","$0.99","$24.99","-2.17","45","$226.51"
"Jaxson Dart 2025 Prizm #332 Silver","Raw","1.08","$1.98","$182.50","$184.48 (03/26/2026)","$184.11","$120.00","$280.00","-8.33","44","$8100.76"
