"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2024","Panini Prizm","Stephon Castle","Silver Prizm","234","430","1,748","25%","https://app.cardladder.com/search?gemRateId=e8cdad6ca9ff312c8c524ad4845d6d984455dbe1&via=gemrate","https://app.cardladder.com/search?gemRateId=e8cdad6ca9ff312c8c524ad4845d6d984455dbe1&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e8cdad6ca9ff312c8c524ad4845d6d984455dbe1&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e8cdad6ca9ff312c8c524ad4845d6d984455dbe1","https://www.psacard.com/cert/137218093/psa"
"","Basketball","2024","Panini Prizm","Stephon Castle","Pink Ice","234","202","721","28%","https://app.cardladder.com/search?gemRateId=91ff5ea7dc315f9901350be6e336c905d8d9e7ce&via=gemrate","https://app.cardladder.com/search?gemRateId=91ff5ea7dc315f9901350be6e336c905d8d9e7ce&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=91ff5ea7dc315f9901350be6e336c905d8d9e7ce&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=91ff5ea7dc315f9901350be6e336c905d8d9e7ce","https://www.psacard.com/cert/138471361/psa"
"","Basketball","2024","Panini Prizm","Stephon Castle","Base","234","206","675","31%","https://app.cardladder.com/search?gemRateId=b2066ecdb9d5d54a5b0e4b17353aad07a5572b94&via=gemrate","https://app.cardladder.com/search?gemRateId=b2066ecdb9d5d54a5b0e4b17353aad07a5572b94&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=b2066ecdb9d5d54a5b0e4b17353aad07a5572b94&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=b2066ecdb9d5d54a5b0e4b17353aad07a5572b94","https://www.psacard.com/cert/142874327/psa"
"","Basketball","2024","Panini Prizm","Stephon Castle","Ice","234","97","336","29%","https://app.cardladder.com/search?gemRateId=19b23e758cedcb869e354e4fc6c56e7f1e66028a&via=gemrate","https://app.cardladder.com/search?gemRateId=19b23e758cedcb869e354e4fc6c56e7f1e66028a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=19b23e758cedcb869e354e4fc6c56e7f1e66028a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=19b23e758cedcb869e354e4fc6c56e7f1e66028a","https://www.psacard.com/cert/141368391/psa"
"","Basketball","2024","Panini Prizm","Stephon Castle","Red Ice","234","51","319","16%","https://app.cardladder.com/search?gemRateId=cbadc1cac56e206fe6aedf6b1363152e33434351&via=gemrate","https://app.cardladder.com/search?gemRateId=cbadc1cac56e206fe6aedf6b1363152e33434351&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=cbadc1cac56e206fe6aedf6b1363152e33434351&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=cbadc1cac56e206fe6aedf6b1363152e33434351","https://www.psacard.com/cert/137073344/psa"
"","Basketball","2024","Panini Donruss Optic","Stephon Castle","Holo","254","155","302","51%","https://app.cardladder.com/search?gemRateId=818e7c4a1f55934f0d793e5a71c5b108cb11359e&via=gemrate","https://app.cardladder.com/search?gemRateId=818e7c4a1f55934f0d793e5a71c5b108cb11359e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=818e7c4a1f55934f0d793e5a71c5b108cb11359e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=818e7c4a1f55934f0d793e5a71c5b108cb11359e","https://www.psacard.com/cert/143870622/psa"
"","Basketball","2024","Panini Prizm","Stephon Castle","Red White Blue Prizm","234","95","287","33%","https://app.cardladder.com/search?gemRateId=7dd10bd415fb258e02a167c38b91e0bc1bf44ce2&via=gemrate","https://app.cardladder.com/search?gemRateId=7dd10bd415fb258e02a167c38b91e0bc1bf44ce2&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=7dd10bd415fb258e02a167c38b91e0bc1bf44ce2&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=7dd10bd415fb258e02a167c38b91e0bc1bf44ce2","https://www.psacard.com/cert/135560688/psa"
"","Basketball","2024","Panini Prizm","Stephon Castle","Green Prizm","234","50","219","23%","https://app.cardladder.com/search?gemRateId=122e29635105a62ba33daab843e2acb016bbc17a&via=gemrate","https://app.cardladder.com/search?gemRateId=122e29635105a62ba33daab843e2acb016bbc17a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=122e29635105a62ba33daab843e2acb016bbc17a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=122e29635105a62ba33daab843e2acb016bbc17a","https://www.psacard.com/cert/132387355/psa"
"","Basketball","2024","Panini NBA Hoops Presentations","Stephon Castle","Base","14","140","195","72%","https://app.cardladder.com/search?gemRateId=d32ba3b9389fd2ca2aef15a7c1c43ea63f120a3a&via=gemrate","https://app.cardladder.com/search?gemRateId=d32ba3b9389fd2ca2aef15a7c1c43ea63f120a3a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=d32ba3b9389fd2ca2aef15a7c1c43ea63f120a3a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=d32ba3b9389fd2ca2aef15a7c1c43ea63f120a3a","https://www.psacard.com/cert/135401232/psa"
