Card,Grade,Price Change %,Price Change $,Starting Price,Last Sale,Avg,Min Sale,Max Sale,Volume Change %,# of Sales,Total Sales $
"Victor Wembanyama 2023 Prizm #136 Base","Raw","-5.00","-$1.66","$33.21","$31.55 (02/23/2026)","$28.26","$5.97","$57.76","-21.67","535","$15118.28"
"Victor Wembanyama 2023 Prizm #136 Base","PSA 10","24.30","$31.23","$128.52","$159.75 (02/23/2026)","$145.74","$72.48","$366.00","-23.46","486","$70831.20"
"Victor Wembanyama 2023 Select #87 Concourse Blue Retail","Raw","1.76","$0.12","$6.98","$7.10 (02/23/2026)","$6.80","$0.99","$22.99","6.11","434","$2951.16"
"Victor Wembanyama 2023 Optic #225 Base","Raw","14.81","$1.24","$8.40","$9.64 (02/23/2026)","$8.39","$0.99","$33.00","-3.48","416","$3490.53"
"Anthony Edwards 2020 Prizm #258 Base","Raw","44.92","$3.92","$8.72","$12.63 (02/23/2026)","$9.59","$0.99","$22.33","6.27","390","$3740.43"
"Cade Cunningham 2021 Prizm #282 Base","Raw","67.25","$2.64","$3.93","$6.57 (02/23/2026)","$4.62","$0.99","$24.99","45.63","383","$1768.33"
"LeBron James 2020 Prizm #1 Base","Raw","16.27","$0.82","$5.03","$5.85 (02/23/2026)","$7.01","$0.99","$24.74","25.57","329","$2307.01"
"Victor Wembanyama 2023 Select #87 Concourse Blue Retail","PSA 10","14.17","$8.25","$58.25","$66.50 (02/23/2026)","$61.42","$28.00","$274.50","-27.61","291","$17874.05"
"Stephon Castle 2024 Prizm #234 Base","Raw","8.03","$0.14","$1.69","$1.83 (02/23/2026)","$2.36","$0.99","$23.29","35.03","266","$628.01"
"Stephon Castle 2024 Prizm #234 Silver","Raw","-38.73","-$18.33","$47.32","$28.99 (02/23/2026)","$37.57","$18.70","$69.95","-16.83","252","$9467.76"
"Victor Wembanyama 2023 Mosaic #257 NBA Debut","Raw","-18.11","-$0.78","$4.31","$3.53 (02/23/2026)","$3.95","$0.99","$22.52","-11.93","251","$990.40"
"Victor Wembanyama 2023 Mosaic #282 City Edition","Raw","-77.76","-$10.03","$12.89","$2.87 (02/23/2026)","$3.76","$0.99","$22.98","-4.31","244","$917.55"
"Victor Wembanyama 2023 Mosaic #238 Base","Raw","-0.71","-$0.04","$4.93","$4.90 (02/23/2026)","$4.45","$0.99","$24.99","2.59","238","$1058.73"
"Anthony Edwards 2020 Optic #151 Base","Raw","-22.07","-$1.13","$5.12","$3.99 (02/23/2026)","$4.94","$0.99","$21.50","34.68","233","$1149.88"
"Victor Wembanyama 2023 Prizm #136 Base","PSA 9","12.13","$4.87","$40.13","$45.00 (02/24/2026)","$39.24","$20.50","$87.22","-30.55","216","$8475.96"
"Cade Cunningham 2021 Optic #161 Base","Raw","-50.19","-$3.01","$6.00","$2.99 (02/23/2026)","$3.01","$0.71","$24.00","35.44","214","$644.95"
"Shai Gilgeous-Alexander 2018 Prizm #184 Base","Raw","-43.23","-$14.19","$32.83","$18.64 (02/23/2026)","$26.75","$9.50","$47.00","3.02","205","$5483.33"
"LeBron James 2024 Prizm #130 Base","Raw","-69.76","-$3.84","$5.50","$1.66 (02/23/2026)","$2.97","$0.99","$21.00","5.82","200","$594.13"
"LeBron James 2024 Prizm #130 Silver","Raw","-6.56","-$1.30","$19.80","$18.50 (02/23/2026)","$19.48","$0.99","$47.91","-33.10","194","$3778.53"
"Stephon Castle 2024 Optic #254 Holo","Raw","28.80","$3.98","$13.81","$17.79 (02/23/2026)","$12.03","$0.99","$23.00","-27.20","182","$2189.05"
"Luka Doncic 2018 Prizm #280 Base","PSA 10","-9.57","-$22.82","$238.32","$215.50 (02/23/2026)","$206.43","$155.00","$317.20","-6.78","165","$34061.19"
"Stephon Castle 2024 Optic #254 Base","Raw","18.25","$0.25","$1.37","$1.62 (02/23/2026)","$1.92","$0.90","$19.99","11.64","163","$313.36"
"Victor Wembanyama 2023 Optic #6 My House","Raw","-5.77","-$0.31","$5.38","$5.06 (02/23/2026)","$5.87","$0.99","$20.50","62.63","161","$945.69"
"Victor Wembanyama 2023 Prizm #1 Deep Space","Raw","-20.83","-$2.50","$12.00","$9.50 (02/23/2026)","$6.30","$0.99","$24.00","-11.73","158","$995.59"
"Victor Wembanyama 2023 Prizm #3 Instant Impact","Raw","-33.28","-$2.00","$6.00","$4.00 (02/23/2026)","$6.60","$0.99","$23.50","-7.65","157","$1036.69"
"Victor Wembanyama 2023 Prizm #136 Silver","PSA 10","-4.94","-$81.17","$1643.67","$1562.50 (02/23/2026)","$1501.13","$999.99","$1952.00","-43.07","156","$234175.94"
"Victor Wembanyama 2023 Optic #6 Splash!","Raw","67.13","$2.41","$3.59","$6.00 (02/23/2026)","$5.70","$0.99","$19.99","12.90","140","$797.54"
"LeBron James 2024 Prizm #130 Pink Ice","Raw","-4.35","-$0.48","$11.00","$10.53 (02/22/2026)","$12.55","$2.25","$23.05","-40.53","135","$1694.35"
"Anthony Edwards 2020 Mosaic #201 Base","Raw","-65.00","-$4.32","$6.65","$2.33 (02/23/2026)","$3.23","$0.99","$18.99","14.16","129","$416.80"
"Anthony Edwards 2020 Prizm #258 Base","PSA 10","-17.51","-$27.77","$158.60","$130.83 (02/23/2026)","$101.98","$69.00","$158.60","48.84","128","$13053.93"
"Stephon Castle 2024 Optic #254 Hyper Pink","Raw","0.10","$0.01","$9.99","$10.00 (02/22/2026)","$6.91","$2.00","$20.76","-5.97","126","$870.95"
"Victor Wembanyama 2023 Select #87 Concourse Blue Prizm","Raw","62.75","$2.51","$4.00","$6.51 (02/23/2026)","$11.11","$0.99","$24.99","-21.74","126","$1399.65"
"Victor Wembanyama 2023 Optic #2 White Hot Rookies","Raw","28.27","$1.48","$5.25","$6.73 (02/23/2026)","$5.69","$0.99","$20.85","-2.36","124","$705.38"
"Victor Wembanyama 2024 Optic #19 My House - Purple","Raw","-12.00","-$0.31","$2.63","$2.31 (02/23/2026)","$3.22","$0.99","$12.99","-25.30","124","$399.46"
"Shai Gilgeous-Alexander 2018 Optic #162 Base","Raw","-0.57","-$0.16","$27.15","$26.99 (02/23/2026)","$24.82","$15.00","$40.99","-3.15","123","$3052.73"
"Kobe Bryant 2019 Prizm #8 Base","Raw","-71.98","-$17.96","$24.95","$6.99 (02/23/2026)","$7.88","$0.99","$24.99","23.71","120","$945.07"
"Cade Cunningham 2021 Prizm #282 Silver","Raw","96.00","$52.16","$54.33","$106.50 (02/22/2026)","$62.77","$19.44","$143.00","10.38","117","$7344.27"
"Anthony Edwards 2020 Select #61 Concourse Blue Retail","Raw","-45.29","-$1.92","$4.25","$2.33 (02/23/2026)","$3.74","$0.99","$19.99","48.10","117","$438.09"
"Kobe Bryant 2018 Prizm #15 Base","Raw","28.61","$2.00","$6.99","$8.99 (02/23/2026)","$7.24","$1.25","$26.00","87.10","116","$839.38"
"Shai Gilgeous-Alexander 2018 Prizm #184 Base","PSA 9","-28.92","-$14.65","$50.65","$36.00 (02/23/2026)","$41.82","$27.60","$75.00","-11.45","116","$4851.08"
"Victor Wembanyama 2024 Prizm #172 Silver","Raw","64.41","$3.33","$5.17","$8.50 (02/23/2026)","$5.12","$0.99","$20.00","-38.30","116","$594.34"
"Victor Wembanyama 2023 Prizm #2 Global Reach","Raw","20.86","$0.60","$2.90","$3.50 (02/23/2026)","$4.45","$0.99","$24.99","-18.44","115","$511.19"
"Stephon Castle 2024 Prizm #234 Pink Ice","Raw","-59.67","-$8.95","$15.00","$6.05 (02/23/2026)","$10.84","$2.25","$21.50","-43.88","110","$1192.08"
"Victor Wembanyama 2023 Prizm #12 Emergent","Raw","8.09","$0.45","$5.50","$5.95 (02/23/2026)","$3.75","$0.99","$20.00","-36.42","110","$412.12"
"Stephon Castle 2024 Optic #16 My House - Purple","Raw","-39.02","-$1.60","$4.10","$2.50 (02/23/2026)","$2.43","$0.99","$6.92","2.83","109","$265.02"
