"","","","","","","","","","","CardLadder - PSA Sales History","","","Grading Details",""
"","Cat","Year","Set","Name","Parallel","Card #","Gems","Total","Gem Rate","All PSA","PSA 9","PSA 10","Universal Pop","Recent Cert"
"","Basketball","2023","Panini Prizm","Victor Wembanyama","Base","136","26,768","45,901","58%","https://app.cardladder.com/search?gemRateId=e9928dccd7e28e8864d7844e8178f199dc9cf497&via=gemrate","https://app.cardladder.com/search?gemRateId=e9928dccd7e28e8864d7844e8178f199dc9cf497&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=e9928dccd7e28e8864d7844e8178f199dc9cf497&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=e9928dccd7e28e8864d7844e8178f199dc9cf497","https://www.psacard.com/cert/145513752/psa"
"","Basketball","2023","Panini Prizm Monopoly","Victor Wembanyama","Base","81","11,055","18,191","61%","https://app.cardladder.com/search?gemRateId=3d7b3b7c201b3d48a7cfb1a08dbf33acb3a74301&via=gemrate","https://app.cardladder.com/search?gemRateId=3d7b3b7c201b3d48a7cfb1a08dbf33acb3a74301&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=3d7b3b7c201b3d48a7cfb1a08dbf33acb3a74301&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=3d7b3b7c201b3d48a7cfb1a08dbf33acb3a74301","https://www.psacard.com/cert/138697583/psa"
"","Basketball","2023","Panini Select","Victor Wembanyama","Blue","87","14,594","18,043","81%","https://app.cardladder.com/search?gemRateId=44e3102afed542900e96b2bf5428d2a268bc46fb&via=gemrate","https://app.cardladder.com/search?gemRateId=44e3102afed542900e96b2bf5428d2a268bc46fb&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=44e3102afed542900e96b2bf5428d2a268bc46fb&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=44e3102afed542900e96b2bf5428d2a268bc46fb","https://www.psacard.com/cert/137350017/psa"
"","Basketball","2023","Panini NBA Hoops","Victor Wembanyama","Base","277","11,116","14,575","76%","https://app.cardladder.com/search?gemRateId=663d85c932e9b169678c2c60f52cbf3881aa5f3e&via=gemrate","https://app.cardladder.com/search?gemRateId=663d85c932e9b169678c2c60f52cbf3881aa5f3e&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=663d85c932e9b169678c2c60f52cbf3881aa5f3e&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=663d85c932e9b169678c2c60f52cbf3881aa5f3e","https://www.psacard.com/cert/144392536/psa"
"","Basketball","2023","Panini Donruss","Victor Wembanyama","Base","220","3,394","14,296","24%","https://app.cardladder.com/search?gemRateId=164a853e1176f44b8594703cd3bca0234079358b&via=gemrate","https://app.cardladder.com/search?gemRateId=164a853e1176f44b8594703cd3bca0234079358b&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=164a853e1176f44b8594703cd3bca0234079358b&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=164a853e1176f44b8594703cd3bca0234079358b","https://www.psacard.com/cert/128403637/psa"
"","Basketball","2023","Panini NBA Hoops","Victor Wembanyama","Base","298","7,752","10,329","75%","https://app.cardladder.com/search?gemRateId=a35568f5bfb2e082fdc2f6429b966a480ad038a3&via=gemrate","https://app.cardladder.com/search?gemRateId=a35568f5bfb2e082fdc2f6429b966a480ad038a3&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=a35568f5bfb2e082fdc2f6429b966a480ad038a3&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=a35568f5bfb2e082fdc2f6429b966a480ad038a3","https://www.psacard.com/cert/137589026/psa"
"","Basketball","2023","Panini Prizm Draft Picks","Victor Wembanyama","Base","2","5,923","9,962","59%","https://app.cardladder.com/search?gemRateId=eea18ebe879e0ec1b51d2f1e68a889bcfe591275&via=gemrate","https://app.cardladder.com/search?gemRateId=eea18ebe879e0ec1b51d2f1e68a889bcfe591275&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=eea18ebe879e0ec1b51d2f1e68a889bcfe591275&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=eea18ebe879e0ec1b51d2f1e68a889bcfe591275","https://www.psacard.com/cert/133187909/psa"
"","Basketball","2023","Panini Donruss Optic","Victor Wembanyama","Base","225","4,898","9,857","50%","https://app.cardladder.com/search?gemRateId=78fc01d8c80e90790c082fd519d587d1a939e45a&via=gemrate","https://app.cardladder.com/search?gemRateId=78fc01d8c80e90790c082fd519d587d1a939e45a&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=78fc01d8c80e90790c082fd519d587d1a939e45a&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=78fc01d8c80e90790c082fd519d587d1a939e45a","https://www.psacard.com/cert/144483504/psa"
"","Basketball","2023","Panini Prizm","Victor Wembanyama","Silver Prizm","136","5,004","7,942","63%","https://app.cardladder.com/search?gemRateId=38a505f8c8c60a8a115add01056c6ea6379297a3&via=gemrate","https://app.cardladder.com/search?gemRateId=38a505f8c8c60a8a115add01056c6ea6379297a3&grade=g9&via=gemrate","https://app.cardladder.com/search?gemRateId=38a505f8c8c60a8a115add01056c6ea6379297a3&grade=g10&via=gemrate","https://www.gemrate.com/universal-search?gemrate_id=38a505f8c8c60a8a115add01056c6ea6379297a3","https://www.psacard.com/cert/140369213/psa"
